Sample REF	8E91B507-4AF4-432F-9A6A-1B07118A6AE2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.035904284
14-3-3_epsilon-M-C	-0.161662579
14-3-3_zeta-R-V	0.103192383
4E-BP1-R-V	-0.128281749
4E-BP1_pS65-R-V	-0.021486815
4E-BP1_pT37_T46-R-V	0.010811611
4E-BP1_pT70-R-V	0.045776316
53BP1-R-E	0.252762457
A-Raf_pS299-R-C	-0.169630178
ACC_pS79-R-V	1.029858123
ACC1-R-E	1.362096849
Acetyl-a-Tubulin-Lys40-R-C	0.385825967
ACVRL1-R-C	-0.16709631
ADAR1-M-V	0.258807431
Akt-R-V	0.086037287
Akt_pS473-R-V	-0.788266171
Akt_pT308-R-V	-0.414810949
alpha-Catenin-M-V	-0.220055835
AMPK_alpha-R-C	0.335903343
AMPK_pT172-R-V	0.291688675
Annexin-1-M-E	0.385021481
Annexin_VII-M-V	-0.134643813
AR-R-V	-0.039897892
DIRAS3-M-E	-0.027670509
ASNS-R-V	0.416988242
ATM-R-E	-0.364334687
B-Raf-M-C	-0.103996346
Bad_pS112-R-V	-0.116009243
Bak-R-C	0.118179805
Bap1-c-4-M-E	0.125173688
Bax-R-V	0.281736243
Bcl-2-M-V	-0.82693219
Bcl-xL-R-V	0.18167368
Beclin-G-C	-0.184283914
beta-Catenin-R-V	0.378040771
Bid-R-C	0.110919713
Bim-R-V	-0.197698944
BRCA2-R-C	0.0326546989999998
c-Jun_pS73-R-V	-0.435493902
c-Kit-R-V	-0.350436335
c-Met-M-E	-0.405155145
c-Met_pY1235-R-V	-0.029013912
c-Myc-R-C	-0.391469438
C-Raf-R-V	-0.060424064
C-Raf_pS338-R-V	0.039535648
Caspase-7_cleavedD198-R-C	-0.649893617
Caspase-8-M-E	0.00212619800000002
Caveolin-1-R-V	0.139846057
CD20-R-C	0.102831204
CD31-M-V	-0.316435701
CD49b-M-V	-0.284016368
CDK1-R-V	-0.247805975
Chk1-M-C	0.0590928739999999
Chk1_pS345-R-C	-0.168502449
Chk2-M-E	-0.0611520620000001
Chk2_pT68-R-C	-0.124611461
cIAP-R-V	-0.020449458
Claudin-7-R-V	-0.174241529
Collagen_VI-R-V	-0.17991973
Cyclin_B1-R-V	-0.221305962
Cyclin_D1-R-V	0.794389799
Cyclin_E1-M-V	0.087884359
Cyclin_E2-R-C	-0.055522373
DJ-1-R-E	-0.060811847
Dvl3-R-V	0.262497113
E-Cadherin-R-V	0.182492238
eEF2-R-C	0.440828059
eEF2K-R-V	-0.115640834
EGFR-R-V	-0.230148571
EGFR_pY1068-R-C	-0.273282021
EGFR_pY1173-R-V	-0.011683988
eIF4E-R-V	0.026639051
eIF4G-R-C	0.340535249
ER-alpha-R-V	-0.67622295
ER-alpha_pS118-R-V	-0.062542855
ERCC1-M-V	0.332251182
ERK2-R-E	0.116390128
ETS-1-R-V	0.851475289
FASN-R-V	2.240901309
Fibronectin-R-V	0.148399329
FoxM1-R-V	-0.182587149
FOXO3a-R-C	-0.251184641
FOXO3a_pS318_S321-R-C	-0.081069378
G6PD-M-V	3.7233081
GAB2-R-V	-0.10742667
GAPDH-M-C	0.595072467
GATA3-M-V	-0.121567228
GSK3-alpha-beta-M-V	0.311357407
GSK3-alpha-beta_pS21_S9-R-V	-0.677923727
GSK3_pS9-R-V	-0.606998266
HER2-M-V	3.782635612
HER2_pY1248-R-C	2.6096008
HER3-R-V	-0.0278473509999999
HER3_pY1289-R-C	0.378405165
Heregulin-R-V	0.450927485
HSP70-R-C	-0.203613721
IGFBP2-R-V	0.113473342
INPP4B-R-V	0.0549905730000002
IRS1-R-V	0.121617475
JNK_pT183_pY185-R-V	-0.0979891669999999
JNK2-R-C	-0.070234063
Ku80-R-C	0.049928945
Lck-R-V	0.161026317
LKB1-M-E	-0.18966456
MAPK_pT202_Y204-R-V	-0.833543769
MEK1-R-V	-0.179958025
MEK1_pS217_S221-R-V	-0.213935385
MIG-6-M-V	0.163672558
Mre11-R-C	-0.163661598
MSH2-M-V	0.373931716
MSH6-R-C	1.259946922
mTOR-R-V	-0.188690048
mTOR_pS2448-R-C	-0.530732861
MYH11-R-V	2.000204416
Myosin-IIa_pS1943-R-V	0.09687043
N-Cadherin-R-V	0.276453963
N-Ras-M-V	0.036891127
NDRG1_pT346-R-V	-2.569431429
NF-kB-p65_pS536-R-C	-0.400760128
NF2-R-C	0.613720765
Notch1-R-V	-0.431637238
P-Cadherin-R-C	0.0773272470000002
p21-R-V	-0.45962805
p27-R-V	-0.384746374
p27_pT157-R-C	0.046026242
p27_pT198-R-V	-0.164671785
p38_MAPK-R-V	-0.027401336
p38_pT180_Y182-R-V	-0.029211764
p53-R-E	-0.24278708
p62-LCK-ligand-M-C	0.745742083
p70S6K-R-V	0.219567409
p70S6K_pT389-R-V	-0.188690048
p90RSK-R-C	-0.55312458
p90RSK_pT359_S363-R-C	-0.611383556
PAI-1-M-E	0.474407343
PARP_cleaved-M-E	-0.140269327
Paxillin-R-C	0.451280239
PCNA-M-C	0.209397415
PDCD4-R-C	-1.103375903
PDK1-R-V	-0.243506931
PDK1_pS241-R-V	-0.228253572
PEA15-R-V	0.5613815
PEA15_pS116-R-V	1.630017851
PI3K-p110-alpha-R-C	0.220224216
PI3K-p85-R-V	-0.165149051
PKC-alpha-M-V	-0.352671223
PKC-alpha_pS657-R-C	-0.34123157
PKC-delta_pS664-R-V	0.126636505
PKC-pan_BetaII_pS660-R-V	0.032473477
PR-R-V	0
PRAS40_pT246-R-V	-0.237405831
PRDX1-R-V	1.687167789
PREX1-R-E	-0.4280365
PTEN-R-V	0.339955452
Rab11-R-E	0.346715293
Rab25-R-V	0.827412733
Rad50-M-V	-0.689821811
Rad51-R-V	-0.541298538
Raptor-R-V	0.271620518
Rb-M-E	0.0298069959999998
Rb_pS807_S811-R-V	0.234409742
RBM15-R-V	0.00642901099999998
Rictor-R-C	0.23105641
Rictor_pT1135-R-V	0.128120506
S6-R-E	0.085426234
S6_pS235_S236-R-V	-0.634003229
S6_pS240_S244-R-V	-0.0841670070000002
SCD-M-V	0.112864566
SETD2-R-E	0.523536098
SF2-M-V	-0.151982997
Shc_pY317-R-E	-0.457248831
Smac-M-E	0.283334753
Smad1-R-V	-0.222199804
Smad3-R-V	0.225190936
Smad4-M-V	-0.185433299
Snail-M-E	0.144631605
Src-M-V	-0.350758902
Src_pY416-R-C	-0.918821288
Src_pY527-R-V	-1.219050601
STAT3_pY705-R-V	-0.023601503
STAT5-alpha-R-V	1.916118656
Stathmin-R-V	-0.130855785
Syk-M-V	-0.26276545
TAZ-R-V	0.605888364
TIGAR-R-V	-0.0645718320000001
Transglutaminase-M-V	1.371465116
TFRC-R-V	0.713878015
TSC1-R-C	0.209616409
TTF1-R-V	0.643428607
Tuberin-R-E	-0.360192848
Tuberin_pT1462-R-V	-0.110360281
VEGFR2-R-V	0.349804074
EPPK1-M-E	-0.150651139
XBP1-G-C	0.0255621369999999
XRCC1-R-E	0.086768836
YAP-R-E	-0.052899473
YAP_pS127-R-E	-0.178053019
YB-1-R-V	0.536235199
YB-1_pS102-R-V	-0.128656744
JAB1-M-C	0.00690787500000001
PARP1-R-V	0.223835473
A-Raf-R-V	0.109720547
