Sample REF	84C57E10-A656-4563-8F7A-71CD0ECD84B0
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.423164424
14-3-3_epsilon-M-C	-0.137343602
14-3-3_zeta-R-V	0.454477018
4E-BP1-R-V	-0.908197532
4E-BP1_pS65-R-V	-0.301832668
4E-BP1_pT37_T46-R-V	-0.809467832
4E-BP1_pT70-R-V	-0.377101028
53BP1-R-E	-0.489978241
A-Raf_pS299-R-C	-0.189542848
ACC_pS79-R-V	-1.739912971
ACC1-R-E	-0.487790415
Acetyl-a-Tubulin-Lys40-R-C	0.586386381000001
ACVRL1-R-C	0.556310644
ADAR1-M-V	0.251432228000001
Akt-R-V	0.0498148310000004
Akt_pS473-R-V	-0.963799927999999
Akt_pT308-R-V	-0.129659240999999
alpha-Catenin-M-V	-0.67358368
AMPK_alpha-R-C	0.34843205
AMPK_pT172-R-V	-0.879788518
Annexin-1-M-E	-0.233885841
Annexin_VII-M-V	0.87909916
AR-R-V	0
DIRAS3-M-E	-0.0419222479999997
ASNS-R-V	-0.961478363
ATM-R-E	1.778375473
B-Raf-M-C	-0.34148379
Bad_pS112-R-V	-0.390495312
Bak-R-C	-0.195484918
Bap1-c-4-M-E	-0.412881347
Bax-R-V	0.574000301
Bcl-2-M-V	1.516764932
Bcl-xL-R-V	-0.26436666
Beclin-G-C	0.906841617
beta-Catenin-R-V	-1.01633517
Bid-R-C	0.578475933
Bim-R-V	0.450043443
BRCA2-R-C	-0.377917504
c-Jun_pS73-R-V	-0.372966112
c-Kit-R-V	0.447564169
c-Met-M-E	-1.184013294
c-Met_pY1235-R-V	0.0500867240000005
c-Myc-R-C	1.295009677
C-Raf-R-V	0.296233456
C-Raf_pS338-R-V	0.417543503
Caspase-7_cleavedD198-R-C	-0.0507895269999996
Caspase-8-M-E	-0.799424827
Caveolin-1-R-V	0.954048234
CD20-R-C	0.709255612
CD31-M-V	0.52824435
CD49b-M-V	-0.696019203
CDK1-R-V	0.474166108
Chk1-M-C	-1.332743061
Chk1_pS345-R-C	-0.940561694
Chk2-M-E	-1.316557468
Chk2_pT68-R-C	-0.279690929
cIAP-R-V	0.405112378
Claudin-7-R-V	-1.244270804
Collagen_VI-R-V	1.575373506
Cyclin_B1-R-V	-1.230826043
Cyclin_D1-R-V	0.877777936
Cyclin_E1-M-V	-1.488864404
Cyclin_E2-R-C	-0.208652141
DJ-1-R-E	0.870693457
Dvl3-R-V	-0.901787249999999
E-Cadherin-R-V	-2.564956323
eEF2-R-C	-0.353611112
eEF2K-R-V	-0.178535701
EGFR-R-V	-0.115739375
EGFR_pY1068-R-C	-1.252267734
EGFR_pY1173-R-V	0.407830892
eIF4E-R-V	-0.377185322
eIF4G-R-C	-0.832709314
ER-alpha-R-V	-0.0962164889999997
ER-alpha_pS118-R-V	-0.253184063
ERCC1-M-V	-0.796940783
ERK2-R-E	0.793707455
ETS-1-R-V	1.063070089
FASN-R-V	-0.678940357
Fibronectin-R-V	0.0958432170000001
FoxM1-R-V	0.0407858930000002
FOXO3a-R-C	0.181614486
FOXO3a_pS318_S321-R-C	0.0965340870000002
G6PD-M-V	0.611407166
GAB2-R-V	-0.0645431489999997
GAPDH-M-C	0.16585998
GATA3-M-V	0.0922131300000006
GSK3-alpha-beta-M-V	0.00710792600000021
GSK3-alpha-beta_pS21_S9-R-V	-1.335131933
GSK3_pS9-R-V	-1.567874712
HER2-M-V	0.543221126
HER2_pY1248-R-C	-0.242902146
HER3-R-V	-0.706071899
HER3_pY1289-R-C	-0.00490822199999985
Heregulin-R-V	0.503796577
HSP70-R-C	1.183957057
IGFBP2-R-V	-0.870850102
INPP4B-R-V	0.395731619000001
IRS1-R-V	0.133358302
JNK_pT183_pY185-R-V	-0.585490048
JNK2-R-C	0.158256408
Ku80-R-C	0.537584055
Lck-R-V	1.462168241
LKB1-M-E	0.189240305
MAPK_pT202_Y204-R-V	-0.586265142
MEK1-R-V	0.557110741
MEK1_pS217_S221-R-V	0.1835455
MIG-6-M-V	0.302905569
Mre11-R-C	0.530572526
MSH2-M-V	-1.231022231
MSH6-R-C	-0.839373702
mTOR-R-V	0.258563551
mTOR_pS2448-R-C	0.0815532490000006
MYH11-R-V	3.695745994
Myosin-IIa_pS1943-R-V	0.136315148
N-Cadherin-R-V	0.185457276
N-Ras-M-V	0.27247911
NDRG1_pT346-R-V	-2.346944987
