Sample REF	84DFB78B-2D19-4F71-BCB0-F7A141BC6690
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.145652278
14-3-3_epsilon-M-C	-0.032186504
14-3-3_zeta-R-V	0.417419934
4E-BP1-R-V	-0.060822035
4E-BP1_pS65-R-V	-0.136691276
4E-BP1_pT37_T46-R-V	-0.097457978
4E-BP1_pT70-R-V	-0.028023749
53BP1-R-E	-0.058491835
A-Raf_pS299-R-C	-0.0131143980000001
ACC_pS79-R-V	0.446788425
ACC1-R-E	0.538130574
Acetyl-a-Tubulin-Lys40-R-C	-1.116468143
ACVRL1-R-C	-0.00743620500000011
ADAR1-M-V	0.0116958609999999
Akt-R-V	-0.673458866
Akt_pS473-R-V	0.00501384899999976
Akt_pT308-R-V	-0.415689769
alpha-Catenin-M-V	-0.0609360189999999
AMPK_alpha-R-C	-0.063942051
AMPK_pT172-R-V	0.040546122
Annexin-1-M-E	0.369786474
Annexin_VII-M-V	-0.0113916320000001
AR-R-V	-0.19494553
DIRAS3-M-E	0.00454187499999995
ASNS-R-V	-0.600526476
ATM-R-E	-0.616243948
B-Raf-M-C	-0.453549494
Bad_pS112-R-V	0.136298654
Bak-R-C	-0.159558235
Bap1-c-4-M-E	0.848299498
Bax-R-V	0.362166821
Bcl-2-M-V	0.0858267350000001
Bcl-xL-R-V	0.153510255
Beclin-G-C	-0.124111796
beta-Catenin-R-V	-0.293792443
Bid-R-C	-0.016978681
Bim-R-V	0.648357132
BRCA2-R-C	0.165776253
c-Jun_pS73-R-V	-0.174237606
c-Kit-R-V	0.017162136
c-Met-M-E	-0.084176198
c-Met_pY1235-R-V	0.0468632979999999
c-Myc-R-C	-0.197713225
C-Raf-R-V	-0.18798041
C-Raf_pS338-R-V	0.062235793
Caspase-7_cleavedD198-R-C	0.851723234
Caspase-8-M-E	-0.350563684
Caveolin-1-R-V	-1.751756282
CD20-R-C	-0.0288457600000001
CD31-M-V	-0.0400390280000001
CD49b-M-V	-0.116732525
CDK1-R-V	0.0713326509999998
Chk1-M-C	0.278265153
Chk1_pS345-R-C	0.138299906
Chk2-M-E	-0.128830701
Chk2_pT68-R-C	0.0857015280000001
cIAP-R-V	0.078014023
Claudin-7-R-V	1.11002868
Collagen_VI-R-V	0.04646457
Cyclin_B1-R-V	0.370951531
Cyclin_D1-R-V	-0.138190212
Cyclin_E1-M-V	1.087403455
Cyclin_E2-R-C	0.219232991
DJ-1-R-E	0.187750443
Dvl3-R-V	-0.0960793499999999
E-Cadherin-R-V	0.38016908
eEF2-R-C	-0.011300506
eEF2K-R-V	-0.640043306
EGFR-R-V	-0.669540861
EGFR_pY1068-R-C	-0.0310052319999999
EGFR_pY1173-R-V	-0.0442794600000001
eIF4E-R-V	0.580567194
eIF4G-R-C	-0.186442467
ER-alpha-R-V	-0.393829036
ER-alpha_pS118-R-V	-0.034604144
ERCC1-M-V	-0.106163538
ERK2-R-E	-0.394811443
ETS-1-R-V	-0.0211149930000001
FASN-R-V	1.245605783
Fibronectin-R-V	-0.788980205
FoxM1-R-V	-0.108249586
FOXO3a-R-C	-0.021655137
FOXO3a_pS318_S321-R-C	0.106325867
G6PD-M-V	0.0202709329999997
GAB2-R-V	-0.309784478
GAPDH-M-C	0.251522067
GATA3-M-V	0.915391746
GSK3-alpha-beta-M-V	0.029112679
GSK3-alpha-beta_pS21_S9-R-V	-0.277292478
GSK3_pS9-R-V	-0.62799332
HER2-M-V	0.382509357
HER2_pY1248-R-C	0.196694208
HER3-R-V	-0.11341087
HER3_pY1289-R-C	0.533433768
Heregulin-R-V	-0.0909005590000001
HSP70-R-C	-0.174068481
IGFBP2-R-V	-0.446273959
INPP4B-R-V	0.525757747
IRS1-R-V	-0.220524152
JNK_pT183_pY185-R-V	0.160274864
JNK2-R-C	-0.673804891
Ku80-R-C	-0.366464122
Lck-R-V	-0.00439880199999995
LKB1-M-E	-0.069844326
MAPK_pT202_Y204-R-V	0.00722909099999988
MEK1-R-V	-0.419333822
MEK1_pS217_S221-R-V	0.100922162
MIG-6-M-V	0.048930329
Mre11-R-C	0.020608232
MSH2-M-V	-0.0871541950000004
MSH6-R-C	0.215488216
mTOR-R-V	0.496828303
mTOR_pS2448-R-C	0.456647153
MYH11-R-V	-1.735600162
Myosin-IIa_pS1943-R-V	-0.417804143
N-Cadherin-R-V	0.074212328
N-Ras-M-V	0.097656141
NDRG1_pT346-R-V	1.386156796
NF-kB-p65_pS536-R-C	-0.00463579100000014
NF2-R-C	0.059690725
Notch1-R-V	-0.391149848
P-Cadherin-R-C	-0.0584665519999999
p21-R-V	-0.121845146
p27-R-V	0.243476684
p27_pT157-R-C	-0.016077678
p27_pT198-R-V	-0.057303922
p38_MAPK-R-V	0.352125457
p38_pT180_Y182-R-V	0.485101938
p53-R-E	-0.110236986
p62-LCK-ligand-M-C	0.0659122680000001
p70S6K-R-V	0.17296469
p70S6K_pT389-R-V	-0.000124608000000165
p90RSK-R-C	-0.062032211
p90RSK_pT359_S363-R-C	-0.06709547
PAI-1-M-E	-0.676331692
PARP_cleaved-M-E	0.223974205
Paxillin-R-C	-1.716914229
PCNA-M-C	0.15004031
PDCD4-R-C	0.318168621
PDK1-R-V	-0.106353017
PDK1_pS241-R-V	-0.229233361
PEA15-R-V	0.08169498
PEA15_pS116-R-V	-0.526722449
PI3K-p110-alpha-R-C	-0.171578999
PI3K-p85-R-V	-0.19162422
