Sample REF	C070ECB0-DB6E-46BD-8B6F-80795F0B65E2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.653441594
14-3-3_epsilon-M-C	0.264596374
14-3-3_zeta-R-V	0.357647343
4E-BP1-R-V	-0.463358996
4E-BP1_pS65-R-V	-0.0540822779999999
4E-BP1_pT37_T46-R-V	-0.415728737
4E-BP1_pT70-R-V	0.392072978
53BP1-R-E	-0.890592862
A-Raf_pS299-R-C	-0.0525277200000001
ACC_pS79-R-V	-0.704037113
ACC1-R-E	-0.0445594230000002
Acetyl-a-Tubulin-Lys40-R-C	-0.178669381
ACVRL1-R-C	0.704826299
ADAR1-M-V	-0.182655233
Akt-R-V	-0.606173253
Akt_pS473-R-V	-0.449304044
Akt_pT308-R-V	0.0780450160000001
alpha-Catenin-M-V	-0.137422626
AMPK_alpha-R-C	0.0142044939999999
AMPK_pT172-R-V	-0.350575283
Annexin-1-M-E	0.283193947
Annexin_VII-M-V	0.433925751
AR-R-V	0.268154337
DIRAS3-M-E	0.335617511
ASNS-R-V	0.849454808
ATM-R-E	-0.0116495120000001
B-Raf-M-C	-0.308919947
Bad_pS112-R-V	-0.0888080040000001
Bak-R-C	-0.470360658
Bap1-c-4-M-E	-0.928761655
Bax-R-V	0.349095832
Bcl-2-M-V	0.660870698
Bcl-xL-R-V	0.335378208
Beclin-G-C	-0.256973641
beta-Catenin-R-V	-1.406871728
Bid-R-C	0.414031998
Bim-R-V	0.174530486
BRCA2-R-C	0.190642848
c-Jun_pS73-R-V	-0.502723678
c-Kit-R-V	1.084409231
c-Met-M-E	0.163799034
c-Met_pY1235-R-V	0.288685403
c-Myc-R-C	0.638972908
C-Raf-R-V	-0.117784234
C-Raf_pS338-R-V	0.352978751
Caspase-7_cleavedD198-R-C	0.547633308
Caspase-8-M-E	0.17639163
Caveolin-1-R-V	2.051117542
CD20-R-C	-0.067494175
CD31-M-V	0.42044045
CD49b-M-V	0.0659316160000001
CDK1-R-V	0.190709675
Chk1-M-C	-0.900172141000001
Chk1_pS345-R-C	-0.253522133
Chk2-M-E	-0.521751573
Chk2_pT68-R-C	0.453756597
cIAP-R-V	0.025418036
Claudin-7-R-V	-1.279854215
Collagen_VI-R-V	0.916066155
Cyclin_B1-R-V	-0.765852264
Cyclin_D1-R-V	0.87974032
Cyclin_E1-M-V	-0.121458441
Cyclin_E2-R-C	-0.240123984
DJ-1-R-E	0.491016571
Dvl3-R-V	-0.506965111
E-Cadherin-R-V	-2.162999009
eEF2-R-C	-0.602228242
eEF2K-R-V	-0.979120517
EGFR-R-V	0.255331365
EGFR_pY1068-R-C	-0.172102913
EGFR_pY1173-R-V	0.416683129
eIF4E-R-V	0.118436117
eIF4G-R-C	-0.486519136000001
ER-alpha-R-V	0.832112039
ER-alpha_pS118-R-V	-0.166550255
ERCC1-M-V	-0.145485768
ERK2-R-E	-0.443644999
ETS-1-R-V	0.0113574240000001
FASN-R-V	-0.377347495
Fibronectin-R-V	0.497049592
FoxM1-R-V	-0.126206947
FOXO3a-R-C	0.073650185
FOXO3a_pS318_S321-R-C	0.146129661
G6PD-M-V	-0.142140972
GAB2-R-V	-0.145964996
GAPDH-M-C	-0.010467098
GATA3-M-V	-0.0103280799999999
GSK3-alpha-beta-M-V	-0.0475510680000002
GSK3-alpha-beta_pS21_S9-R-V	-0.54616426
GSK3_pS9-R-V	-1.589492948
HER2-M-V	-1.388654755
HER2_pY1248-R-C	0.253312728
HER3-R-V	-0.494132038
HER3_pY1289-R-C	0.237341372
Heregulin-R-V	0.0950192909999998
HSP70-R-C	0.845960701
IGFBP2-R-V	-0.493671421
INPP4B-R-V	-0.15052908
IRS1-R-V	0.102444885
JNK_pT183_pY185-R-V	0.360582131
JNK2-R-C	-0.264073418
Ku80-R-C	-0.641999161
Lck-R-V	0.540703159
LKB1-M-E	0.432092823
