Sample REF	8AD07B41-00BD-4A85-84CA-F529626BF6C3
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.334643479
14-3-3_epsilon-M-C	0.170392257
14-3-3_zeta-R-V	2.02281681
4E-BP1-R-V	-0.153854115
4E-BP1_pS65-R-V	0.169907677
4E-BP1_pT37_T46-R-V	1.066315236
4E-BP1_pT70-R-V	0.781228496
53BP1-R-E	-1.424134832
A-Raf_pS299-R-C	-0.284483123
ACC_pS79-R-V	0.396001247000001
ACC1-R-E	1.198689714
Acetyl-a-Tubulin-Lys40-R-C	-0.0409132159999999
ACVRL1-R-C	0.470811764
ADAR1-M-V	0.0923074600000002
Akt-R-V	-1.742094407
Akt_pS473-R-V	-0.335898418999999
Akt_pT308-R-V	-0.304530440999999
alpha-Catenin-M-V	0.286097185
AMPK_alpha-R-C	1.149697681
AMPK_pT172-R-V	-2.095684499
Annexin-1-M-E	-0.864466301
Annexin_VII-M-V	-0.379577063
AR-R-V	0.297880979
DIRAS3-M-E	0.40515898
ASNS-R-V	1.317777859
ATM-R-E	-1.951474085
B-Raf-M-C	-1.100641152
Bad_pS112-R-V	-0.538547774
Bak-R-C	0.143355652
Bap1-c-4-M-E	-0.719689221
Bax-R-V	1.163177285
Bcl-2-M-V	-0.336989682999999
Bcl-xL-R-V	0.182287916
Beclin-G-C	1.101722385
beta-Catenin-R-V	-1.897190189
Bid-R-C	0.20538492
Bim-R-V	0.165278056
BRCA2-R-C	0.469568335
c-Jun_pS73-R-V	0.191431628000001
c-Kit-R-V	0.602114549
c-Met-M-E	0
c-Met_pY1235-R-V	0.293599771
c-Myc-R-C	1.284836408
C-Raf-R-V	-0.406628054
C-Raf_pS338-R-V	0.391857741
Caspase-7_cleavedD198-R-C	1.687925593
Caspase-8-M-E	-0.750020102999999
Caveolin-1-R-V	-1.528310887
CD20-R-C	0.0714966770000003
CD31-M-V	0.126522254
CD49b-M-V	-0.0434043459999995
CDK1-R-V	-1.039857525
Chk1-M-C	-0.145350808
Chk1_pS345-R-C	-0.34402332
Chk2-M-E	0.341079916
Chk2_pT68-R-C	0.767227533
cIAP-R-V	0.152296258
Claudin-7-R-V	0.719903672
Collagen_VI-R-V	1.730402094
Cyclin_B1-R-V	-0.127126984
Cyclin_D1-R-V	1.48629752
Cyclin_E1-M-V	0.831493893
Cyclin_E2-R-C	-0.133920276
DJ-1-R-E	1.147293313
Dvl3-R-V	-0.276778873
E-Cadherin-R-V	-3.175456389
eEF2-R-C	-0.111305213
eEF2K-R-V	-0.847182783
EGFR-R-V	-0.267127325
EGFR_pY1068-R-C	-0.0366818009999994
EGFR_pY1173-R-V	0.185978409
eIF4E-R-V	0.218490504
eIF4G-R-C	-0.981010292
ER-alpha-R-V	0.0776433820000002
ER-alpha_pS118-R-V	-0.0814765009999996
ERCC1-M-V	-0.855144269
ERK2-R-E	-1.753011492
ETS-1-R-V	0.327376996
FASN-R-V	2.177839054
Fibronectin-R-V	-0.327214257
FoxM1-R-V	0.828701731
FOXO3a-R-C	0.379553427
FOXO3a_pS318_S321-R-C	0.281838182
G6PD-M-V	-0.718004859
GAB2-R-V	-0.123698282
GAPDH-M-C	2.073425795
GATA3-M-V	0.285000433
GSK3-alpha-beta-M-V	-1.519762254
GSK3-alpha-beta_pS21_S9-R-V	-1.006144397
GSK3_pS9-R-V	-0.939973203
HER2-M-V	-0.788946182
HER2_pY1248-R-C	0.185609031
HER3-R-V	-0.216175577
HER3_pY1289-R-C	0.224576481
Heregulin-R-V	0.197300532
HSP70-R-C	0.78061834
IGFBP2-R-V	-0.242948593
INPP4B-R-V	-0.214636341
IRS1-R-V	0.132601086
JNK_pT183_pY185-R-V	0.0614550230000002
JNK2-R-C	-1.132506307
Ku80-R-C	-0.0845786819999996
Lck-R-V	0.252796128
LKB1-M-E	0.460230545
MAPK_pT202_Y204-R-V	-0.332952374
MEK1-R-V	-1.485043417
MEK1_pS217_S221-R-V	0.349501151
MIG-6-M-V	0.22421294
Mre11-R-C	0.452486399
MSH2-M-V	-0.689063948
MSH6-R-C	-0.913480515999999
mTOR-R-V	-1.008401302
mTOR_pS2448-R-C	-1.121011365
MYH11-R-V	-0.557610432
Myosin-IIa_pS1943-R-V	-0.931987485
N-Cadherin-R-V	0.442386161
N-Ras-M-V	0.701230596
NDRG1_pT346-R-V	-1.719043478
NF-kB-p65_pS536-R-C	-0.137545148
NF2-R-C	-1.219161534
Notch1-R-V	-0.95314678
P-Cadherin-R-C	0.0219655350000001
p21-R-V	2.328163852
p27-R-V	0.421810116
p27_pT157-R-C	0.5041534
p27_pT198-R-V	0.349128224
p38_MAPK-R-V	-0.971559308999999
p38_pT180_Y182-R-V	0.519097381
p53-R-E	0.426025027
p62-LCK-ligand-M-C	-0.609678477
p70S6K-R-V	-1.436737292
p70S6K_pT389-R-V	-0.0840819299999995
p90RSK-R-C	-0.0451015829999997
p90RSK_pT359_S363-R-C	0.0167862520000006
PAI-1-M-E	0.0509011040000007
PARP_cleaved-M-E	0.213024771
Paxillin-R-C	-0.524834909
PCNA-M-C	1.202824676
PDCD4-R-C	0.862778519
PDK1-R-V	-0.134239797
PDK1_pS241-R-V	-1.02862378
PEA15-R-V	0.0447077040000003
PEA15_pS116-R-V	-0.342503094
PI3K-p110-alpha-R-C	0.0553070840000003
PI3K-p85-R-V	-1.518346079
PKC-alpha-M-V	-0.246360709
PKC-alpha_pS657-R-C	-0.720453496
PKC-delta_pS664-R-V	-0.299432446
PKC-pan_BetaII_pS660-R-V	-1.072157448
PR-R-V	-0.164369369
PRAS40_pT246-R-V	0.155530768000001
PRDX1-R-V	1.678803622
PREX1-R-E	0.178412491
PTEN-R-V	-1.377942656
Rab11-R-E	0.476849688
Rab25-R-V	-0.210590503
Rad50-M-V	-1.047772147
Rad51-R-V	0.628337145
Raptor-R-V	-0.560277032
Rb-M-E	0.299762998
Rb_pS807_S811-R-V	-0.0432765709999994
RBM15-R-V	-1.543085451
Rictor-R-C	-0.0374371449999997
Rictor_pT1135-R-V	0.10119308
