Sample REF	265071B8-67FE-4D9C-BA29-34AF6E92F53D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0755098189999999
14-3-3_epsilon-M-C	0.00862584000000011
14-3-3_zeta-R-V	-0.071269268
4E-BP1-R-V	-0.031989128
4E-BP1_pS65-R-V	-0.03731463
4E-BP1_pT37_T46-R-V	0.094614829
4E-BP1_pT70-R-V	0.143076264
53BP1-R-E	0.311648878
A-Raf_pS299-R-C	-0.047049625
ACC_pS79-R-V	-0.133379181
ACC1-R-E	-0.777400732
Acetyl-a-Tubulin-Lys40-R-C	1.142844455
ACVRL1-R-C	0.0228057429999999
ADAR1-M-V	-0.147595061
Akt-R-V	0.275006027
Akt_pS473-R-V	0.246313388
Akt_pT308-R-V	0.00150530399999993
alpha-Catenin-M-V	-0.142582961
AMPK_alpha-R-C	0.171547264
AMPK_pT172-R-V	0.793688774
Annexin-1-M-E	-0.322315667
Annexin_VII-M-V	0.135123918
AR-R-V	0.471684712
DIRAS3-M-E	-0.000722959999999995
ASNS-R-V	0.0229354420000001
ATM-R-E	0.444568946
B-Raf-M-C	0.018929992
Bad_pS112-R-V	0.158723897
Bak-R-C	-0.102620108
Bap1-c-4-M-E	-0.108336579
Bax-R-V	-0.114847047
Bcl-2-M-V	0.036488324
Bcl-xL-R-V	0.0948134610000001
Beclin-G-C	-0.0689086569999999
beta-Catenin-R-V	0.0758423430000001
Bid-R-C	-0.0369590409999999
Bim-R-V	-0.399732622
BRCA2-R-C	-0.088929351
c-Jun_pS73-R-V	-0.228526
c-Kit-R-V	0.475659737
c-Met-M-E	-0.0899583650000002
c-Met_pY1235-R-V	-0.036968148
c-Myc-R-C	0.123147267
C-Raf-R-V	0.047020483
C-Raf_pS338-R-V	0.032630816
Caspase-7_cleavedD198-R-C	0.683446473
Caspase-8-M-E	-0.00300521899999984
Caveolin-1-R-V	1.209562736
CD20-R-C	-0.093508857
CD31-M-V	-0.0510189529999998
CD49b-M-V	-0.197751769
CDK1-R-V	-0.049155517
Chk1-M-C	0.0124591439999997
Chk1_pS345-R-C	0.1571777
Chk2-M-E	-0.125959398
Chk2_pT68-R-C	0.00675580800000009
cIAP-R-V	-0.00614567199999994
Claudin-7-R-V	-0.310974382
Collagen_VI-R-V	-0.06349908
Cyclin_B1-R-V	-0.310568362
Cyclin_D1-R-V	-0.0588629929999999
Cyclin_E1-M-V	-0.117368979
Cyclin_E2-R-C	-0.206133209
DJ-1-R-E	0.058662857
Dvl3-R-V	0.000108349000000008
E-Cadherin-R-V	0.408085609
eEF2-R-C	-0.073681703
eEF2K-R-V	0.00388757500000025
EGFR-R-V	0.075800729
EGFR_pY1068-R-C	0.140462366
EGFR_pY1173-R-V	0.045776765
eIF4E-R-V	-0.073365554
eIF4G-R-C	-0.0115559200000002
ER-alpha-R-V	2.274620464
ER-alpha_pS118-R-V	0.665881681
ERCC1-M-V	0.0323058000000001
ERK2-R-E	0.00174363100000008
ETS-1-R-V	-0.0394765989999999
FASN-R-V	-0.35834195
Fibronectin-R-V	0.148816739
FoxM1-R-V	0.144566929
FOXO3a-R-C	-0.041750983
FOXO3a_pS318_S321-R-C	0.0900238870000001
G6PD-M-V	0.535236892
GAB2-R-V	-0.0639473609999999
GAPDH-M-C	-0.070923369
GATA3-M-V	-0.282875077
GSK3-alpha-beta-M-V	-0.013444657
GSK3-alpha-beta_pS21_S9-R-V	0.18339147
GSK3_pS9-R-V	0.15277858
HER2-M-V	-0.10675332
HER2_pY1248-R-C	0.00361933200000009
HER3-R-V	-0.659802713
HER3_pY1289-R-C	-0.173373355
Heregulin-R-V	0.374031157
HSP70-R-C	0.58607302
IGFBP2-R-V	1.257784524
INPP4B-R-V	0.285588802
IRS1-R-V	0.310075065
JNK_pT183_pY185-R-V	-0.113441271
JNK2-R-C	-0.113440837
Ku80-R-C	0.177592312
Lck-R-V	0.315591359
LKB1-M-E	0.100862346
MAPK_pT202_Y204-R-V	-0.219212296
MEK1-R-V	-0.023230659
MEK1_pS217_S221-R-V	-0.039665783
MIG-6-M-V	0.059562275
Mre11-R-C	0.0367966820000001
MSH2-M-V	-0.201100744
MSH6-R-C	-0.24687009
mTOR-R-V	0.287388611
mTOR_pS2448-R-C	0.185256917
MYH11-R-V	1.793599139
Myosin-IIa_pS1943-R-V	-0.0338202879999999
N-Cadherin-R-V	0.031422189
N-Ras-M-V	-0.082936786
NDRG1_pT346-R-V	0
NF-kB-p65_pS536-R-C	0.701233942
NF2-R-C	0.010715405
Notch1-R-V	0.097957756
P-Cadherin-R-C	0.0389386799999998
p21-R-V	-1.767713173
p27-R-V	-0.073978316
p27_pT157-R-C	-0.05262728
p27_pT198-R-V	0.105227352
p38_MAPK-R-V	0.286895375
p38_pT180_Y182-R-V	0.216110385
p53-R-E	0.141077798
p62-LCK-ligand-M-C	0.331317989
p70S6K-R-V	0.043832048
p70S6K_pT389-R-V	-0.052923992
p90RSK-R-C	-0.063384435
p90RSK_pT359_S363-R-C	-0.070923369
PAI-1-M-E	0.841081707
PARP_cleaved-M-E	-0.24185225
Paxillin-R-C	0.4897364
PCNA-M-C	-0.367745649
PDCD4-R-C	0.15382066
PDK1-R-V	-0.013108137
PDK1_pS241-R-V	-0.031154435
PEA15-R-V	0.0483980750000001
PEA15_pS116-R-V	0.0185963420000001
PI3K-p110-alpha-R-C	0.000829690999999966
PI3K-p85-R-V	-0.095062503
PKC-alpha-M-V	0.218128656
PKC-alpha_pS657-R-C	0.559149217
PKC-delta_pS664-R-V	0.080394705
PKC-pan_BetaII_pS660-R-V	0.245531554
PR-R-V	0.347205921
PRAS40_pT246-R-V	-0.0247831469999999
PRDX1-R-V	0.022525626
PREX1-R-E	0.440227362
PTEN-R-V	0.425343584
Rab11-R-E	-0.057491536
Rab25-R-V	-0.268520231
Rad50-M-V	-0.166744389
Rad51-R-V	-0.0509090029999999
Raptor-R-V	-0.016821351
Rb-M-E	-0.024102227
Rb_pS807_S811-R-V	-0.0882116219999998
RBM15-R-V	-0.160209439
Rictor-R-C	0.487423506
Rictor_pT1135-R-V	0.205728465
S6-R-E	-0.1714479
S6_pS235_S236-R-V	0.230612792
S6_pS240_S244-R-V	0.199662834
SCD-M-V	-0.112800976
SETD2-R-E	-0.0459967449999998
SF2-M-V	-0.663910434
Shc_pY317-R-E	0.032710518
Smac-M-E	-0.318358257
Smad1-R-V	0.0511785430000001
Smad3-R-V	-0.04004003
Smad4-M-V	0.0209503259999999
Snail-M-E	-0.123196959
Src-M-V	-0.380099349
Src_pY416-R-C	0.068892349
Src_pY527-R-V	-0.0222771589999999
STAT3_pY705-R-V	0.727805445
STAT5-alpha-R-V	-0.021429277
Stathmin-R-V	-0.026546357
Syk-M-V	-0.0661068359999999
TAZ-R-V	0.189004162
TIGAR-R-V	-0.0865750319999999
Transglutaminase-M-V	1.061005947
TFRC-R-V	0.051680467
TSC1-R-C	0.08459125
TTF1-R-V	-0.0524274969999998
Tuberin-R-E	0.121648414
Tuberin_pT1462-R-V	0.110678162
VEGFR2-R-V	-0.311810423
EPPK1-M-E	0.867335093
XBP1-G-C	0.147048107
XRCC1-R-E	-0.310098915
YAP-R-E	-0.073759621
YAP_pS127-R-E	0.524681077
YB-1-R-V	-0.081474163
YB-1_pS102-R-V	0.017185657
JAB1-M-C	-0.0284217980000001
PARP1-R-V	-0.576168241
A-Raf-R-V	-0.122805811
ARID1A-R-C	-0.144496799
B-Raf_pS445-R-V	0.076167805
Bcl2A1-R-V	-0.060305874
BRD4-R-V	-0.0931814279999998
c-Abl-R-V	-0.023336603
Caspase-3-R-C	-0.038666192
CD26-R-V	0.024025574
Chk1_pS296-R-V	-0.0815614039999999
COG3-R-V	0.250705664
DUSP4-R-V	0.378916782
ERCC5-R-C	-0.450321251
IGF1R_pY1135_Y1136-R-V	-0.0466630839999999
IRF-1-R-C	-0.0412177889999999
Jak2-R-V	-0.180037005
p16_INK4a-R-V	-0.0766942859999999
SHP-2_pY542-R-C	0.18720715
CDK1_pY15-R-C	-0.264021947
