Sample REF	6BA5E751-37D0-493C-B9C6-69062263C497
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.334957172
14-3-3_epsilon-M-C	-0.288505462
14-3-3_zeta-R-V	-0.239583844
4E-BP1-R-V	-0.066403548
4E-BP1_pS65-R-V	0.0809395119999999
4E-BP1_pT37_T46-R-V	0.589263336
4E-BP1_pT70-R-V	-0.057848171
53BP1-R-E	0.157376341
A-Raf_pS299-R-C	-0.015198149
ACC_pS79-R-V	0.08941888
ACC1-R-E	0.212022908
Acetyl-a-Tubulin-Lys40-R-C	-0.574714327
ACVRL1-R-C	-0.268282715
ADAR1-M-V	0.133811264
Akt-R-V	0.115843062
Akt_pS473-R-V	1.596496868
Akt_pT308-R-V	1.219266089
alpha-Catenin-M-V	0.00858543899999997
AMPK_alpha-R-C	0.013668537
AMPK_pT172-R-V	-0.362032305
Annexin-1-M-E	0.364311297
Annexin_VII-M-V	-0.147820366
AR-R-V	-0.100414582
DIRAS3-M-E	-0.0926173340000001
ASNS-R-V	-0.051567408
ATM-R-E	0.378482143
B-Raf-M-C	-0.08363038
Bad_pS112-R-V	0.049081432
Bak-R-C	-0.015129508
Bap1-c-4-M-E	0.431890805
Bax-R-V	-0.143918763
Bcl-2-M-V	0.03561082
Bcl-xL-R-V	-0.094148246
Beclin-G-C	-0.166149125
beta-Catenin-R-V	0.564666956
Bid-R-C	-0.231696114
Bim-R-V	0.000118497999999967
BRCA2-R-C	-0.0850771220000002
c-Jun_pS73-R-V	0.922140296
c-Kit-R-V	-0.285680362
c-Met-M-E	-0.0817696740000002
c-Met_pY1235-R-V	-0.163952483
c-Myc-R-C	0.18195211
C-Raf-R-V	-0.082272915
C-Raf_pS338-R-V	-0.156911243
Caspase-7_cleavedD198-R-C	-1.062865998
Caspase-8-M-E	-0.317162889
Caveolin-1-R-V	0.756772049
CD20-R-C	-0.157682565
CD31-M-V	-0.161900943
CD49b-M-V	0.344181105
CDK1-R-V	0.428054351
Chk1-M-C	0.5509649
Chk1_pS345-R-C	0.126521507
Chk2-M-E	0.211130375
Chk2_pT68-R-C	-0.169163667
cIAP-R-V	-0.199256466
Claudin-7-R-V	0.84658667
Collagen_VI-R-V	-0.202496048
Cyclin_B1-R-V	0.930289074
Cyclin_D1-R-V	-0.27509489
Cyclin_E1-M-V	0.808218713
Cyclin_E2-R-C	0.023379455
DJ-1-R-E	-0.252478257
Dvl3-R-V	0.157446394
E-Cadherin-R-V	0.556181399
eEF2-R-C	-0.1389311
eEF2K-R-V	0.458962663
EGFR-R-V	0.622022622
EGFR_pY1068-R-C	0.946654063
EGFR_pY1173-R-V	-0.116407417
eIF4E-R-V	-0.059361454
eIF4G-R-C	0.592428927
ER-alpha-R-V	1.506269495
ER-alpha_pS118-R-V	0.067924105
ERCC1-M-V	0.321333034
ERK2-R-E	-0.0463634580000001
ETS-1-R-V	-0.175514458
FASN-R-V	0.868370119
Fibronectin-R-V	0.233275864
FoxM1-R-V	1.131110814
FOXO3a-R-C	0.128537509
FOXO3a_pS318_S321-R-C	-0.031015668
G6PD-M-V	-0.325470401
GAB2-R-V	0.170247004
GAPDH-M-C	0.160400799
GATA3-M-V	-0.481100059
GSK3-alpha-beta-M-V	0.247481357
GSK3-alpha-beta_pS21_S9-R-V	0.335451134
GSK3_pS9-R-V	0.740841478
HER2-M-V	-0.090625278
