Sample REF	272D7304-B95D-43A9-B70C-20E37C81082C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.127554714
14-3-3_epsilon-M-C	-0.0345292189999999
14-3-3_zeta-R-V	0.0819381370000001
4E-BP1-R-V	0.612132184
4E-BP1_pS65-R-V	-0.307503432
4E-BP1_pT37_T46-R-V	-0.2836429
4E-BP1_pT70-R-V	-0.033492375
53BP1-R-E	0.570295007
A-Raf_pS299-R-C	0.150100822
ACC_pS79-R-V	0.253485524
ACC1-R-E	0.140110669
Acetyl-a-Tubulin-Lys40-R-C	0.077310693
ACVRL1-R-C	0.115428314
ADAR1-M-V	-0.120906009
Akt-R-V	0.283839062
Akt_pS473-R-V	-0.831670319
Akt_pT308-R-V	-0.550105029
alpha-Catenin-M-V	0.0538248290000001
AMPK_alpha-R-C	0.0735861900000001
AMPK_pT172-R-V	0.788542744
Annexin-1-M-E	0.380728421
Annexin_VII-M-V	-0.0478861650000001
AR-R-V	0.208930691
DIRAS3-M-E	-0.053130119
ASNS-R-V	-0.477135369
ATM-R-E	0.22478105
B-Raf-M-C	0.30642021
Bad_pS112-R-V	0.00667339700000003
Bak-R-C	-0.00831985199999985
Bap1-c-4-M-E	-0.534660611
Bax-R-V	0.140539218
Bcl-2-M-V	-0.0848137879999999
Bcl-xL-R-V	0.283877368
Beclin-G-C	-0.150461937
beta-Catenin-R-V	0.267947368
Bid-R-C	-0.036551633
Bim-R-V	0.218298445
BRCA2-R-C	-0.177001968
c-Jun_pS73-R-V	-0.461390753
c-Kit-R-V	-0.20352787
c-Met-M-E	-0.0325955860000002
c-Met_pY1235-R-V	-0.059951541
c-Myc-R-C	-0.148453531
C-Raf-R-V	-0.126008947
C-Raf_pS338-R-V	-0.080783943
Caspase-7_cleavedD198-R-C	1.185555615
Caspase-8-M-E	0.0843489080000002
Caveolin-1-R-V	-0.365041201
CD20-R-C	0.038009701
CD31-M-V	-0.0256140819999999
CD49b-M-V	0.175813665
CDK1-R-V	-0.066996879
Chk1-M-C	0.299270142
Chk1_pS345-R-C	-0.037401519
Chk2-M-E	0.277870147
Chk2_pT68-R-C	-0.097070829
cIAP-R-V	0.052547051
Claudin-7-R-V	0.00722658100000007
Collagen_VI-R-V	-0.482397384
Cyclin_B1-R-V	-0.267951384
Cyclin_D1-R-V	-0.415837258
Cyclin_E1-M-V	-0.307557443
Cyclin_E2-R-C	-0.0494400149999999
DJ-1-R-E	-0.045246715
Dvl3-R-V	0.513168919
E-Cadherin-R-V	0.997066011
eEF2-R-C	0.046159197
eEF2K-R-V	0.00269508900000015
EGFR-R-V	1.007627831
EGFR_pY1068-R-C	0.904744121
EGFR_pY1173-R-V	0.00862912599999999
eIF4E-R-V	0.233867392
eIF4G-R-C	0.381717627
ER-alpha-R-V	0.656991982
ER-alpha_pS118-R-V	0.05081113
ERCC1-M-V	0.243049452
ERK2-R-E	0.199700785
ETS-1-R-V	0.029602112
