Sample REF	263D2292-E1D0-4937-90C2-C733495AFF02
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0991454460000001
14-3-3_epsilon-M-C	-0.173895199
14-3-3_zeta-R-V	0.157127898
4E-BP1-R-V	-0.125666103
4E-BP1_pS65-R-V	0.403258985
4E-BP1_pT37_T46-R-V	0.344101951
4E-BP1_pT70-R-V	0.00911584700000001
53BP1-R-E	-0.432546993
A-Raf_pS299-R-C	0.081735983
ACC_pS79-R-V	-0.275417952
ACC1-R-E	0.0413925629999999
Acetyl-a-Tubulin-Lys40-R-C	-0.25887691
ACVRL1-R-C	0.066992006
ADAR1-M-V	0.00711495599999989
Akt-R-V	0.16972018
Akt_pS473-R-V	0.551343158
Akt_pT308-R-V	0.324036973
alpha-Catenin-M-V	-0.0287766540000001
AMPK_alpha-R-C	-0.328758145
AMPK_pT172-R-V	-0.442900174
Annexin-1-M-E	-0.0918372869999999
Annexin_VII-M-V	-0.0841821030000001
AR-R-V	-0.317075132
DIRAS3-M-E	-0.103853117
ASNS-R-V	1.000352307
ATM-R-E	-0.00999093500000003
B-Raf-M-C	-0.438297745
Bad_pS112-R-V	0.09851702
Bak-R-C	0
Bap1-c-4-M-E	-0.033581096
Bax-R-V	0.208923485
Bcl-2-M-V	-0.116611096
Bcl-xL-R-V	0.19783906
Beclin-G-C	-0.207480662
beta-Catenin-R-V	-0.191078042
Bid-R-C	-0.069984983
Bim-R-V	0.258027168
BRCA2-R-C	-0.020760957
c-Jun_pS73-R-V	0.0632948079999998
c-Kit-R-V	-0.262477712
c-Met-M-E	0.118121472
c-Met_pY1235-R-V	-0.0574098750000001
c-Myc-R-C	-0.276361731
C-Raf-R-V	-0.115408167
C-Raf_pS338-R-V	0.132385708
Caspase-7_cleavedD198-R-C	1.38138928
Caspase-8-M-E	-0.164214722
Caveolin-1-R-V	0.068542302
CD20-R-C	-0.0659580369999999
CD31-M-V	0.0681413850000001
CD49b-M-V	0.214267433
CDK1-R-V	0.00142888400000007
Chk1-M-C	0.262321482
Chk1_pS345-R-C	-0.0875464080000001
Chk2-M-E	-0.00044066300000023
Chk2_pT68-R-C	0.00371845400000004
cIAP-R-V	1.31886451
Claudin-7-R-V	-0.421374922
Collagen_VI-R-V	-0.010959842
Cyclin_B1-R-V	0.105075097
Cyclin_D1-R-V	0.00260044100000001
Cyclin_E1-M-V	0.154866856
Cyclin_E2-R-C	-0.172738336
DJ-1-R-E	-0.184268193
Dvl3-R-V	0.287821601
E-Cadherin-R-V	0.239119166
eEF2-R-C	-0.393339684
eEF2K-R-V	-0.477937816
EGFR-R-V	0.221364319
EGFR_pY1068-R-C	0.488407358
EGFR_pY1173-R-V	-0.0710076900000001
eIF4E-R-V	-0.256717759
eIF4G-R-C	-0.835518716
ER-alpha-R-V	-0.839003269
ER-alpha_pS118-R-V	-0.236340644
ERCC1-M-V	0.214679235
ERK2-R-E	-0.327210865
ETS-1-R-V	-0.043973306
FASN-R-V	0.068756228
Fibronectin-R-V	0.223745101
FoxM1-R-V	0.036970116
FOXO3a-R-C	-0.0977312620000004
FOXO3a_pS318_S321-R-C	-0.094435099
G6PD-M-V	-0.0909847270000004
GAB2-R-V	-0.125130936
GAPDH-M-C	0.188060944
GATA3-M-V	0.316701911
GSK3-alpha-beta-M-V	0.068675422
GSK3-alpha-beta_pS21_S9-R-V	0.538479346
GSK3_pS9-R-V	0.868178136
HER2-M-V	-0.329037492
HER2_pY1248-R-C	0.183512573
HER3-R-V	-0.200152395
HER3_pY1289-R-C	0.320869582
Heregulin-R-V	-0.09231802
HSP70-R-C	-0.120617694
IGFBP2-R-V	-0.0718588119999999
INPP4B-R-V	-0.016358978
IRS1-R-V	-0.065704301
JNK_pT183_pY185-R-V	-0.091332441
JNK2-R-C	-0.172123323
Ku80-R-C	-0.306112902
Lck-R-V	0.019922315
LKB1-M-E	0.00865385099999993
MAPK_pT202_Y204-R-V	0.920271433
MEK1-R-V	0.124257274
MEK1_pS217_S221-R-V	0.176216034
MIG-6-M-V	0.0480321339999999
Mre11-R-C	0.036583313
MSH2-M-V	-0.0629949690000005
MSH6-R-C	0.334499505
mTOR-R-V	0.0703563950000001
mTOR_pS2448-R-C	0.274909369
MYH11-R-V	0.133197726
Myosin-IIa_pS1943-R-V	0.112345196
N-Cadherin-R-V	0.00383033500000002
N-Ras-M-V	-0.036197871
NDRG1_pT346-R-V	0.102338393
NF-kB-p65_pS536-R-C	0.0314590209999999
NF2-R-C	0.133087495
Notch1-R-V	0.11769353
P-Cadherin-R-C	0.0967069899999999
p21-R-V	0.178190896
p27-R-V	-0.168877147
p27_pT157-R-C	-0.066884985
p27_pT198-R-V	0.056660982
p38_MAPK-R-V	0.245706846
p38_pT180_Y182-R-V	0.290776552
p53-R-E	0.183278752
p62-LCK-ligand-M-C	-0.028631495
p70S6K-R-V	0.072057708
p70S6K_pT389-R-V	0.165154563
p90RSK-R-C	-0.252967283
p90RSK_pT359_S363-R-C	0.185210882
PAI-1-M-E	1.086874227
PARP_cleaved-M-E	-0.277859062
Paxillin-R-C	0.246064104
PCNA-M-C	-0.048426896
PDCD4-R-C	0.175844709
PDK1-R-V	-0.149485744
PDK1_pS241-R-V	-0.189145076
PEA15-R-V	-0.284203531
PEA15_pS116-R-V	-0.323616401
PI3K-p110-alpha-R-C	-0.0921992020000001
PI3K-p85-R-V	0.00124074799999999
PKC-alpha-M-V	-0.341206892
PKC-alpha_pS657-R-C	-0.557015985
PKC-delta_pS664-R-V	-0.0867996120000001
PKC-pan_BetaII_pS660-R-V	0.194375481
PR-R-V	0.020713277
PRAS40_pT246-R-V	0.040515965
PRDX1-R-V	-0.215974988
PREX1-R-E	0.0519833559999998
PTEN-R-V	0.073787909
Rab11-R-E	-0.06626929
Rab25-R-V	-1.370217977
Rad50-M-V	0.176612657
Rad51-R-V	0.201495103
Raptor-R-V	-0.071002621
Rb-M-E	-0.209554814
Rb_pS807_S811-R-V	-0.0850381059999998
RBM15-R-V	-0.076223868
Rictor-R-C	-0.187041555
Rictor_pT1135-R-V	-0.0171440870000001
S6-R-E	0.104036752
S6_pS235_S236-R-V	1.065452113
S6_pS240_S244-R-V	0.585420111
SCD-M-V	-0.109131556
SETD2-R-E	-0.054343971
SF2-M-V	0.110493912
Shc_pY317-R-E	-0.0109083919999997
Smac-M-E	-0.058770155
Smad1-R-V	-0.261821203
Smad3-R-V	-0.194587785
Smad4-M-V	0.00877160799999999
Snail-M-E	-0.223885645
Src-M-V	-0.117244413
Src_pY416-R-C	1.810810151
Src_pY527-R-V	0.52110686
STAT3_pY705-R-V	0.0939112000000001
STAT5-alpha-R-V	-0.826009324
Stathmin-R-V	-0.037912507
Syk-M-V	-0.201103839
TAZ-R-V	-0.0876007500000001
TIGAR-R-V	0.100971982
Transglutaminase-M-V	0.752994233
TFRC-R-V	0.027061323
TSC1-R-C	0.075288763
TTF1-R-V	-0.0735950430000001
Tuberin-R-E	-0.00281762200000002
Tuberin_pT1462-R-V	-0.00829150099999998
VEGFR2-R-V	0.632843116
EPPK1-M-E	-0.290559298
XBP1-G-C	-0.63604607
XRCC1-R-E	0.076598703
YAP-R-E	2.369737465
YAP_pS127-R-E	3.592564563
YB-1-R-V	-0.127523924
YB-1_pS102-R-V	0.0786924569999999
JAB1-M-C	0.0176875079999999
PARP1-R-V	-0.418680953
A-Raf-R-V	0.099260165
ARID1A-R-C	-0.304736169
B-Raf_pS445-R-V	-0.229408455
Bcl2A1-R-V	0.106212881
BRD4-R-V	-0.044565314
c-Abl-R-V	-0.093313966
Caspase-3-R-C	-0.118083025
CD26-R-V	-0.272903262
Chk1_pS296-R-V	-0.020927656
COG3-R-V	-0.138491186
DUSP4-R-V	0.685017796
ERCC5-R-C	0.159698137
IGF1R_pY1135_Y1136-R-V	0.030697672
IRF-1-R-C	-0.441736308
Jak2-R-V	-0.123092341
p16_INK4a-R-V	0.449807231
SHP-2_pY542-R-C	0.69125433
CDK1_pY15-R-C	0.519572406
