Sample REF	519C1C72-9BC5-46CE-90A9-07FAC96049F2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.05047927175
14-3-3_epsilon-M-C	0.0611196392500001
14-3-3_zeta-R-V	-0.12185729125
4E-BP1-R-V	0.19421705825
4E-BP1_pS65-R-V	-0.05677895775
4E-BP1_pT37_T46-R-V	-0.0870673237499999
4E-BP1_pT70-R-V	-0.25515346175
53BP1-R-E	0.52991997375
A-Raf_pS299-R-C	0.0879889767500001
ACC_pS79-R-V	0.19721976275
ACC1-R-E	0.19366103625
Acetyl-a-Tubulin-Lys40-R-C	0.45844909075
ACVRL1-R-C	0.00047813675000008
ADAR1-M-V	0.33089964125
Akt-R-V	-0.0840270957499999
Akt_pS473-R-V	0.13580298375
Akt_pT308-R-V	-0.02663419475
alpha-Catenin-M-V	-0.11161372325
AMPK_alpha-R-C	-0.18250736475
AMPK_pT172-R-V	-0.34224026575
Annexin-1-M-E	-0.16613152725
Annexin_VII-M-V	0.14440365925
AR-R-V	-0.00914293024999996
DIRAS3-M-E	-0.0309342557499999
ASNS-R-V	-0.46233268425
ATM-R-E	0.43413433275
B-Raf-M-C	0.46950304175
Bad_pS112-R-V	0.00878412225000003
Bak-R-C	-0.0362981262499998
Bap1-c-4-M-E	0.13177946925
Bax-R-V	0.55376583125
Bcl-2-M-V	0.05129180975
Bcl-xL-R-V	-0.20970067525
Beclin-G-C	0.04443528225
beta-Catenin-R-V	-0.13011199875
Bid-R-C	-0.02121353625
Bim-R-V	-0.21564144325
c-Jun_pS73-R-V	-0.05038722425
c-Kit-R-V	2.15009919825
c-Met-M-E	-0.02455217425
c-Met_pY1235-R-V	0.03552449025
c-Myc-R-C	-0.08866616875
C-Raf-R-V	0.22275494125
C-Raf_pS338-R-V	-0.0762612707499999
Caspase-7_cleavedD198-R-C	-0.25028712125
Caspase-8-M-E	-0.21117074875
Caveolin-1-R-V	-0.79893381325
CD20-R-C	0.18289911075
CD31-M-V	-0.03409242925
CD49b-M-V	-0.17520547225
CDK1-R-V	0.03796974975
Chk1-M-C	0.81334790425
Chk1_pS345-R-C	0.15626545625
Chk2-M-E	0.32825787525
Chk2_pT68-R-C	0.01792198925
cIAP-R-V	0.29206616225
Claudin-7-R-V	-0.16576619225
Collagen_VI-R-V	0.07266816925
Cyclin_B1-R-V	0.52170317475
Cyclin_D1-R-V	-0.22303385475
Cyclin_E1-M-V	-0.38480708625
Cyclin_E2-R-C	0.03998404875
DJ-1-R-E	-9.20687499999517e-05
Dvl3-R-V	0.43243432225
E-Cadherin-R-V	0.28821136875
eEF2-R-C	-0.0303397417499999
eEF2K-R-V	0.37471926975
EGFR-R-V	-0.22624049925
EGFR_pY1068-R-C	0.04604317325
EGFR_pY1173-R-V	0.04647035925
eIF4E-R-V	0.18681869375
eIF4G-R-C	-0.11289973075
ER-alpha-R-V	-0.14308868875
ER-alpha_pS118-R-V	0.24386227475
ERCC1-M-V	-0.29337381525
ERK2-R-E	0.19112526425
ETS-1-R-V	-0.05694981475
FASN-R-V	-0.76653071825
Fibronectin-R-V	-0.49896483225
FoxM1-R-V	-0.13358498025
FOXO3a-R-C	0.05854113625
FOXO3a_pS318_S321-R-C	0.20091338525
G6PD-M-V	-0.0528614012499999
GAB2-R-V	1.79598977925
GAPDH-M-C	-0.71393288975
GATA3-M-V	-0.01419869275
GSK3-alpha-beta-M-V	0.12205892975
GSK3-alpha-beta_pS21_S9-R-V	0.34867213975
GSK3_pS9-R-V	0.23017325875
HER2-M-V	-0.62065094375
HER2_pY1248-R-C	-0.06037157325
HER3-R-V	-0.09947732075
HER3_pY1289-R-C	0.06310495775
Heregulin-R-V	0.0332589907500001
HSP70-R-C	0.08283877875
IGFBP2-R-V	0.31384580325
INPP4B-R-V	0.0940968517500003
IRS1-R-V	-0.25232688525
JAB1-M-C	-0.0233063207500002
JNK_pT183_pY185-R-V	0.00314720374999999
JNK2-R-C	-0.00247343924999999
Ku80-R-C	0.60248989675
Lck-R-V	-0.0523966917499999
LKB1-M-E	0.03671961475
MAPK_pT202_Y204-R-V	-0.31175467725
MEK1-R-V	0.0503478572500001
MEK1_pS217_S221-R-V	-0.09232909925
MIG-6-M-V	-0.01965424875
Mre11-R-C	0.13508885875
MSH2-M-V	0.28286786025
MSH6-R-C	0.29431366525
