Sample REF	42604A53-1239-4C9C-BFA5-1F577146083C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.06579024275
14-3-3_epsilon-M-C	0.0607042657500001
14-3-3_zeta-R-V	0.10098918725
4E-BP1-R-V	-0.33218632525
4E-BP1_pS65-R-V	-0.47215643425
4E-BP1_pT37_T46-R-V	-0.62289015425
4E-BP1_pT70-R-V	-0.41536728825
53BP1-R-E	0.32705335325
A-Raf_pS299-R-C	0.12644995525
ACC_pS79-R-V	-0.28860442975
ACC1-R-E	0.00548385575000011
Acetyl-a-Tubulin-Lys40-R-C	-0.74696080775
ACVRL1-R-C	-0.04668661675
ADAR1-M-V	0.19384422475
Akt-R-V	0.26614560875
Akt_pS473-R-V	0.0259405102500001
Akt_pT308-R-V	-0.25866808125
alpha-Catenin-M-V	0.02497559625
AMPK_alpha-R-C	-0.05909758325
AMPK_pT172-R-V	-0.35172146125
Annexin-1-M-E	0.14897359325
Annexin_VII-M-V	0.35717719975
AR-R-V	0.34003310025
DIRAS3-M-E	0.0777465267500002
ASNS-R-V	-0.32770204075
ATM-R-E	0.13603690725
B-Raf-M-C	0.21776421425
Bad_pS112-R-V	-0.20040154525
Bak-R-C	0.0660525222500001
Bap1-c-4-M-E	-0.17169608025
Bax-R-V	0.0585512017500001
Bcl-2-M-V	0.27132717325
Bcl-xL-R-V	0.00855336125000007
Beclin-G-C	0.02793858375
beta-Catenin-R-V	0.0472886757500001
Bid-R-C	-0.06528729775
Bim-R-V	-0.11718650475
c-Jun_pS73-R-V	-0.12021288475
c-Kit-R-V	2.11554244075
c-Met-M-E	0.06691727325
c-Met_pY1235-R-V	0.0680529257500001
c-Myc-R-C	-0.0616573132499999
C-Raf-R-V	-0.40431650225
C-Raf_pS338-R-V	-0.09178856425
Caspase-7_cleavedD198-R-C	0.79138875825
Caspase-8-M-E	0.22427518775
Caveolin-1-R-V	0.52454787125
CD20-R-C	0.20781045825
CD31-M-V	0.0055341682500001
CD49b-M-V	-0.0610094357500002
CDK1-R-V	-0.01056579175
Chk1-M-C	0.0956916537500001
Chk1_pS345-R-C	-0.18825032925
Chk2-M-E	0.41411793475
Chk2_pT68-R-C	-0.11709596125
cIAP-R-V	0.16277202175
Claudin-7-R-V	-0.53521822975
Collagen_VI-R-V	0.10910053675
Cyclin_B1-R-V	0.34689335425
Cyclin_D1-R-V	-0.28773194325
Cyclin_E1-M-V	-0.0047964387499999
Cyclin_E2-R-C	0.18942083325
DJ-1-R-E	0.26818555775
Dvl3-R-V	-0.16753877925
E-Cadherin-R-V	-1.53371269075
eEF2-R-C	0.11754423775
eEF2K-R-V	-0.16495936975
EGFR-R-V	0.0650424562500001
EGFR_pY1068-R-C	0.17662757875
EGFR_pY1173-R-V	0.11076337375
eIF4E-R-V	-0.0609481987499999
eIF4G-R-C	-0.55325433625
ER-alpha-R-V	0.0768881047500001
ER-alpha_pS118-R-V	0.16033752825
ERCC1-M-V	-0.00582885474999996
ERK2-R-E	0.42765854775
ETS-1-R-V	0.07967347675
FASN-R-V	-0.24485726775
Fibronectin-R-V	-0.55838948175
FoxM1-R-V	-0.49384467075
FOXO3a-R-C	0.0739552807500001
FOXO3a_pS318_S321-R-C	-0.0404126282499999
G6PD-M-V	0.65313726825
GAB2-R-V	0.21339262975
GAPDH-M-C	-0.64169361025
GATA3-M-V	0.00389598974999995
GSK3-alpha-beta-M-V	0.19541301525
GSK3-alpha-beta_pS21_S9-R-V	-1.01033775375
GSK3_pS9-R-V	-0.92701912575
HER2-M-V	-0.24743749525
HER2_pY1248-R-C	-0.14783324575
HER3-R-V	0.0301136237500001
HER3_pY1289-R-C	-0.08573349575
Heregulin-R-V	-0.0351555937499999
HSP70-R-C	-0.34383230975
IGFBP2-R-V	0.90022349675
INPP4B-R-V	0.21758497525
IRS1-R-V	-0.19717457075
JAB1-M-C	0.0702415247499999
JNK_pT183_pY185-R-V	-0.10497861575
JNK2-R-C	0.0835194252500001
Ku80-R-C	0.53678517125
Lck-R-V	0.40866093375
LKB1-M-E	0.0153529072500001
MAPK_pT202_Y204-R-V	-0.0558636597499999
MEK1-R-V	-0.24717120825
MEK1_pS217_S221-R-V	-0.15159667875
MIG-6-M-V	-0.05238816625
Mre11-R-C	0.0467884712500001
MSH2-M-V	0.12989707575
MSH6-R-C	-0.64698241425
mTOR-R-V	0.36930327775
mTOR_pS2448-R-C	-0.0510956322499998
MYH11-R-V	1.69391880325
Myosin-IIa_pS1943-R-V	0.09836132625
N-Cadherin-R-V	0.05444799275
N-Ras-M-V	0.08626463675
NDRG1_pT346-R-V	-0.0764636592499996
NF-kB-p65_pS536-R-C	-0.60692908825
NF2-R-C	-0.05851051825
Notch1-R-V	-0.02713048975
P-Cadherin-R-C	0.24750347375
p21-R-V	0.22162276675
p27-R-V	-0.0454584002499999
p27_pT157-R-C	-0.0954409257499999
p27_pT198-R-V	-0.01630040725
p38_MAPK-R-V	-0.04527425325
p38_pT180_Y182-R-V	-1.30546595925
p53-R-E	0.14269767125
p62-LCK-ligand-M-C	0.16151195075
p70S6K-R-V	-0.0210274232499999
p70S6K_pT389-R-V	-0.0610069527499999
p90RSK-R-C	-0.00924647974999991
p90RSK_pT359_S363-R-C	-0.23372569575
PAI-1-M-E	-0.0254625632499999
PARP_cleaved-M-E	0.12796717025
PARP1-R-V	0.73786620375
Paxillin-R-C	-0.34292910925
PCNA-M-C	-0.10115337725
PDCD4-R-C	0.13404910675
PDK1-R-V	0.04862236575
PDK1_pS241-R-V	0.0903584032500001
PEA15-R-V	0.26945787775
PEA15_pS116-R-V	-0.17746781775
PI3K-p110-alpha-R-C	0.02329140725
PI3K-p85-R-V	0.38668554925
PKC-alpha-M-V	0.32787395475
PKC-alpha_pS657-R-C	0.38353291425
PKC-delta_pS664-R-V	-0.10592976275
