Sample REF	8E88464D-D5AA-47B7-ABF8-BC6A6A17F880
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0214032112500001
14-3-3_epsilon-M-C	-0.0943890182499999
14-3-3_zeta-R-V	-0.33148074375
4E-BP1-R-V	0.04642371375
4E-BP1_pS65-R-V	-0.02043813325
4E-BP1_pT37_T46-R-V	-0.04843415025
4E-BP1_pT70-R-V	0.07995756175
53BP1-R-E	0.0982965692500001
A-Raf_pS299-R-C	-0.17386109775
ACC_pS79-R-V	-0.06677732175
ACC1-R-E	-0.18375283325
Acetyl-a-Tubulin-Lys40-R-C	0.58701215525
ACVRL1-R-C	-0.0971026197499999
ADAR1-M-V	-0.04729144925
Akt-R-V	0.11095154275
Akt_pS473-R-V	-0.14489104975
Akt_pT308-R-V	0.12514139175
alpha-Catenin-M-V	-0.0171543267499999
AMPK_alpha-R-C	0.24984430275
AMPK_pT172-R-V	0.30622752075
Annexin-1-M-E	-0.26158556175
Annexin_VII-M-V	-0.38332329825
AR-R-V	-0.34201908975
DIRAS3-M-E	-0.00171066524999997
ASNS-R-V	0.14327258225
ATM-R-E	-0.21202606575
B-Raf-M-C	0.07722017725
Bad_pS112-R-V	0.08995569675
Bak-R-C	-0.0192835587499999
Bap1-c-4-M-E	0.11616258375
Bax-R-V	-0.04879187325
Bcl-2-M-V	-0.0302042477500001
Bcl-xL-R-V	-0.16351685775
Beclin-G-C	0.12094314975
beta-Catenin-R-V	0.55254314575
Bid-R-C	0.24057179225
Bim-R-V	-0.33507112275
c-Jun_pS73-R-V	-0.0179349827500001
c-Kit-R-V	-0.43205444425
c-Met-M-E	0.72502796925
c-Met_pY1235-R-V	-0.01623011225
c-Myc-R-C	-0.04603041925
C-Raf-R-V	-0.24479599325
C-Raf_pS338-R-V	0.17963647975
Caspase-7_cleavedD198-R-C	-0.95338806475
Caspase-8-M-E	0.48725312875
Caveolin-1-R-V	0.00107604325000005
CD20-R-C	-0.08101595875
CD31-M-V	-0.0656527027499999
CD49b-M-V	0.0776175942499998
CDK1-R-V	-0.12156348375
Chk1-M-C	-0.28079037525
Chk1_pS345-R-C	0.04353081075
Chk2-M-E	-0.61204683025
Chk2_pT68-R-C	0.09432597875
cIAP-R-V	0.03031511475
Claudin-7-R-V	1.28588336325
Collagen_VI-R-V	0.07555973975
Cyclin_B1-R-V	-0.81582350775
Cyclin_D1-R-V	0.23699234575
Cyclin_E1-M-V	-0.10012942275
Cyclin_E2-R-C	-0.26850491075
DJ-1-R-E	-0.31629758925
Dvl3-R-V	-0.00107604324999999
E-Cadherin-R-V	1.38868080925
eEF2-R-C	-0.42920005925
eEF2K-R-V	-0.10050208275
EGFR-R-V	0.34954207725
EGFR_pY1068-R-C	0.0909753197499999
EGFR_pY1173-R-V	0.07969972375
eIF4E-R-V	-0.26762460075
eIF4G-R-C	-0.13747635225
