Sample REF	204D3EB2-7277-4814-8B64-1217B931B7FE
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.13782112425
14-3-3_epsilon-M-C	-0.03496857875
14-3-3_zeta-R-V	0.00163649775000002
4E-BP1-R-V	-0.20018975675
4E-BP1_pS65-R-V	0.0126860292499999
4E-BP1_pT37_T46-R-V	-0.22792422375
4E-BP1_pT70-R-V	0.0139150512499999
53BP1-R-E	-0.13218420225
A-Raf_pS299-R-C	-0.17894084525
ACC_pS79-R-V	-0.22758105325
ACC1-R-E	-0.18220907575
Acetyl-a-Tubulin-Lys40-R-C	-0.26929107125
ACVRL1-R-C	0.0785762377499999
ADAR1-M-V	0.13378412325
Akt-R-V	-0.17038360775
Akt_pS473-R-V	-0.01328889425
Akt_pT308-R-V	0.01260342725
alpha-Catenin-M-V	-0.0706632392500001
AMPK_alpha-R-C	-0.07507866275
AMPK_pT172-R-V	-0.12233388575
Annexin-1-M-E	-0.12609002425
Annexin_VII-M-V	0.03087335525
AR-R-V	0.0360954027499999
DIRAS3-M-E	-0.09422116275
ASNS-R-V	0.15473033975
ATM-R-E	0.33012696075
B-Raf-M-C	0.16940441975
Bad_pS112-R-V	0.02849535325
Bak-R-C	-0.0684768372499999
Bap1-c-4-M-E	-0.16191814775
Bax-R-V	0.0775907132500001
Bcl-2-M-V	0.12283301075
Bcl-xL-R-V	0.22170406975
Beclin-G-C	0.10856295725
beta-Catenin-R-V	-0.32767778275
Bid-R-C	0.0769479617499999
Bim-R-V	0.33654781975
c-Jun_pS73-R-V	-0.19923259125
c-Kit-R-V	0.42169157425
c-Met-M-E	0.05756237875
c-Met_pY1235-R-V	-0.03717954575
c-Myc-R-C	-0.12975462875
C-Raf-R-V	0.15841540925
C-Raf_pS338-R-V	-0.0341406947500001
Caspase-7_cleavedD198-R-C	1.09368139575
Caspase-8-M-E	0.17185825025
Caveolin-1-R-V	0.20423535775
CD20-R-C	0.14478237275
CD31-M-V	0.00657423374999994
CD49b-M-V	-0.0763717892500002
CDK1-R-V	-0.27687136025
Chk1-M-C	-0.61958041075
Chk1_pS345-R-C	-0.00949283575000001
Chk2-M-E	0.32735966025
Chk2_pT68-R-C	-0.01721200375
cIAP-R-V	-0.00703530275000006
Claudin-7-R-V	0.50885958475
Collagen_VI-R-V	0.06589267725
Cyclin_B1-R-V	-0.67974615725
Cyclin_D1-R-V	0.30553999925
Cyclin_E1-M-V	-0.17044070425
Cyclin_E2-R-C	0.21219488075
DJ-1-R-E	0.12625621625
Dvl3-R-V	-0.0656192797500001
E-Cadherin-R-V	-0.21646005425
eEF2-R-C	0.03589756525
eEF2K-R-V	0.42942553875
EGFR-R-V	-0.13988196125
EGFR_pY1068-R-C	-0.0571819297500002
EGFR_pY1173-R-V	-0.02859600975
eIF4E-R-V	0.00560040374999998
eIF4G-R-C	-0.12104508175
ER-alpha-R-V	-0.00706366575
ER-alpha_pS118-R-V	0.11120030175
ERCC1-M-V	0.13711089275
ERK2-R-E	-0.18941061475
ETS-1-R-V	0.0188550322499999
FASN-R-V	-0.18192801125
Fibronectin-R-V	-0.27065874725
FoxM1-R-V	-0.36222071125
FOXO3a-R-C	0.10880487325
FOXO3a_pS318_S321-R-C	0.07459023525
G6PD-M-V	-0.14763074725
GAB2-R-V	0.85696756425
GAPDH-M-C	-0.29514337175
GATA3-M-V	0.10111706225
GSK3-alpha-beta-M-V	-0.05105814825
GSK3-alpha-beta_pS21_S9-R-V	0.57226467675
GSK3_pS9-R-V	0.00868508474999996
HER2-M-V	-0.39006383575
HER2_pY1248-R-C	-0.0333841662500001
HER3-R-V	-0.35871001175
HER3_pY1289-R-C	-0.02918073925
Heregulin-R-V	-0.15841399125
HSP70-R-C	0.18823196275
IGFBP2-R-V	-0.80866080375
INPP4B-R-V	-0.0602743932499998
IRS1-R-V	0.06128335775
JAB1-M-C	-0.11040327375
JNK_pT183_pY185-R-V	-0.0544618572500001
JNK2-R-C	-0.0168242622500001
Ku80-R-C	0.16551213475
Lck-R-V	0.53707994625
LKB1-M-E	0.01977722375
MAPK_pT202_Y204-R-V	-0.33352250025
MEK1-R-V	0.21752812725
MEK1_pS217_S221-R-V	-0.0694949202500001
MIG-6-M-V	-0.22611597275
Mre11-R-C	0.06200974475
MSH2-M-V	-0.08149852675
MSH6-R-C	0.0538922292500004
mTOR-R-V	0.17637997325
mTOR_pS2448-R-C	0.24836347425
MYH11-R-V	0.72492945475
Myosin-IIa_pS1943-R-V	-0.07610045725
N-Cadherin-R-V	-0.00945361075000001
N-Ras-M-V	0.0500479602499999
NDRG1_pT346-R-V	0.13194303325
NF-kB-p65_pS536-R-C	0.37495475225
NF2-R-C	0.22689898025
Notch1-R-V	-0.0930858002500001
P-Cadherin-R-C	-0.21081458975
p21-R-V	0.51754192025
p27-R-V	0.35034747525
p27_pT157-R-C	-0.10282250925
p27_pT198-R-V	0.21740660525
p38_MAPK-R-V	-0.0517818497500001
p38_pT180_Y182-R-V	0.37700002325
p53-R-E	-0.21455210225
p62-LCK-ligand-M-C	0.04898932625
p70S6K-R-V	-0.04834201975
p70S6K_pT389-R-V	-0.06211833625
p90RSK-R-C	-0.04194406725
p90RSK_pT359_S363-R-C	0.04305144775
PAI-1-M-E	-0.15255217275
PARP_cleaved-M-E	-0.0670196752500002
PARP1-R-V	0.33966357725
Paxillin-R-C	-0.21022708175
PCNA-M-C	-0.21243465775
PDCD4-R-C	0.86619325925
PDK1-R-V	-0.12348914875
PDK1_pS241-R-V	-0.06301681725
PEA15-R-V	-0.10087759275
PEA15_pS116-R-V	0.0371117747499999
PI3K-p110-alpha-R-C	0.11207691375
PI3K-p85-R-V	0.19618757575
PKC-alpha-M-V	0.00711246524999992
PKC-alpha_pS657-R-C	-0.19735009625
PKC-delta_pS664-R-V	0.27355250175
PKC-pan_BetaII_pS660-R-V	0.25603081375
PR-R-V	0.0365549702499999
PRAS40_pT246-R-V	-0.19471013525
PRDX1-R-V	0.14382031875
PREX1-R-E	0.88028709975
PTEN-R-V	-0.11951189075
Rab11-R-E	0.0277757607499999
Rab25-R-V	0.25956634975
Rad50-M-V	-0.0154581112500001
Rad51-R-V	0.18984308225
Raptor-R-V	-0.0757565737499999
Rb-M-E	0.0258792727499999
Rb_pS807_S811-R-V	-0.38511952225
RBM15-R-V	0.12356220775
Rictor-R-C	-0.04520371075
Rictor_pT1135-R-V	0.11082795025
S6-R-E	-0.0096431432500001
S6_pS235_S236-R-V	0.18152840225
S6_pS240_S244-R-V	0.13566316575
SCD-M-V	0.0695601967499997
SETD2-R-E	-0.07803941725
SF2-M-V	0.22016712825
Shc_pY317-R-E	-0.0196530407500001
Smac-M-E	-0.29005958925
Smad1-R-V	-0.09412464125
Smad3-R-V	0.11775132075
Smad4-M-V	-0.0861153272500001
Snail-M-E	-0.23922505225
Src-M-V	0.03673735375
Src_pY416-R-C	0.92193659275
Src_pY527-R-V	-0.29803057175
STAT3_pY705-R-V	-0.00163649775000005
STAT5-alpha-R-V	0.34315991975
Stathmin-R-V	0.01636042475
Syk-M-V	0.62034828375
TAZ-R-V	-0.12327096925
TFRC-R-V	0.06269720075
TIGAR-R-V	-0.20949800425
Transglutaminase-M-V	-0.11513575575
TSC1-R-C	-0.31136362975
TTF1-R-V	-0.17895633425
Tuberin-R-E	0.00505457324999986
Tuberin_pT1462-R-V	0.05202588325
