Sample REF	901A14B4-4787-4564-B348-8EDC77BC83EF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.13427774775
14-3-3_epsilon-M-C	0.18603516575
14-3-3_zeta-R-V	0.54679077925
4E-BP1-R-V	0.30495406375
4E-BP1_pS65-R-V	-0.15030589825
4E-BP1_pT37_T46-R-V	-0.37070303725
4E-BP1_pT70-R-V	0.13471041175
53BP1-R-E	-0.09261321275
A-Raf_pS299-R-C	-0.0841187427499999
ACC_pS79-R-V	-0.12038739675
ACC1-R-E	0.37785252675
Acetyl-a-Tubulin-Lys40-R-C	0.83342420425
ACVRL1-R-C	0.16235326425
ADAR1-M-V	0.35745899375
Akt-R-V	0.03476284175
Akt_pS473-R-V	-0.40227873275
Akt_pT308-R-V	-0.28340061125
alpha-Catenin-M-V	0.0202512782500001
AMPK_alpha-R-C	-0.12854891625
AMPK_pT172-R-V	-1.68759680925
Annexin-1-M-E	-0.33419641575
Annexin_VII-M-V	-0.0434518772499999
AR-R-V	0.11839271225
DIRAS3-M-E	0.01537756775
ASNS-R-V	0.71181743325
ATM-R-E	-0.46103254375
B-Raf-M-C	0.98310800425
Bad_pS112-R-V	-0.18442029225
Bak-R-C	0.0892599022500001
Bap1-c-4-M-E	0.16148158575
Bax-R-V	0.32421188375
Bcl-2-M-V	-0.14076138075
Bcl-xL-R-V	-0.23509506075
Beclin-G-C	0.20215401375
beta-Catenin-R-V	-0.60507408725
Bid-R-C	-0.06265142675
Bim-R-V	0.27126181725
c-Jun_pS73-R-V	0.09955179925
c-Kit-R-V	2.13461158175
c-Met-M-E	0.04060744425
c-Met_pY1235-R-V	0.13178545075
c-Myc-R-C	0.19183649175
C-Raf-R-V	-0.40224008825
C-Raf_pS338-R-V	-0.01121639325
Caspase-7_cleavedD198-R-C	-0.36121788175
Caspase-8-M-E	0.04878681075
Caveolin-1-R-V	-0.95609292975
CD20-R-C	0.36307150525
CD31-M-V	0.04867808925
CD49b-M-V	-0.18774994875
CDK1-R-V	0.16226454225
Chk1-M-C	-0.15416107925
Chk1_pS345-R-C	0.21344906175
Chk2-M-E	1.41369704675
Chk2_pT68-R-C	1.91254017575
cIAP-R-V	0.36627866175
Claudin-7-R-V	0.41303419325
Collagen_VI-R-V	-0.19088085425
Cyclin_B1-R-V	0.94163927925
Cyclin_D1-R-V	0.13593071175
Cyclin_E1-M-V	0.17329025125
Cyclin_E2-R-C	0.61721193325
DJ-1-R-E	0.24318338175
Dvl3-R-V	0.00140163674999999
E-Cadherin-R-V	-0.22109381775
eEF2-R-C	0.59246096175
eEF2K-R-V	0.44812579525
EGFR-R-V	-0.23895905675
EGFR_pY1068-R-C	-0.17572487325
EGFR_pY1173-R-V	0.13382135175
eIF4E-R-V	-0.06632093375
eIF4G-R-C	-0.97195977925
ER-alpha-R-V	-0.13261483325
ER-alpha_pS118-R-V	0.33636535225
ERCC1-M-V	-0.00411416774999998
ERK2-R-E	-0.02227547025
ETS-1-R-V	-0.01842218325
FASN-R-V	-0.08539651375
Fibronectin-R-V	-1.20548469975
FoxM1-R-V	0.95418653025
FOXO3a-R-C	0.08337262975
FOXO3a_pS318_S321-R-C	-0.0757759892499999
G6PD-M-V	-0.0332856527499999
GAB2-R-V	1.34591833175
GAPDH-M-C	1.35110312975
GATA3-M-V	-0.27314255825
GSK3-alpha-beta-M-V	0.42376247725
GSK3-alpha-beta_pS21_S9-R-V	-0.49966217575
GSK3_pS9-R-V	-0.94378019575
HER2-M-V	-0.17968110625
HER2_pY1248-R-C	-0.00172363474999998
HER3-R-V	-0.04653139425
HER3_pY1289-R-C	-0.0721643957500001
Heregulin-R-V	0.22671585025
HSP70-R-C	-0.25935748175
IGFBP2-R-V	-0.78846930725
INPP4B-R-V	-0.13987666475
IRS1-R-V	-0.01424586775
JAB1-M-C	0.08035642675
JNK_pT183_pY185-R-V	-0.00140163674999999
JNK2-R-C	-0.32342178375
Ku80-R-C	0.74497898325
Lck-R-V	-0.61907835625
LKB1-M-E	0.03651057825
MAPK_pT202_Y204-R-V	-0.38422924775
MEK1-R-V	-0.21772678625
MEK1_pS217_S221-R-V	-0.11661757775
MIG-6-M-V	0.05542294575
Mre11-R-C	0.10233705125
MSH2-M-V	0.44908065475
MSH6-R-C	0.57179506775
mTOR-R-V	0.27230895575
mTOR_pS2448-R-C	-0.37102655425
MYH11-R-V	-1.16138356475
Myosin-IIa_pS1943-R-V	-0.20806431375
N-Cadherin-R-V	0.05487543175
N-Ras-M-V	0.18112376875
NDRG1_pT346-R-V	-0.41150956625
NF-kB-p65_pS536-R-C	-0.50884383225
NF2-R-C	0.19528116775
Notch1-R-V	-0.13232392275
P-Cadherin-R-C	0.21896251975
p21-R-V	0.62276312975
p27-R-V	-0.15192459425
p27_pT157-R-C	0.02198080025
p27_pT198-R-V	0.25840837175
p38_MAPK-R-V	-0.74681979825
p38_pT180_Y182-R-V	-1.22266514025
p53-R-E	-0.03458785375
p62-LCK-ligand-M-C	-0.31519934525
p70S6K-R-V	-0.13977034525
p70S6K_pT389-R-V	-0.29082326475
p90RSK-R-C	-0.51191353475
p90RSK_pT359_S363-R-C	-0.16306294275
PAI-1-M-E	-0.58930110625
PARP_cleaved-M-E	0.33491310725
PARP1-R-V	0.86066282775
Paxillin-R-C	-0.38906937825
PCNA-M-C	0.22383940175
PDCD4-R-C	0.70508514175
PDK1-R-V	-0.19005096325
PDK1_pS241-R-V	-0.33451820475
PEA15-R-V	-0.17381899525
PEA15_pS116-R-V	-0.21641616075
PI3K-p110-alpha-R-C	0.10440086425
PI3K-p85-R-V	-0.48364505775
PKC-alpha-M-V	-0.48395017825
PKC-alpha_pS657-R-C	-0.86156186875
PKC-delta_pS664-R-V	0.02547904225
PKC-pan_BetaII_pS660-R-V	-0.39420437975
PR-R-V	0.02313676475
PRAS40_pT246-R-V	-0.13222046275
PRDX1-R-V	0.49165819925
PREX1-R-E	-0.05633207475
PTEN-R-V	-0.26827605525
Rab11-R-E	0.12487660325
Rab25-R-V	0.50381650925
Rad50-M-V	0.16434807725
Rad51-R-V	0.13160941075
Raptor-R-V	0.13599510675
Rb-M-E	0.01552056925
Rb_pS807_S811-R-V	-0.35821473475
RBM15-R-V	-0.00181899374999989
