Sample REF	F48AED77-2093-4598-B869-77C8DF969F61
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.09714983625
14-3-3_epsilon-M-C	-0.04403283125
14-3-3_zeta-R-V	0.0482735412500001
4E-BP1-R-V	-0.14154953325
4E-BP1_pS65-R-V	0.12167481975
4E-BP1_pT37_T46-R-V	0.16283560175
4E-BP1_pT70-R-V	0.07441237475
53BP1-R-E	-0.0928432357499999
A-Raf_pS299-R-C	-0.09035403475
ACC_pS79-R-V	0.50068787425
ACC1-R-E	0.35472445875
Acetyl-a-Tubulin-Lys40-R-C	1.29004443725
ACVRL1-R-C	-0.18783709875
ADAR1-M-V	-0.15741475225
Akt-R-V	0.00236928274999999
Akt_pS473-R-V	-0.09882551375
Akt_pT308-R-V	0.01418792175
alpha-Catenin-M-V	0.06180442925
AMPK_alpha-R-C	-0.00228764225000003
AMPK_pT172-R-V	0.18167515475
Annexin-1-M-E	-0.06702226475
Annexin_VII-M-V	0.17677000075
AR-R-V	-0.21983050475
DIRAS3-M-E	-0.0545775892500002
ASNS-R-V	-0.59021273175
ATM-R-E	0.09760258025
B-Raf-M-C	0.11466466125
Bad_pS112-R-V	0.22111956675
Bak-R-C	-0.0400503437499999
Bap1-c-4-M-E	0.23651762975
Bax-R-V	0.28321238775
Bcl-2-M-V	-0.01162014075
Bcl-xL-R-V	0.11612583325
Beclin-G-C	-0.07536305325
beta-Catenin-R-V	1.06518116575
Bid-R-C	-0.00360502575000007
Bim-R-V	-0.12143821775
c-Jun_pS73-R-V	0.0918588362499999
c-Kit-R-V	0.06245431475
c-Met-M-E	-0.19057745675
c-Met_pY1235-R-V	-0.15002890925
c-Myc-R-C	-0.18865998825
C-Raf-R-V	0.0230648957500002
C-Raf_pS338-R-V	-0.07745804525
Caspase-7_cleavedD198-R-C	-0.67427581475
Caspase-8-M-E	-0.28982260325
Caveolin-1-R-V	-0.31899218175
CD20-R-C	-0.01337041175
CD31-M-V	-0.0954092497499998
CD49b-M-V	0.28430171125
CDK1-R-V	0.05426764525
Chk1-M-C	0.32145594575
Chk1_pS345-R-C	0.11464077175
Chk2-M-E	-0.07441276825
Chk2_pT68-R-C	-0.11831813825
cIAP-R-V	0.16494851775
Claudin-7-R-V	0.88536044825
Collagen_VI-R-V	-0.11720922325
Cyclin_B1-R-V	0.31263991525
Cyclin_D1-R-V	0.01790980075
Cyclin_E1-M-V	0.63014932025
Cyclin_E2-R-C	0.02446749225
DJ-1-R-E	-0.00271585224999998
Dvl3-R-V	0.23641859475
E-Cadherin-R-V	0.59537970525
eEF2-R-C	0.04213473975
eEF2K-R-V	0.14545366325
EGFR-R-V	0.03567997725
EGFR_pY1068-R-C	-0.06837352925
EGFR_pY1173-R-V	-0.12331066525
eIF4E-R-V	0.01767392525
eIF4G-R-C	0.24974552775
ER-alpha-R-V	0.0149007407499999
ER-alpha_pS118-R-V	-0.03399709375
ERCC1-M-V	-0.05161653175
ERK2-R-E	0.13021796275
ETS-1-R-V	-0.07944887125
FASN-R-V	0.68765024325
Fibronectin-R-V	1.40900985725
FoxM1-R-V	0.31173721425
FOXO3a-R-C	0.00866594875000007
FOXO3a_pS318_S321-R-C	0.20831459375
G6PD-M-V	-0.03784300275
GAB2-R-V	0.66841076875
GAPDH-M-C	0.49918825975
GATA3-M-V	1.38694425475
GSK3-alpha-beta-M-V	0.06072478625
GSK3-alpha-beta_pS21_S9-R-V	0.07723988725
GSK3_pS9-R-V	0.04439167225
HER2-M-V	0.27078998975
HER2_pY1248-R-C	-0.21077938575
