Sample REF	F0EC37C2-87E0-425A-999A-A4D42DE5C91C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.22165086275
14-3-3_epsilon-M-C	0.12408344925
14-3-3_zeta-R-V	0.11491345975
4E-BP1-R-V	0.42223255125
4E-BP1_pS65-R-V	0.10184841425
4E-BP1_pT37_T46-R-V	0.37691295625
4E-BP1_pT70-R-V	0.22100866725
53BP1-R-E	-0.42516679425
A-Raf_pS299-R-C	-0.00343933425000009
ACC_pS79-R-V	0.43548241875
ACC1-R-E	0.65387170625
Acetyl-a-Tubulin-Lys40-R-C	0.19007780775
ACVRL1-R-C	-0.12554342625
ADAR1-M-V	0.08756595125
Akt-R-V	-0.21800973875
Akt_pS473-R-V	-0.17382201425
Akt_pT308-R-V	-0.21994841975
alpha-Catenin-M-V	0.0356983827499999
AMPK_alpha-R-C	0.01570747125
AMPK_pT172-R-V	0.11985588625
Annexin-1-M-E	0.00184316675000007
Annexin_VII-M-V	-0.0818210157499999
AR-R-V	-0.08095316425
DIRAS3-M-E	-0.00184316675000007
ASNS-R-V	1.02617985675
ATM-R-E	-0.19137277825
B-Raf-M-C	-0.12110558425
Bad_pS112-R-V	-0.05499333875
Bak-R-C	0.12501178175
Bap1-c-4-M-E	0.22853177225
Bax-R-V	-0.01041190675
Bcl-2-M-V	-0.10261546025
Bcl-xL-R-V	-0.18716534025
Beclin-G-C	-0.28426748275
beta-Catenin-R-V	0.12143882725
Bid-R-C	-0.04539016325
Bim-R-V	0.20037110375
c-Jun_pS73-R-V	0.13208496175
c-Kit-R-V	-0.53240541975
c-Met-M-E	-0.00918262825000005
c-Met_pY1235-R-V	-0.02360175975
c-Myc-R-C	0.11643721525
C-Raf-R-V	0.37942218925
C-Raf_pS338-R-V	-0.06533192375
Caspase-7_cleavedD198-R-C	0.07036258475
Caspase-8-M-E	0.06555263025
Caveolin-1-R-V	-0.22618626225
CD20-R-C	0.10790863575
CD31-M-V	0.0287355917500001
CD49b-M-V	-0.10199816625
CDK1-R-V	0.30711785475
Chk1-M-C	0.45834255625
Chk1_pS345-R-C	0.13867031825
Chk2-M-E	0.18115187025
Chk2_pT68-R-C	0.14899942225
cIAP-R-V	0.07112463025
Claudin-7-R-V	0.94763537875
Collagen_VI-R-V	-0.09728550675
Cyclin_B1-R-V	1.13239550175
Cyclin_D1-R-V	-0.48336101875
Cyclin_E1-M-V	0.27382938675
Cyclin_E2-R-C	0.16341719775
DJ-1-R-E	-0.02813258675
Dvl3-R-V	-0.20792566775
E-Cadherin-R-V	0.99678212875
eEF2-R-C	-0.18310435875
eEF2K-R-V	0.08980951575
EGFR-R-V	-0.11152798025
EGFR_pY1068-R-C	-0.10816369475
EGFR_pY1173-R-V	0.04721283725
eIF4E-R-V	0.10201515175
eIF4G-R-C	0.67092809125
ER-alpha-R-V	0.01206726825
ER-alpha_pS118-R-V	0.07862423675
ERCC1-M-V	-0.07395268825
ERK2-R-E	-0.21003709975
ETS-1-R-V	-0.11026858375
FASN-R-V	0.86380047975
Fibronectin-R-V	0.11130178275
FoxM1-R-V	0.58542666975
FOXO3a-R-C	0.02174446125
FOXO3a_pS318_S321-R-C	-0.11696043675
G6PD-M-V	-0.05579253825
GAB2-R-V	-0.42898026275
GAPDH-M-C	0.0498765902499999
GATA3-M-V	-0.27582443675
GSK3-alpha-beta-M-V	-0.12748668925
GSK3-alpha-beta_pS21_S9-R-V	-0.19822916425
GSK3_pS9-R-V	-0.11928378125
HER2-M-V	0.51230409825
HER2_pY1248-R-C	0.03473924975
HER3-R-V	0.19419310625
HER3_pY1289-R-C	-0.13877446025
Heregulin-R-V	0.29237298975
HSP70-R-C	-0.27051286625
IGFBP2-R-V	0.13156655525
INPP4B-R-V	-0.17756696525
IRS1-R-V	-0.16783565825
JAB1-M-C	0.04093579225
JNK_pT183_pY185-R-V	-0.05954045425
JNK2-R-C	0.05740850875
Ku80-R-C	-0.29305387125
Lck-R-V	-0.02473240175
LKB1-M-E	-0.07848424625
MAPK_pT202_Y204-R-V	-0.22598709625
MEK1-R-V	0.08025612225
MEK1_pS217_S221-R-V	-0.07379501925
MIG-6-M-V	0.28038914325
Mre11-R-C	-0.10583076625
MSH2-M-V	0.48278228725
MSH6-R-C	0.35405488425
mTOR-R-V	-0.02002047275
mTOR_pS2448-R-C	0.0262264372500001
MYH11-R-V	-2.51505497725
Myosin-IIa_pS1943-R-V	0.10369019175
N-Cadherin-R-V	-0.02111471675
N-Ras-M-V	0.0366822142499998
NDRG1_pT346-R-V	0.11932132925
NF-kB-p65_pS536-R-C	-0.13694494975
NF2-R-C	0.14646372225
Notch1-R-V	0.26422629475
P-Cadherin-R-C	-0.29340795675
p21-R-V	-0.72063199375
p27-R-V	-0.05458180475
p27_pT157-R-C	0.10371847875
p27_pT198-R-V	0.01011435725
p38_MAPK-R-V	-0.10422496975
p38_pT180_Y182-R-V	-0.17616226775
p53-R-E	0.18984048675
p62-LCK-ligand-M-C	-0.08891492975
p70S6K-R-V	0.0637427082499999
p70S6K_pT389-R-V	-0.0596558262499999
p90RSK-R-C	0.31146374775
p90RSK_pT359_S363-R-C	0.0247443357500001
PAI-1-M-E	1.04792650325
PARP_cleaved-M-E	0.25835294675
PARP1-R-V	0.43331126225
Paxillin-R-C	0.51701827525
PCNA-M-C	0.25096131625
PDCD4-R-C	-0.90555076875
PDK1-R-V	0.22066652725
PDK1_pS241-R-V	0.19314060475
PEA15-R-V	-0.09947232375
PEA15_pS116-R-V	-0.10061969125
PI3K-p110-alpha-R-C	-0.07594924125
PI3K-p85-R-V	-0.00470124824999996
PKC-alpha-M-V	-0.15122764075
PKC-alpha_pS657-R-C	-0.25678881425
PKC-delta_pS664-R-V	-0.05616215325
PKC-pan_BetaII_pS660-R-V	-0.24592627225
PR-R-V	0.00416557925
PRAS40_pT246-R-V	0.18933011575
PRDX1-R-V	0.15672684675
PREX1-R-E	-0.49815571325
PTEN-R-V	-0.18347597875
Rab11-R-E	-0.0114675862499999
Rab25-R-V	0.19362166475
Rad50-M-V	0.06514673475
Rad51-R-V	-0.05157468375
Raptor-R-V	-0.16164683275
Rb-M-E	-0.11726204525
Rb_pS807_S811-R-V	0.01785501675
RBM15-R-V	0.37881621275
Rictor-R-C	-0.23670263975
Rictor_pT1135-R-V	-0.13536481375
S6-R-E	0.12188815875
S6_pS235_S236-R-V	-0.10140687875
S6_pS240_S244-R-V	0.09902260575
SCD-M-V	-0.0940025492500003
SETD2-R-E	-0.05394311625
SF2-M-V	-0.15905252375
Shc_pY317-R-E	0.0799154042499999
Smac-M-E	-0.22201039425
Smad1-R-V	0.19310237675
Smad3-R-V	0.0657529207500001
Smad4-M-V	0.10832157875
Snail-M-E	0.14589991975
Src-M-V	-0.16934238525
Src_pY416-R-C	0.10331224475
Src_pY527-R-V	-0.52171270775
STAT3_pY705-R-V	-0.28947465475
STAT5-alpha-R-V	-0.26335134825
Stathmin-R-V	0.10458543575
Syk-M-V	0.0109164877499998
TAZ-R-V	-0.04597215125
TFRC-R-V	0.24739006475
TIGAR-R-V	-0.07559161825
Transglutaminase-M-V	-0.10524683275
TSC1-R-C	-0.0636191407500001
TTF1-R-V	0.13066994075
Tuberin-R-E	-0.06805907175
Tuberin_pT1462-R-V	0.11415766425
VEGFR2-R-V	-0.10158783375
EPPK1-M-E	2.09409671725
XBP1-G-C	-0.38704365825
XRCC1-R-E	0.03631276375
YAP-R-E	-0.06873515875
YAP_pS127-R-E	-0.25276474275
YB-1-R-V	0.01149731475
YB-1_pS102-R-V	-0.08122468425
A-Raf-R-V	0.06186041175
ARID1A-R-C	-0.01531586875
B-Raf_pS445-R-V	-0.12618888825
Bcl2A1-R-V	-0.06976979775
BRD4-R-V	0.05166163925
c-Abl-R-V	-0.05044411725
Caspase-3-R-C	0.31612596825
CD26-R-V	-0.06907478725
Chk1_pS296-R-V	0.12136436475
COG3-R-V	0.05479152575
DUSP4-R-V	0.58476811825
ERCC5-R-C	0.0501786462499999
