Sample REF	A942E64E-C1DC-4D63-9CD8-0F1D98F01E4B
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.132409466
14-3-3_epsilon-M-C	-0.0699588590000001
14-3-3_zeta-R-V	0.0409097675000001
4E-BP1-R-V	0.181642247
4E-BP1_pS65-R-V	0.151120731
4E-BP1_pT37_T46-R-V	0.299295666
4E-BP1_pT70-R-V	0.123073911
53BP1-R-E	0.1666340495
A-Raf_pS299-R-C	-0.1552703315
ACC_pS79-R-V	-0.4030622125
ACC1-R-E	-0.124151518
Acetyl-a-Tubulin-Lys40-R-C	-0.5289514155
ACVRL1-R-C	0.1479919345
ADAR1-M-V	-0.229618784
Akt-R-V	0.401010237
Akt_pS473-R-V	0.1779033355
Akt_pT308-R-V	0.073174901
alpha-Catenin-M-V	0.0323352615
AMPK_alpha-R-C	0.081303818
AMPK_pT172-R-V	0.122626774
Annexin-1-M-E	-0.0512858164999999
Annexin_VII-M-V	-0.116688701
AR-R-V	-0.2247495945
DIRAS3-M-E	0.0732277170000001
ASNS-R-V	-0.5309257265
ATM-R-E	0.1870318645
B-Raf-M-C	-0.4080593075
Bad_pS112-R-V	-0.039677972
Bak-R-C	-0.0123942244999999
Bap1-c-4-M-E	-0.339537038
Bax-R-V	0.012633069
Bcl-2-M-V	-0.0688469804999999
Bcl-xL-R-V	0.0911523855
Beclin-G-C	-0.0472182160000001
beta-Catenin-R-V	0.49596613
Bid-R-C	0.2943466695
Bim-R-V	-0.3626514205
c-Jun_pS73-R-V	0.1470031515
c-Kit-R-V	0.218389802
c-Met-M-E	-0.0419992205
c-Met_pY1235-R-V	0.146230873
c-Myc-R-C	-0.00313168099999997
C-Raf-R-V	-0.056270457
C-Raf_pS338-R-V	0.228446451
Caspase-7_cleavedD198-R-C	-0.2466327405
Caspase-8-M-E	0.052873413
Caveolin-1-R-V	0.2631597465
CD20-R-C	-0.1591943325
CD31-M-V	0.1457942365
CD49b-M-V	0.1883915145
CDK1-R-V	-0.1539116895
Chk1-M-C	0.203165835
Chk1_pS345-R-C	-0.224150216
Chk2-M-E	0.050275056
Chk2_pT68-R-C	0.205694978
cIAP-R-V	0.036186082
Claudin-7-R-V	-0.6398105485
Collagen_VI-R-V	-0.193310199
Cyclin_B1-R-V	-0.4795841775
Cyclin_D1-R-V	0.480519355
Cyclin_E1-M-V	-0.2064444995
Cyclin_E2-R-C	-0.0410529705
DJ-1-R-E	-0.236626343
Dvl3-R-V	0.111227585
E-Cadherin-R-V	-0.1936013915
eEF2-R-C	-0.164714017
eEF2K-R-V	-0.3152458255
EGFR-R-V	0.2547464315
EGFR_pY1068-R-C	-0.0933175490000001
EGFR_pY1173-R-V	0.084140397
eIF4E-R-V	0.00922480850000004
eIF4G-R-C	-0.332361107
ER-alpha-R-V	0.0571068279999999
ER-alpha_pS118-R-V	-0.2253311345
ERCC1-M-V	0.0038120435
ERK2-R-E	-0.0580070750000001
ETS-1-R-V	0.199790843
FASN-R-V	0.0892234325
Fibronectin-R-V	1.0098029315
FoxM1-R-V	0.00144241850000001
FOXO3a-R-C	-0.0261425890000001
FOXO3a_pS318_S321-R-C	-0.0116154149999999
G6PD-M-V	-0.1498623275
GAB2-R-V	-0.189618391
GAPDH-M-C	0.0935937339999998
GATA3-M-V	0.3824338
GSK3-alpha-beta-M-V	0.1828522355
GSK3-alpha-beta_pS21_S9-R-V	-0.5792377325
GSK3_pS9-R-V	-0.4557519165
HER2-M-V	0.324825026
HER2_pY1248-R-C	0.2351641585
HER3-R-V	-0.399928027
HER3_pY1289-R-C	0.1799735655
Heregulin-R-V	0.2216946645
HSP70-R-C	1.7043703565
IGFBP2-R-V	-0.16428894
INPP4B-R-V	-0.1178134855
IRS1-R-V	0.2835673175
JAB1-M-C	-0.166423096
JNK_pT183_pY185-R-V	0.3265949445
JNK2-R-C	-0.0384087015
Ku80-R-C	-0.2256343485
Lck-R-V	0.480877297
LKB1-M-E	0.2304554745
MAPK_pT202_Y204-R-V	0.5890622875
MEK1-R-V	0.0352622370000001
MEK1_pS217_S221-R-V	0.3363978775
MIG-6-M-V	0.043488616
Mre11-R-C	0.2011357075
MSH2-M-V	-0.527524521
MSH6-R-C	-0.702191428
mTOR-R-V	-0.307910327
mTOR_pS2448-R-C	-0.22184136
MYH11-R-V	-2.0817818725
Myosin-IIa_pS1943-R-V	0.5356816355
N-Cadherin-R-V	0.259915889
N-Ras-M-V	0.154091931
NDRG1_pT346-R-V	-0.553990729
NF-kB-p65_pS536-R-C	-0.119006212
NF2-R-C	0.089626901
Notch1-R-V	0.3437780005
P-Cadherin-R-C	0.085213622
p21-R-V	-0.031203551
p27-R-V	0.229428413
p27_pT157-R-C	0.00602152849999996
p27_pT198-R-V	0.058706631
p38_MAPK-R-V	0.361965639
p38_pT180_Y182-R-V	0.156792296
p53-R-E	-0.00144241850000001
p62-LCK-ligand-M-C	-0.103369928
p70S6K-R-V	-0.216617075
p70S6K_pT389-R-V	-0.0755290224999999
p90RSK-R-C	0.0221414265000001
p90RSK_pT359_S363-R-C	0.3154201105
PAI-1-M-E	-0.09672305
PARP_cleaved-M-E	-0.1647247595
PARP1-R-V	-0.480356162
Paxillin-R-C	-0.055357205
PCNA-M-C	-0.195568817
PDCD4-R-C	0.201638622
PDK1-R-V	-0.101995517
PDK1_pS241-R-V	-0.0630159905
