Sample REF	29296235-74FD-4CA0-8A23-212CC14AFFC3
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0233037852499999
14-3-3_epsilon-M-C	-0.0473726572499999
14-3-3_zeta-R-V	0.0776070152500001
4E-BP1-R-V	0.12927019475
4E-BP1_pS65-R-V	0.08240318175
4E-BP1_pT37_T46-R-V	0.10073929175
4E-BP1_pT70-R-V	0.10667855475
53BP1-R-E	0.18486403225
A-Raf_pS299-R-C	0.13603410525
ACC_pS79-R-V	0.25381010725
ACC1-R-E	0.0447525127500001
Acetyl-a-Tubulin-Lys40-R-C	0.08659077025
ACVRL1-R-C	0.07494520125
ADAR1-M-V	-0.06420402225
Akt-R-V	0.50813590475
Akt_pS473-R-V	0.69900162225
Akt_pT308-R-V	0.56035237075
alpha-Catenin-M-V	0.12960934825
AMPK_alpha-R-C	0.08398401475
AMPK_pT172-R-V	0.19646328575
Annexin-1-M-E	0.61631361925
Annexin_VII-M-V	0.08484693675
AR-R-V	1.28343301825
DIRAS3-M-E	0.0760034827500001
ASNS-R-V	-0.54262206475
ATM-R-E	-0.59143995775
B-Raf-M-C	-0.22697774375
Bad_pS112-R-V	0.27990584475
Bak-R-C	0.0159432392500001
Bap1-c-4-M-E	0.14300247775
Bax-R-V	-0.26627961925
Bcl-2-M-V	0.65236597725
Bcl-xL-R-V	0.28759497025
Beclin-G-C	-0.0439786242500001
beta-Catenin-R-V	0.42795874875
Bid-R-C	-0.08914072275
Bim-R-V	0.17299715025
c-Jun_pS73-R-V	0.47689649125
c-Kit-R-V	-0.63620631625
c-Met-M-E	-0.13840798575
c-Met_pY1235-R-V	-0.14082633425
c-Myc-R-C	-0.07263445425
C-Raf-R-V	-0.32648038125
C-Raf_pS338-R-V	0.03888399275
Caspase-7_cleavedD198-R-C	-0.52188233575
Caspase-8-M-E	-0.08088556825
Caveolin-1-R-V	0.0961285182500001
CD20-R-C	-0.18641917275
CD31-M-V	0.02581416525
CD49b-M-V	0.52480136625
CDK1-R-V	-0.03574185175
Chk1-M-C	-0.84065332825
Chk1_pS345-R-C	-0.16516536925
Chk2-M-E	-0.55262300425
Chk2_pT68-R-C	-0.17726453125
cIAP-R-V	-0.08827241725
Claudin-7-R-V	-0.35245884975
Collagen_VI-R-V	-0.07158131825
Cyclin_B1-R-V	-1.28847151275
Cyclin_D1-R-V	-0.27680648325
Cyclin_E1-M-V	-0.17645091375
Cyclin_E2-R-C	-0.00876113775000001
DJ-1-R-E	-2.67362500000062e-05
Dvl3-R-V	0.68137123875
E-Cadherin-R-V	0.27174575725
eEF2-R-C	-0.25937670425
eEF2K-R-V	-0.00338522375
EGFR-R-V	0.26559508525
EGFR_pY1068-R-C	0.28510002375
EGFR_pY1173-R-V	-0.12024269525
eIF4E-R-V	-0.03977610175
eIF4G-R-C	0.08341561175
ER-alpha-R-V	0.03951483575
ER-alpha_pS118-R-V	-0.19652978875
ERCC1-M-V	0.31148615725
ERK2-R-E	0.13064914875
ETS-1-R-V	-0.13043155625
FASN-R-V	0.21010269025
Fibronectin-R-V	-0.10947024375
FoxM1-R-V	0.04021180925
FOXO3a-R-C	-0.05219421725
FOXO3a_pS318_S321-R-C	0.06206042775
G6PD-M-V	-0.0803251277500001
GAB2-R-V	-0.43519584125
GAPDH-M-C	-0.0515304892500001
GATA3-M-V	-0.0246626192500001
GSK3-alpha-beta-M-V	0.07094653125
GSK3-alpha-beta_pS21_S9-R-V	0.25946226325
GSK3_pS9-R-V	0.25280912325
HER2-M-V	1.03832184875
HER2_pY1248-R-C	-0.17664517575
HER3-R-V	-0.28152501925
HER3_pY1289-R-C	-0.12105477975
Heregulin-R-V	-0.05834956175
HSP70-R-C	-0.47694239375
IGFBP2-R-V	-0.21974961225
INPP4B-R-V	0.03315289825
IRS1-R-V	0.13976415825
JAB1-M-C	0.0104869917500002
JNK_pT183_pY185-R-V	0.27207326625
JNK2-R-C	0.47265369925
Ku80-R-C	-0.48855185275
Lck-R-V	-0.23523701725
LKB1-M-E	-0.11232891875
MAPK_pT202_Y204-R-V	0.33646568425
MEK1-R-V	0.22854300975
MEK1_pS217_S221-R-V	-0.07974277475
MIG-6-M-V	-0.17805954925
Mre11-R-C	-0.10267987875
MSH2-M-V	-0.24161627325
MSH6-R-C	-0.83621086225
mTOR-R-V	-0.28144313825
mTOR_pS2448-R-C	0.12209492275
MYH11-R-V	-0.54902599175
Myosin-IIa_pS1943-R-V	-0.05820223675
N-Cadherin-R-V	-0.16155179825
N-Ras-M-V	-0.00897594125000008
NDRG1_pT346-R-V	0.42795930675
NF-kB-p65_pS536-R-C	0.22006462475
NF2-R-C	0.15306142975
Notch1-R-V	0.05115354525
P-Cadherin-R-C	-0.16983264125
p21-R-V	-0.25178119325
p27-R-V	-0.05800192525
p27_pT157-R-C	-0.0801927987500001
p27_pT198-R-V	-0.10774586825
p38_MAPK-R-V	0.22436411075
p38_pT180_Y182-R-V	0.80442721575
p53-R-E	-0.05530110675
p62-LCK-ligand-M-C	0.06923246575
p70S6K-R-V	0.26514138675
p70S6K_pT389-R-V	-0.17480667575
p90RSK-R-C	0.04742325925
p90RSK_pT359_S363-R-C	0.00986596425000012
PAI-1-M-E	-0.22348484025
PARP_cleaved-M-E	-0.10222433575
PARP1-R-V	-0.72589846025
Paxillin-R-C	-0.41880866225
PCNA-M-C	-0.13057402225
PDCD4-R-C	-0.17513457425
PDK1-R-V	0.0436164337499999
PDK1_pS241-R-V	0.07017179025
PEA15-R-V	0.0830485997499999
PEA15_pS116-R-V	-0.14754243375
PI3K-p110-alpha-R-C	0.44534198825
PI3K-p85-R-V	-0.0272637327499999
PKC-alpha-M-V	0.48399604175
PKC-alpha_pS657-R-C	0.54103261925
PKC-delta_pS664-R-V	0.07645668125
PKC-pan_BetaII_pS660-R-V	0.38352800625
PR-R-V	-0.03512610325
PRAS40_pT246-R-V	0.08092206625
PRDX1-R-V	-0.89070065475
PREX1-R-E	-0.19448405375
PTEN-R-V	0.66927614375
Rab11-R-E	-0.10912123075
Rab25-R-V	0.81231170325
Rad50-M-V	-0.12143337475
Rad51-R-V	-0.32305796925
Raptor-R-V	-0.13642046225
Rb-M-E	0.02812520725
Rb_pS807_S811-R-V	2.67362500000062e-05
RBM15-R-V	-0.39210395175
Rictor-R-C	-0.40707053125
Rictor_pT1135-R-V	-0.01916357325
S6-R-E	-0.40442051575
S6_pS235_S236-R-V	0.0494485667499998
S6_pS240_S244-R-V	0.12619608825
SCD-M-V	-0.0275729107500002
SETD2-R-E	-0.12692917075
SF2-M-V	0.00367137174999992
Shc_pY317-R-E	0.15892439875
Smac-M-E	0.0617299252499999
Smad1-R-V	0.03237952125
Smad3-R-V	-0.12618451775
Smad4-M-V	0.28734905525
Snail-M-E	-0.36754126375
Src-M-V	-0.04621893475
Src_pY416-R-C	0.19084486825
Src_pY527-R-V	0.44082386875
STAT3_pY705-R-V	0.29321257575
STAT5-alpha-R-V	-0.0729697277500001
Stathmin-R-V	-0.19722610475
Syk-M-V	-0.33006561375
TAZ-R-V	0.03280542525
TFRC-R-V	0.02413499325
TIGAR-R-V	-0.44899484575
Transglutaminase-M-V	-0.01809717025
TSC1-R-C	0.04855900275
TTF1-R-V	-0.19241582375
Tuberin-R-E	0.10153372175
Tuberin_pT1462-R-V	0.75671672375
VEGFR2-R-V	-0.41227546525
EPPK1-M-E	0.32593222075
XBP1-G-C	0.0935172472500001
XRCC1-R-E	0.37344466725
YAP-R-E	0.01775438775
YAP_pS127-R-E	0.11939848475
YB-1-R-V	0.12091191125
YB-1_pS102-R-V	0.07916513925
A-Raf-R-V	0.15998211725
ARID1A-R-C	0.16806267475
B-Raf_pS445-R-V	-0.00711696375
Bcl2A1-R-V	-0.14225642325
BRD4-R-V	0.25942331475
c-Abl-R-V	0.01105956125
Caspase-3-R-C	-0.12380271625
CD26-R-V	-0.00769675175000013
Chk1_pS296-R-V	-0.23936072975
COG3-R-V	0.30842291125
DUSP4-R-V	-0.11236955825
ERCC5-R-C	0.0140572537499999
IGF1R_pY1135_Y1136-R-V	-0.0576825872499999
IRF-1-R-C	-0.09233261275
Jak2-R-V	-0.02277066675
p16_INK4a-R-V	0.00038584825000014
SHP-2_pY542-R-C	0.45857581525
CDK1_pY15-R-C	-0.12113637625
