Sample REF	1B514421-2B6B-4E45-B655-EEE9E38439EA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.10356736125
14-3-3_epsilon-M-C	-0.0478799642500001
14-3-3_zeta-R-V	-0.11947384075
4E-BP1-R-V	0.16993870475
4E-BP1_pS65-R-V	0.02468643275
4E-BP1_pT37_T46-R-V	0.34198196775
4E-BP1_pT70-R-V	0.31601264675
53BP1-R-E	0.43711600925
A-Raf_pS299-R-C	-0.10922717075
ACC_pS79-R-V	0.17313101925
ACC1-R-E	-0.02936590525
Acetyl-a-Tubulin-Lys40-R-C	-0.47621617975
ACVRL1-R-C	-0.03646845075
ADAR1-M-V	-0.24101846825
Akt-R-V	0.28783208775
Akt_pS473-R-V	0.31931878525
Akt_pT308-R-V	0.34343250475
alpha-Catenin-M-V	-0.10530058475
AMPK_alpha-R-C	0.11411476375
AMPK_pT172-R-V	0.34434470675
Annexin-1-M-E	-0.11821912475
Annexin_VII-M-V	-0.18686497825
AR-R-V	-0.15621060275
DIRAS3-M-E	-0.10010457325
ASNS-R-V	-0.39155989275
ATM-R-E	-0.10520363275
B-Raf-M-C	-0.01071190375
Bad_pS112-R-V	0.00711107974999997
Bak-R-C	-0.0218085317499999
Bap1-c-4-M-E	0.07047314375
Bax-R-V	-0.16738779225
Bcl-2-M-V	0.0791329442499999
Bcl-xL-R-V	-0.01277701175
Beclin-G-C	-0.27822079425
beta-Catenin-R-V	0.55719988475
Bid-R-C	0.22722845325
Bim-R-V	-0.12821129675
c-Jun_pS73-R-V	0.20245813225
c-Kit-R-V	-0.31671213925
c-Met-M-E	-0.22621768075
c-Met_pY1235-R-V	-0.07730229025
c-Myc-R-C	-0.14126431525
C-Raf-R-V	0.10671415575
C-Raf_pS338-R-V	0.14154062675
Caspase-7_cleavedD198-R-C	-0.60145961175
Caspase-8-M-E	-0.18674850325
Caveolin-1-R-V	0.16604454425
CD20-R-C	-0.11971890575
CD31-M-V	0.01551485025
CD49b-M-V	0.14651547225
CDK1-R-V	-0.02812042775
Chk1-M-C	-0.23892502525
Chk1_pS345-R-C	0.000121016750000008
Chk2-M-E	-0.66793632025
Chk2_pT68-R-C	-0.14287169925
cIAP-R-V	0.06695047075
Claudin-7-R-V	-0.51126782875
Collagen_VI-R-V	-0.07635844025
Cyclin_B1-R-V	-0.80240136775
Cyclin_D1-R-V	0.37553572675
Cyclin_E1-M-V	-0.08185324675
Cyclin_E2-R-C	-0.15083684675
DJ-1-R-E	0.06032483875
Dvl3-R-V	0.06306972875
E-Cadherin-R-V	-0.52529781975
eEF2-R-C	-0.17547649725
eEF2K-R-V	-0.30894991175
EGFR-R-V	-0.05129572275
EGFR_pY1068-R-C	-0.07821059125
EGFR_pY1173-R-V	-0.09771931425
eIF4E-R-V	-0.15607168075
eIF4G-R-C	-0.18461867825
ER-alpha-R-V	-0.0379373002500001
ER-alpha_pS118-R-V	-0.13962742075
ERCC1-M-V	0.10416985025
ERK2-R-E	-0.17083645425
ETS-1-R-V	0.04972151775
FASN-R-V	-0.000121016750000008
Fibronectin-R-V	1.36293309725
FoxM1-R-V	0.31541800725
FOXO3a-R-C	-0.0677105082500001
FOXO3a_pS318_S321-R-C	0.0239716617500001
G6PD-M-V	-0.10422641675
GAB2-R-V	-0.15820142625
GAPDH-M-C	0.14490566675
GATA3-M-V	0.16062160675
GSK3-alpha-beta-M-V	0.03344772025
GSK3-alpha-beta_pS21_S9-R-V	0.03710588125
GSK3_pS9-R-V	0.28261015825
HER2-M-V	0.51374696075
HER2_pY1248-R-C	0.0960638932499999
HER3-R-V	0.64439121975
HER3_pY1289-R-C	0.00675617924999991
Heregulin-R-V	0.48197275425
HSP70-R-C	0.49359229625
IGFBP2-R-V	0.14068181875
INPP4B-R-V	-0.0947757047499998
IRS1-R-V	0.01554113225
JAB1-M-C	-0.0800687862500001
JNK_pT183_pY185-R-V	0.36021237725
JNK2-R-C	0.31604506125
Ku80-R-C	-0.48605725475
Lck-R-V	-0.42503999525
LKB1-M-E	0.07786871125
MAPK_pT202_Y204-R-V	0.0579006872499998
MEK1-R-V	-0.06602527025
MEK1_pS217_S221-R-V	0.0675606292499999
MIG-6-M-V	-0.21119381425
Mre11-R-C	0.03902162325
MSH2-M-V	-0.36307226825
MSH6-R-C	-0.40522612525
mTOR-R-V	-0.26145250425
mTOR_pS2448-R-C	-0.0374446552499999
MYH11-R-V	-0.97530413575
