Sample REF	DC523F7A-3708-4615-B3FE-2CDBFC76AC3C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0578034709999999
14-3-3_epsilon-M-C	-0.0303636889999999
14-3-3_zeta-R-V	-0.0752904154999999
4E-BP1-R-V	-0.119868044
4E-BP1_pS65-R-V	0.167866216
4E-BP1_pT37_T46-R-V	0.555298473
4E-BP1_pT70-R-V	0.252345049
53BP1-R-E	-0.0857256624999998
A-Raf_pS299-R-C	-0.1133146625
ACC_pS79-R-V	-0.2733575435
ACC1-R-E	-0.292483607
Acetyl-a-Tubulin-Lys40-R-C	1.1215963855
ACVRL1-R-C	0.2900729705
ADAR1-M-V	0.000827198000000084
Akt-R-V	0.394454344
Akt_pS473-R-V	0.3917887785
Akt_pT308-R-V	0.505351679
alpha-Catenin-M-V	0.00333085249999998
AMPK_alpha-R-C	0.227256168
AMPK_pT172-R-V	0.292167903
Annexin-1-M-E	-0.2648734265
Annexin_VII-M-V	-0.275793315
AR-R-V	-0.1869195345
DIRAS3-M-E	0.0056159640000002
ASNS-R-V	-0.2663893785
ATM-R-E	-0.1984276015
B-Raf-M-C	-0.0448875135
Bad_pS112-R-V	-0.088504749
Bak-R-C	0.0711603115000001
Bap1-c-4-M-E	-0.0307356
Bax-R-V	0.050740032
Bcl-2-M-V	0.1417138635
Bcl-xL-R-V	-0.2957703825
Beclin-G-C	-0.138295665
beta-Catenin-R-V	0.613834001
Bid-R-C	0.4061865975
Bim-R-V	-0.00222977249999999
c-Jun_pS73-R-V	-0.0752857705000001
c-Kit-R-V	-0.372841459
c-Met-M-E	-0.0918310625000001
c-Met_pY1235-R-V	0.081166503
c-Myc-R-C	0.081429632
C-Raf-R-V	0.0432573840000001
C-Raf_pS338-R-V	0.343680034
Caspase-7_cleavedD198-R-C	-0.7310699865
Caspase-8-M-E	-0.132468835
Caveolin-1-R-V	-0.2932731165
CD20-R-C	0.1456732165
CD31-M-V	-0.0519292405
CD49b-M-V	-0.0198951735000001
CDK1-R-V	-0.00867182449999998
Chk1-M-C	-0.105299831
Chk1_pS345-R-C	-0.00875860999999994
Chk2-M-E	-0.542987277
Chk2_pT68-R-C	0.276475219
cIAP-R-V	-0.083185762
Claudin-7-R-V	-0.3485648605
Collagen_VI-R-V	-0.144689499
Cyclin_B1-R-V	-0.8468610665
Cyclin_D1-R-V	0.139923675
Cyclin_E1-M-V	-0.1603452915
Cyclin_E2-R-C	-0.1481541255
DJ-1-R-E	0.063961562
Dvl3-R-V	0.105762929
E-Cadherin-R-V	0.3316194055
eEF2-R-C	-0.617727696
eEF2K-R-V	-0.1479604605
EGFR-R-V	0.2597300115
EGFR_pY1068-R-C	0.340613356
EGFR_pY1173-R-V	0.143525892
eIF4E-R-V	-0.1147927465
eIF4G-R-C	-0.058787931
ER-alpha-R-V	0.28139772
ER-alpha_pS118-R-V	0.1908978665
ERCC1-M-V	0.0859604325
ERK2-R-E	0.226913776
ETS-1-R-V	-0.00745927499999999
FASN-R-V	0.3440716875
Fibronectin-R-V	0.4056061445
FoxM1-R-V	0.1656138845
FOXO3a-R-C	0.155001426
FOXO3a_pS318_S321-R-C	-0.00411211599999994
G6PD-M-V	-0.0826352735
GAB2-R-V	-0.490666036
GAPDH-M-C	-1.5474302
GATA3-M-V	0.0555212509999999
GSK3-alpha-beta-M-V	0.0202517855000001
GSK3-alpha-beta_pS21_S9-R-V	0.0817067605
GSK3_pS9-R-V	0.2421565215
HER2-M-V	0.340569517
HER2_pY1248-R-C	0.3214049755
HER3-R-V	-0.178207392
HER3_pY1289-R-C	0.3369862055
Heregulin-R-V	0.0967521565
HSP70-R-C	0.2179558555
IGFBP2-R-V	0.769077959
INPP4B-R-V	0.1907190805
IRS1-R-V	0.3732451975
JAB1-M-C	-0.0946212290000001
JNK_pT183_pY185-R-V	0.1724117535
JNK2-R-C	-0.1324719485
Ku80-R-C	-0.3695041455
Lck-R-V	-0.526974284
LKB1-M-E	0.2814436775
MAPK_pT202_Y204-R-V	0.2372684825
MEK1-R-V	-0.039472039
MEK1_pS217_S221-R-V	0.1480814445
MIG-6-M-V	-0.087239925
Mre11-R-C	0.3286063995
MSH2-M-V	-0.2792063
MSH6-R-C	-0.514906431
mTOR-R-V	-0.311779779
mTOR_pS2448-R-C	-0.0497166269999998
MYH11-R-V	-1.6626235315
Myosin-IIa_pS1943-R-V	0.1214116735
N-Cadherin-R-V	0.340245947
N-Ras-M-V	0.0392538229999999
NDRG1_pT346-R-V	-0.053225702
NF-kB-p65_pS536-R-C	0.236605433
NF2-R-C	-0.223933617
Notch1-R-V	0.3700886705
P-Cadherin-R-C	-0.024835221
p21-R-V	0.104839161
p27-R-V	0.046016881
p27_pT157-R-C	0.0344054695
p27_pT198-R-V	-0.103616312
p38_MAPK-R-V	-0.03227998
p38_pT180_Y182-R-V	-0.069398984
p53-R-E	0.2732153175
p62-LCK-ligand-M-C	-0.046966516
p70S6K-R-V	-0.139526564
p70S6K_pT389-R-V	0.2323043795
p90RSK-R-C	0.0800434635
p90RSK_pT359_S363-R-C	0.3548254345
PAI-1-M-E	-0.228588472
PARP_cleaved-M-E	-0.1128018865
PARP1-R-V	-0.379787173
Paxillin-R-C	-0.038647452
PCNA-M-C	-0.129805041
PDCD4-R-C	-1.196791561
PDK1-R-V	0.132661125
PDK1_pS241-R-V	0.1957691545
PEA15-R-V	-0.031049011
PEA15_pS116-R-V	-0.0724240875
PI3K-p110-alpha-R-C	0.1182119495
PI3K-p85-R-V	0.0470239555
PKC-alpha-M-V	0.154171586
PKC-alpha_pS657-R-C	0.1099376155
PKC-delta_pS664-R-V	-0.1299083295
