Sample REF	287CB762-AF9A-4750-B08B-967DE9A655A9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.15438693775
14-3-3_epsilon-M-C	-0.04741580475
14-3-3_zeta-R-V	0.29987172375
4E-BP1-R-V	0.37379773825
4E-BP1_pS65-R-V	-0.15046324575
4E-BP1_pT37_T46-R-V	0.13415106725
4E-BP1_pT70-R-V	-0.06646393975
53BP1-R-E	-0.0108821282499999
A-Raf_pS299-R-C	-0.18644863725
ACC_pS79-R-V	0.19451332375
ACC1-R-E	0.41347569525
Acetyl-a-Tubulin-Lys40-R-C	-1.10001922825
ACVRL1-R-C	0.04592470675
ADAR1-M-V	0.24963379725
Akt-R-V	0.00286665724999996
Akt_pS473-R-V	0.0380380107499999
Akt_pT308-R-V	-0.33223340375
alpha-Catenin-M-V	-0.16933270825
AMPK_alpha-R-C	0.15540526825
AMPK_pT172-R-V	0.00505093224999997
Annexin-1-M-E	-0.16494564625
Annexin_VII-M-V	0.15105675325
AR-R-V	-0.03503003025
DIRAS3-M-E	-0.18350083875
ASNS-R-V	0.42060725975
ATM-R-E	0.41191850875
B-Raf-M-C	0.25752304875
Bad_pS112-R-V	0.01420258025
Bak-R-C	-0.0851685382499999
Bap1-c-4-M-E	0.03088421025
Bax-R-V	0.19896386225
Bcl-2-M-V	0.32483060975
Bcl-xL-R-V	-0.36500279525
Beclin-G-C	-0.18689224575
beta-Catenin-R-V	-0.49317163575
Bid-R-C	-0.34036251525
Bim-R-V	0.16034188775
c-Jun_pS73-R-V	-0.09380374825
c-Kit-R-V	0.13760550225
c-Met-M-E	-0.15169918525
c-Met_pY1235-R-V	0.01767199825
c-Myc-R-C	0.03159036025
C-Raf-R-V	0.0998062972500001
C-Raf_pS338-R-V	-0.26261152175
Caspase-7_cleavedD198-R-C	0.68930967075
Caspase-8-M-E	-0.02407284075
Caveolin-1-R-V	-0.22352722125
CD20-R-C	0.03862335375
CD31-M-V	-0.0233739032499999
CD49b-M-V	-0.32139348425
CDK1-R-V	0.00876857474999998
Chk1-M-C	0.07752588825
Chk1_pS345-R-C	-0.08703541675
Chk2-M-E	1.12767324225
Chk2_pT68-R-C	-0.37061933175
cIAP-R-V	0.07978982525
Claudin-7-R-V	-0.26586302525
Collagen_VI-R-V	-0.28210404375
Cyclin_B1-R-V	0.28334583075
Cyclin_D1-R-V	-0.36764521275
Cyclin_E1-M-V	0.07241152275
Cyclin_E2-R-C	0.29165016875
DJ-1-R-E	0.00311709425000001
Dvl3-R-V	-0.36148897475
E-Cadherin-R-V	0.16316802275
eEF2-R-C	0.25150457225
eEF2K-R-V	0.07225030775
EGFR-R-V	-0.25506914225
EGFR_pY1068-R-C	-0.02289899875
EGFR_pY1173-R-V	-0.0194301327500001
eIF4E-R-V	0.08366479375
eIF4G-R-C	0.19271665825
ER-alpha-R-V	0.16962061125
ER-alpha_pS118-R-V	0.30157241575
ERCC1-M-V	0.07618328075
ERK2-R-E	0.33574034525
ETS-1-R-V	0.02515013025
FASN-R-V	-0.23012264525
Fibronectin-R-V	-1.27694517025
FoxM1-R-V	0.26845832775
FOXO3a-R-C	0.09530089625
FOXO3a_pS318_S321-R-C	-0.30989709875
G6PD-M-V	-0.0854027782500001
GAB2-R-V	0.47081870225
GAPDH-M-C	-0.31630495575
GATA3-M-V	-0.00363638175000003
GSK3-alpha-beta-M-V	0.50020650875
GSK3-alpha-beta_pS21_S9-R-V	0.19175624575
GSK3_pS9-R-V	-0.22227503425
HER2-M-V	-0.13499142175
HER2_pY1248-R-C	0.0561021427499999
HER3-R-V	-0.18507378875
HER3_pY1289-R-C	0.18602064275
Heregulin-R-V	0.02160511575
HSP70-R-C	-1.03386511325
IGFBP2-R-V	-1.09733215675
INPP4B-R-V	0.15862913275
IRS1-R-V	-0.05240396625
JAB1-M-C	-0.0485833767500002
JNK_pT183_pY185-R-V	-0.29357240125
JNK2-R-C	-0.16778285025
Ku80-R-C	0.32955228775
Lck-R-V	0.36996786625
LKB1-M-E	-0.14761552325
MAPK_pT202_Y204-R-V	-0.45872614525
MEK1-R-V	0.0382200922499999
MEK1_pS217_S221-R-V	-0.19771165725
MIG-6-M-V	-0.13068325175
Mre11-R-C	-0.05076811125
MSH2-M-V	0.06667133525
MSH6-R-C	0.0456904842500002
mTOR-R-V	0.19691568525
mTOR_pS2448-R-C	0.0355086932500001
MYH11-R-V	-0.31177286225
Myosin-IIa_pS1943-R-V	0.07334054775
N-Cadherin-R-V	-0.35696361775
N-Ras-M-V	-0.26512551775
NDRG1_pT346-R-V	-0.40794469075
NF-kB-p65_pS536-R-C	-0.43847902475
NF2-R-C	0.46963823925
Notch1-R-V	-0.04146914625
P-Cadherin-R-C	-0.07025604675
p21-R-V	-0.00096374975000002
p27-R-V	0.20410576625
p27_pT157-R-C	-0.05814468925
p27_pT198-R-V	-0.01679848075
p38_MAPK-R-V	0.0468112152499999
p38_pT180_Y182-R-V	0.37175626725
p53-R-E	0.06712870675
p62-LCK-ligand-M-C	0.42670137225
p70S6K-R-V	-0.16237284375
p70S6K_pT389-R-V	-0.22195561825
p90RSK-R-C	-0.10991382125
p90RSK_pT359_S363-R-C	-0.41887903625
PAI-1-M-E	-0.59285053975
PARP_cleaved-M-E	-0.0184044822500001
PARP1-R-V	0.84327544425
Paxillin-R-C	0.00876410224999991
PCNA-M-C	-0.18323607375
PDCD4-R-C	1.08623114325
PDK1-R-V	0.0641215642499999
PDK1_pS241-R-V	0.12046773175
PEA15-R-V	0.08400070925
PEA15_pS116-R-V	-0.14463129225
PI3K-p110-alpha-R-C	0.12502296675
PI3K-p85-R-V	0.60291666175
PKC-alpha-M-V	-0.14430863775
PKC-alpha_pS657-R-C	-0.23587037025
PKC-delta_pS664-R-V	0.32679864575
PKC-pan_BetaII_pS660-R-V	0.43146355775
PR-R-V	-0.20443724275
PRAS40_pT246-R-V	0.16293973675
PRDX1-R-V	0.24288801175
PREX1-R-E	0.51647980675
PTEN-R-V	0.09560841325
Rab11-R-E	-0.00307967624999994
Rab25-R-V	-0.22682107925
Rad50-M-V	-0.26265822325
Rad51-R-V	-0.29939639475
Raptor-R-V	0.16616076425
Rb-M-E	-0.23966216025
Rb_pS807_S811-R-V	0.03749472275
RBM15-R-V	0.0641290927500001
Rictor-R-C	-0.27559277075
Rictor_pT1135-R-V	-0.52081127575
S6-R-E	0.49826237675
S6_pS235_S236-R-V	0.0392887152499998
S6_pS240_S244-R-V	-0.11136541625
SCD-M-V	0.0141913007499997
SETD2-R-E	-0.20030957425
SF2-M-V	-0.07937314875
Shc_pY317-R-E	0.10079306325
Smac-M-E	0.43424266175
Smad1-R-V	0.17245202375
Smad3-R-V	0.04197180375
Smad4-M-V	-0.26508105625
Snail-M-E	0.39148602975
Src-M-V	-0.02504980725
Src_pY416-R-C	-0.14795051125
Src_pY527-R-V	-0.60909695375
STAT3_pY705-R-V	-0.02984556675
STAT5-alpha-R-V	0.70481686875
Stathmin-R-V	-0.19282555325
Syk-M-V	0.83544417375
TAZ-R-V	-0.29976845125
TFRC-R-V	-0.22057000525
TIGAR-R-V	0.0454784227499999
Transglutaminase-M-V	-0.16580142975
TSC1-R-C	-0.0710087297500001
TTF1-R-V	-0.06226073225
Tuberin-R-E	0.13059566525
Tuberin_pT1462-R-V	-0.26380481075
VEGFR2-R-V	-0.23345369075
EPPK1-M-E	-0.52540846475
XBP1-G-C	-0.23753966825
XRCC1-R-E	0.08051029375
YAP-R-E	-0.38727120975
YAP_pS127-R-E	-0.81461359175
YB-1-R-V	-0.21791123925
YB-1_pS102-R-V	-0.27684697425
A-Raf-R-V	0.00773759274999997
ARID1A-R-C	0.00732982125000003
B-Raf_pS445-R-V	0.10688749975
Bcl2A1-R-V	-0.42504103775
BRD4-R-V	0.30518092625
c-Abl-R-V	0.17865549175
Caspase-3-R-C	0.18999665825
CD26-R-V	-0.15235823125
Chk1_pS296-R-V	0.00718151774999987
COG3-R-V	-0.07468357625
DUSP4-R-V	-0.0927340417500003
ERCC5-R-C	0.0944173842499999
IGF1R_pY1135_Y1136-R-V	-0.27445030575
IRF-1-R-C	0.19839652075
Jak2-R-V	0.42753849075
p16_INK4a-R-V	0.00096374975000002
SHP-2_pY542-R-C	-0.36244406925
CDK1_pY15-R-C	0.25848326925
