Sample REF	94266545-192C-4366-9C53-AA5C2245BF13
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.34218827975
14-3-3_epsilon-M-C	0.52193234675
14-3-3_zeta-R-V	0.0847337832500001
4E-BP1-R-V	-0.33379636825
4E-BP1_pS65-R-V	-0.12377809125
4E-BP1_pT37_T46-R-V	-0.58296516225
4E-BP1_pT70-R-V	0.06309034075
53BP1-R-E	0.0281037962500002
A-Raf_pS299-R-C	-0.0579593757500001
ACC_pS79-R-V	0.08652090525
ACC1-R-E	0.29972859575
Acetyl-a-Tubulin-Lys40-R-C	0.04496689525
ACVRL1-R-C	0.29333885525
ADAR1-M-V	0.0183861827500001
Akt-R-V	0.13954591275
Akt_pS473-R-V	-0.39680455275
Akt_pT308-R-V	-0.05581690425
alpha-Catenin-M-V	-0.16547137075
AMPK_alpha-R-C	0.08305969475
AMPK_pT172-R-V	-0.89457216825
Annexin-1-M-E	-0.07765926175
Annexin_VII-M-V	0.22422861875
AR-R-V	-0.14126222275
DIRAS3-M-E	0.0230929167500001
ASNS-R-V	-0.17256738475
ATM-R-E	0.15062430125
B-Raf-M-C	-0.57731941775
Bad_pS112-R-V	-0.08538043025
Bak-R-C	0.26140451525
Bap1-c-4-M-E	-0.26693576425
Bax-R-V	0.47625083575
Bcl-2-M-V	0.13500324925
Bcl-xL-R-V	0.16855273625
Beclin-G-C	0.14584831075
beta-Catenin-R-V	-0.42074972325
Bid-R-C	0.08945470925
Bim-R-V	-0.08512160375
c-Jun_pS73-R-V	-0.10382017475
c-Kit-R-V	1.95914318875
c-Met-M-E	-0.12874128975
c-Met_pY1235-R-V	0.0465759647500001
c-Myc-R-C	-0.11344936125
C-Raf-R-V	-0.19209221125
C-Raf_pS338-R-V	0.0802819027500001
Caspase-7_cleavedD198-R-C	0.95482523225
Caspase-8-M-E	-0.0114239152499999
Caveolin-1-R-V	-0.94548628475
CD20-R-C	0.05521914225
CD31-M-V	0.17062184225
CD49b-M-V	-0.0539632107500001
CDK1-R-V	-0.09116634275
Chk1-M-C	-0.35170077225
Chk1_pS345-R-C	-0.18495989125
Chk2-M-E	0.48772414675
Chk2_pT68-R-C	-0.04368416625
cIAP-R-V	0.20254839975
Claudin-7-R-V	-0.41848747175
Collagen_VI-R-V	-0.10013648325
Cyclin_B1-R-V	-0.38834149475
Cyclin_D1-R-V	0.39115192075
Cyclin_E1-M-V	-0.0837206957499999
Cyclin_E2-R-C	-0.08809773275
DJ-1-R-E	0.11048101475
Dvl3-R-V	-0.17882847725
E-Cadherin-R-V	-1.46202737275
eEF2-R-C	0.17965323275
eEF2K-R-V	-0.15874793175
EGFR-R-V	0.36870701825
EGFR_pY1068-R-C	-0.0600626262500001
EGFR_pY1173-R-V	-0.02943085325
eIF4E-R-V	-0.59506302275
eIF4G-R-C	-1.09493410825
ER-alpha-R-V	0.16134869275
ER-alpha_pS118-R-V	0.18869738525
ERCC1-M-V	-0.02942893375
ERK2-R-E	0.18660181575
ETS-1-R-V	0.12261838375
FASN-R-V	-0.16230800275
Fibronectin-R-V	-0.23072349175
FoxM1-R-V	-0.39407109875
FOXO3a-R-C	0.19055778775
FOXO3a_pS318_S321-R-C	0.10667667675
G6PD-M-V	1.51689849525
GAB2-R-V	0.61209763675
GAPDH-M-C	-0.0669887522500001
GATA3-M-V	-0.02082892425
GSK3-alpha-beta-M-V	0.15865797325
GSK3-alpha-beta_pS21_S9-R-V	-0.52654361075
GSK3_pS9-R-V	-0.62733723975
HER2-M-V	-0.64767925725
HER2_pY1248-R-C	0.17349694525
HER3-R-V	-0.16430906125
HER3_pY1289-R-C	-0.0525957047499999
Heregulin-R-V	-0.24646053675
HSP70-R-C	-0.29699154475
IGFBP2-R-V	0.04733464475
INPP4B-R-V	0.14549246525
IRS1-R-V	-0.00932575174999997
JAB1-M-C	0.04185443375
JNK_pT183_pY185-R-V	0.03181055625
JNK2-R-C	-0.20062394175
Ku80-R-C	0.0650407032500002
Lck-R-V	0.57328357975
LKB1-M-E	0.17199991125
MAPK_pT202_Y204-R-V	-0.11494475175
MEK1-R-V	-1.60594541825
MEK1_pS217_S221-R-V	0.03114433925
MIG-6-M-V	0.02366749475
Mre11-R-C	0.28618514125
MSH2-M-V	-0.19472218425
MSH6-R-C	-0.51438947625
mTOR-R-V	0.24483811975
mTOR_pS2448-R-C	-0.16017033325
MYH11-R-V	-1.05353002875
Myosin-IIa_pS1943-R-V	-0.13936800175
N-Cadherin-R-V	0.35620084575
N-Ras-M-V	0.0500160447499999
NDRG1_pT346-R-V	0.14718070875
NF-kB-p65_pS536-R-C	0.09917173075
NF2-R-C	0.0860216697499999
Notch1-R-V	0.20446760325
P-Cadherin-R-C	0.19378095475
p21-R-V	-0.0125516642500001
p27-R-V	-0.00419666824999995
p27_pT157-R-C	-0.0565817457500001
p27_pT198-R-V	0.02821125275
p38_MAPK-R-V	0.38563124275
p38_pT180_Y182-R-V	-0.54253904425
p53-R-E	0.15643862825
p62-LCK-ligand-M-C	0.56588827975
p70S6K-R-V	-0.27245095125
p70S6K_pT389-R-V	0.21085298625
p90RSK-R-C	-0.13971882875
p90RSK_pT359_S363-R-C	0.24403941125
PAI-1-M-E	0.88516199475
PARP_cleaved-M-E	-0.0586486487500002
PARP1-R-V	0.70888610875
Paxillin-R-C	-0.52905639825
PCNA-M-C	0.00951554575000002
PDCD4-R-C	0.46190087875
PDK1-R-V	0.15919199175
PDK1_pS241-R-V	0.42315932425
PEA15-R-V	0.39549086975
PEA15_pS116-R-V	0.10517336725
PI3K-p110-alpha-R-C	-0.09500065675
PI3K-p85-R-V	0.59515793725
PKC-alpha-M-V	-0.10534500925
PKC-alpha_pS657-R-C	0.11551795625
PKC-delta_pS664-R-V	0.26491218625
PKC-pan_BetaII_pS660-R-V	0.47791630525
PR-R-V	0.00797208475
PRAS40_pT246-R-V	-0.18507536875
PRDX1-R-V	0.62998557825
PREX1-R-E	0.72556118425
PTEN-R-V	-0.09013306625
Rab11-R-E	0.27408800325
Rab25-R-V	-0.33536457975
Rad50-M-V	0.18919502725
Rad51-R-V	0.45351123675
Raptor-R-V	0.42184704775
Rb-M-E	-0.16653909275
Rb_pS807_S811-R-V	-0.68830834275
RBM15-R-V	-0.05738919675
Rictor-R-C	-0.46799959925
Rictor_pT1135-R-V	-0.17185114425
S6-R-E	0.44986829525
S6_pS235_S236-R-V	0.27708912275
S6_pS240_S244-R-V	0.0519190212499999
SCD-M-V	0.0520958782499999
SETD2-R-E	0.05987475225
SF2-M-V	-0.06411971725
Shc_pY317-R-E	-0.07916594325
Smac-M-E	0.51882145125
Smad1-R-V	-0.01471937275
Smad3-R-V	0.13611658825
Smad4-M-V	-0.20383108475
Snail-M-E	-0.12134434075
Src-M-V	1.24682737525
Src_pY416-R-C	-0.46422863275
Src_pY527-R-V	-1.47450044925
STAT3_pY705-R-V	0.16539965575
STAT5-alpha-R-V	0.22516461825
Stathmin-R-V	0.15516049125
Syk-M-V	1.01913817725
TAZ-R-V	-0.07763843975
TFRC-R-V	1.53757437825
TIGAR-R-V	-0.02883470175
Transglutaminase-M-V	0.05614243975
TSC1-R-C	-0.12686804425
TTF1-R-V	0.12912986225
Tuberin-R-E	-0.30489993925
Tuberin_pT1462-R-V	-0.41170459225
VEGFR2-R-V	-0.21812287225
EPPK1-M-E	-0.97383784325
XBP1-G-C	-0.10026772975
XRCC1-R-E	-0.12739633675
YAP-R-E	-0.16375344925
YAP_pS127-R-E	-0.56973557225
YB-1-R-V	-0.26489961275
YB-1_pS102-R-V	-0.10580496075
A-Raf-R-V	0.14769501125
ARID1A-R-C	-0.59396851525
B-Raf_pS445-R-V	-0.36401724775
Bcl2A1-R-V	0.20204650475
BRD4-R-V	-0.66566742025
c-Abl-R-V	-0.07164151075
Caspase-3-R-C	0.0148698047499999
CD26-R-V	0.00419666824999995
Chk1_pS296-R-V	0.18539024425
COG3-R-V	0.06055560825
DUSP4-R-V	-0.13397042925
ERCC5-R-C	-0.10970219025
IGF1R_pY1135_Y1136-R-V	0.04282160075
IRF-1-R-C	-0.03534475775
Jak2-R-V	0.52937798125
p16_INK4a-R-V	-0.03740079075
SHP-2_pY542-R-C	-0.29903938175
CDK1_pY15-R-C	-0.35203853125
