Sample REF	E4FD1CA9-E803-4604-9507-6E2C2C369C0F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.10331036275
14-3-3_epsilon-M-C	0.20516098875
14-3-3_zeta-R-V	0.05276825025
4E-BP1-R-V	-0.08653997225
4E-BP1_pS65-R-V	-0.23240683125
4E-BP1_pT37_T46-R-V	-0.64226113125
4E-BP1_pT70-R-V	-0.23131582825
53BP1-R-E	0.37029038725
A-Raf_pS299-R-C	0.0464557122499999
ACC_pS79-R-V	-0.35709066875
ACC1-R-E	0.05794235075
Acetyl-a-Tubulin-Lys40-R-C	0.38535144025
ACVRL1-R-C	-0.11930759975
ADAR1-M-V	0.13391807275
Akt-R-V	-0.01023329725
Akt_pS473-R-V	-0.15119397875
Akt_pT308-R-V	-0.09606867125
alpha-Catenin-M-V	-0.10356158975
AMPK_alpha-R-C	0.0707494917499999
AMPK_pT172-R-V	-0.46142430025
Annexin-1-M-E	0.25378051225
Annexin_VII-M-V	0.24068561675
AR-R-V	0.01414057625
DIRAS3-M-E	-0.0447892732500002
ASNS-R-V	-0.24599780775
ATM-R-E	0.53866620525
B-Raf-M-C	-0.01824909675
Bad_pS112-R-V	-0.00256347925
Bak-R-C	0.06670546525
Bap1-c-4-M-E	-0.01760393725
Bax-R-V	0.25417683575
Bcl-2-M-V	0.36019472625
Bcl-xL-R-V	0.19413526825
Beclin-G-C	0.27976087775
beta-Catenin-R-V	-0.52277154325
Bid-R-C	-0.10373605775
Bim-R-V	0.08634338725
c-Jun_pS73-R-V	-0.10362891575
c-Kit-R-V	1.60255131375
c-Met-M-E	-0.0261185477500001
c-Met_pY1235-R-V	-0.05905373325
c-Myc-R-C	-0.08094754525
C-Raf-R-V	-0.01446279625
C-Raf_pS338-R-V	-0.13882840525
Caspase-7_cleavedD198-R-C	1.46573133325
Caspase-8-M-E	0.06939118475
Caveolin-1-R-V	0.43822569825
CD20-R-C	0.15394257725
CD31-M-V	0.00875445724999996
CD49b-M-V	-0.0364607227500001
CDK1-R-V	-0.23354543875
Chk1-M-C	0.17236610175
Chk1_pS345-R-C	-0.14167157325
Chk2-M-E	0.20217754675
Chk2_pT68-R-C	-0.23382034625
cIAP-R-V	0.07071288775
Claudin-7-R-V	-0.46943075375
Collagen_VI-R-V	0.23264388775
Cyclin_B1-R-V	-0.0991803777500002
Cyclin_D1-R-V	-0.18796385525
Cyclin_E1-M-V	-0.20182499475
Cyclin_E2-R-C	0.12521141025
DJ-1-R-E	0.18191295175
Dvl3-R-V	-0.15138659825
E-Cadherin-R-V	-1.34110947775
eEF2-R-C	0.0778432687499999
eEF2K-R-V	0.43750736125
EGFR-R-V	0.00530424325000001
EGFR_pY1068-R-C	-0.21253911925
EGFR_pY1173-R-V	0.01047938875
eIF4E-R-V	0.00256347925
eIF4G-R-C	-0.31534618525
ER-alpha-R-V	0.00377097674999999
ER-alpha_pS118-R-V	0.01128566125
ERCC1-M-V	0.10137197525
ERK2-R-E	0.19750410075
ETS-1-R-V	0.16844676675
FASN-R-V	-0.50490082475
Fibronectin-R-V	-0.54940324075
FoxM1-R-V	-0.18685275775
FOXO3a-R-C	-0.05146358625
FOXO3a_pS318_S321-R-C	-0.11802658725
G6PD-M-V	0.42273609325
GAB2-R-V	0.77680960475
GAPDH-M-C	0.0494572737499998
GATA3-M-V	0.36572179775
GSK3-alpha-beta-M-V	0.13456644425
GSK3-alpha-beta_pS21_S9-R-V	-0.24210713475
GSK3_pS9-R-V	-0.18899135975
HER2-M-V	-0.32822024025
HER2_pY1248-R-C	-0.21943985275
HER3-R-V	-0.26740709225
HER3_pY1289-R-C	-0.13387239475
Heregulin-R-V	-0.14477264375
HSP70-R-C	-0.58968934875
IGFBP2-R-V	0.05980365875
INPP4B-R-V	0.0396926222500002
IRS1-R-V	-0.21612460275
JAB1-M-C	0.00999924074999997
JNK_pT183_pY185-R-V	-0.0723079407500001
JNK2-R-C	0.00787257524999996
Ku80-R-C	0.36545254125
Lck-R-V	0.72141889175
LKB1-M-E	0.10564540225
MAPK_pT202_Y204-R-V	-0.32983150775
MEK1-R-V	-0.07203287425
MEK1_pS217_S221-R-V	-0.0898547917500001
MIG-6-M-V	-0.11281181625
Mre11-R-C	-0.06455607675
MSH2-M-V	-0.12604612425
MSH6-R-C	0.0445111987500004
mTOR-R-V	0.29224096175
mTOR_pS2448-R-C	-0.21876855925
MYH11-R-V	0.62287928625
Myosin-IIa_pS1943-R-V	-0.20757914775
N-Cadherin-R-V	-0.24358884725
N-Ras-M-V	-0.0180657522500001
NDRG1_pT346-R-V	0.0642690247500001
NF-kB-p65_pS536-R-C	-0.11489863525
NF2-R-C	0.00654669174999994
Notch1-R-V	-0.18987547275
P-Cadherin-R-C	0.06023562975
p21-R-V	0.11804182175
p27-R-V	0.29563570275
p27_pT157-R-C	-0.05844170575
p27_pT198-R-V	0.02915167075
p38_MAPK-R-V	0.17520368375
p38_pT180_Y182-R-V	0.45146489175
p53-R-E	-0.03019600275
p62-LCK-ligand-M-C	0.21021749975
p70S6K-R-V	-0.03736161425
p70S6K_pT389-R-V	-0.31985107075
p90RSK-R-C	-0.00751452975
p90RSK_pT359_S363-R-C	-0.39057766475
PAI-1-M-E	-0.21317124025
PARP_cleaved-M-E	0.0128940962499999
PARP1-R-V	0.28613788875
Paxillin-R-C	-0.09692918125
PCNA-M-C	0.10695839475
PDCD4-R-C	0.69783395375
PDK1-R-V	0.10368592375
PDK1_pS241-R-V	0.20106959925
PEA15-R-V	0.20532647175
PEA15_pS116-R-V	-0.00908778175000002
PI3K-p110-alpha-R-C	0.18695359125
PI3K-p85-R-V	0.72727890225
PKC-alpha-M-V	0.26101985875
PKC-alpha_pS657-R-C	0.21208900825
PKC-delta_pS664-R-V	-0.01972306375
PKC-pan_BetaII_pS660-R-V	0.42037908325
PR-R-V	0.05018810675
PRAS40_pT246-R-V	-0.10068449475
PRDX1-R-V	0.45965924625
PREX1-R-E	0.45920060025
PTEN-R-V	0.17550636875
Rab11-R-E	-0.03874235775
Rab25-R-V	-0.02445941275
Rad50-M-V	0.17542349325
Rad51-R-V	-0.41489489225
Raptor-R-V	0.30748067175
Rb-M-E	-0.01263126775
Rb_pS807_S811-R-V	-0.64715267475
RBM15-R-V	0.03625615125
Rictor-R-C	-0.10935127325
Rictor_pT1135-R-V	-0.0101140922500001
S6-R-E	0.14866666225
S6_pS235_S236-R-V	0.47536795075
S6_pS240_S244-R-V	0.24228367825
SCD-M-V	0.11050954925
SETD2-R-E	-0.09789180075
SF2-M-V	0.29399994275
Shc_pY317-R-E	0.0527356677499999
Smac-M-E	0.34150468625
Smad1-R-V	-0.20602491575
Smad3-R-V	0.04023565125
Smad4-M-V	-0.08101814675
Snail-M-E	0.05260822725
Src-M-V	0.17798097025
Src_pY416-R-C	-0.24444953975
Src_pY527-R-V	-1.03347980725
STAT3_pY705-R-V	0.43621980075
STAT5-alpha-R-V	0.83733456725
Stathmin-R-V	-0.08916312475
Syk-M-V	0.80639359725
TAZ-R-V	-0.16155484875
TFRC-R-V	0.62832088225
TIGAR-R-V	0.01105216125
Transglutaminase-M-V	-0.02411925725
TSC1-R-C	0.07470276575
TTF1-R-V	-0.06155712875
Tuberin-R-E	0.00732677174999979
Tuberin_pT1462-R-V	-0.12284284025
VEGFR2-R-V	-0.0741256092500001
EPPK1-M-E	-0.65174302125
XBP1-G-C	0.35762179725
XRCC1-R-E	0.14230499825
YAP-R-E	-0.10224848525
YAP_pS127-R-E	-0.44125457325
YB-1-R-V	-0.00717087075
YB-1_pS102-R-V	-0.12550863975
A-Raf-R-V	0.07854068025
ARID1A-R-C	0.18380298375
B-Raf_pS445-R-V	-0.18454774875
Bcl2A1-R-V	-0.17381405425
BRD4-R-V	-0.0336500602499999
c-Abl-R-V	-0.02602898075
Caspase-3-R-C	-0.0971510522500001
CD26-R-V	-0.00968485475000008
Chk1_pS296-R-V	-0.0589574317500001
COG3-R-V	0.08690375325
DUSP4-R-V	-0.18095327925
ERCC5-R-C	0.14778348875
IGF1R_pY1135_Y1136-R-V	-0.13502891325
IRF-1-R-C	0.27156225225
Jak2-R-V	0.26626740725
p16_INK4a-R-V	-0.37954619175
SHP-2_pY542-R-C	-0.25120236375
CDK1_pY15-R-C	-0.42673120025
