Sample REF	92D85337-88B8-4335-9A6E-344E6A6D232D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.22551849125
14-3-3_epsilon-M-C	0.05360610675
14-3-3_zeta-R-V	0.38227531225
4E-BP1-R-V	0.18723455875
4E-BP1_pS65-R-V	-0.00563962525000017
4E-BP1_pT37_T46-R-V	-0.22986521625
4E-BP1_pT70-R-V	0.12237318475
53BP1-R-E	-0.18627233375
A-Raf_pS299-R-C	-0.14023668875
ACC_pS79-R-V	0.59681512425
ACC1-R-E	0.67166615175
Acetyl-a-Tubulin-Lys40-R-C	-0.96260300675
ACVRL1-R-C	0.10004509925
ADAR1-M-V	0.0111208457499999
Akt-R-V	-0.79320711325
Akt_pS473-R-V	-0.41883475275
Akt_pT308-R-V	-0.42446432125
alpha-Catenin-M-V	-0.0571907777500003
AMPK_alpha-R-C	-0.0921308972500001
AMPK_pT172-R-V	0.12568065975
Annexin-1-M-E	-0.00314954275000012
Annexin_VII-M-V	-0.21519464925
AR-R-V	-0.26781932375
DIRAS3-M-E	0.03482401875
ASNS-R-V	0.62474050725
ATM-R-E	-0.59515925775
B-Raf-M-C	0.36067965025
Bad_pS112-R-V	0.10536878475
Bak-R-C	0.06324242125
Bap1-c-4-M-E	0.29656629375
Bax-R-V	-0.11735579825
Bcl-2-M-V	-0.26057297575
Bcl-xL-R-V	-0.16670667675
Beclin-G-C	-0.29363511925
beta-Catenin-R-V	0.42138170275
Bid-R-C	-0.0811866157500001
Bim-R-V	0.64213453025
c-Jun_pS73-R-V	-0.15211235075
c-Kit-R-V	-0.59656453125
c-Met-M-E	-0.08256259875
c-Met_pY1235-R-V	-0.13309833825
c-Myc-R-C	0.10278434575
C-Raf-R-V	0.32516312175
C-Raf_pS338-R-V	0.03904551075
Caspase-7_cleavedD198-R-C	-0.96626817975
Caspase-8-M-E	-0.0192432362500001
Caveolin-1-R-V	-0.31646455175
CD20-R-C	-0.23903769675
CD31-M-V	0.03947548625
CD49b-M-V	-0.0389043957500002
CDK1-R-V	0.53482973925
Chk1-M-C	0.34359550375
Chk1_pS345-R-C	-0.12180279225
Chk2-M-E	0.41934313175
