Sample REF	CE38B8DE-D287-4DAE-931F-F23BE4E9B4DA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00400028375
14-3-3_epsilon-M-C	-0.0310114672499999
14-3-3_zeta-R-V	-0.0525322647499999
4E-BP1-R-V	-0.22310522525
4E-BP1_pS65-R-V	0.01317001475
4E-BP1_pT37_T46-R-V	0.0876940537500001
4E-BP1_pT70-R-V	0.04580697475
53BP1-R-E	-0.43706250975
A-Raf_pS299-R-C	-0.0831123977500001
ACC_pS79-R-V	-0.21097113475
ACC1-R-E	-0.41540942925
Acetyl-a-Tubulin-Lys40-R-C	0.21905929625
ACVRL1-R-C	0.00969867325000001
ADAR1-M-V	-0.01794593625
Akt-R-V	0.19979785175
Akt_pS473-R-V	0.33503719025
Akt_pT308-R-V	0.19627222475
alpha-Catenin-M-V	-0.07620258975
AMPK_alpha-R-C	0.32589044475
AMPK_pT172-R-V	0.58975230975
Annexin-1-M-E	0.0762446042500001
Annexin_VII-M-V	0.13708972575
AR-R-V	-0.00757913574999997
DIRAS3-M-E	0.01215539175
ASNS-R-V	0.02613958925
ATM-R-E	-0.01309687375
B-Raf-M-C	-0.54075684275
Bad_pS112-R-V	-0.0210595252499999
Bak-R-C	0.0632094232500001
Bap1-c-4-M-E	-0.31309709225
Bax-R-V	-0.31897516325
Bcl-2-M-V	0.10739898925
Bcl-xL-R-V	1.47734094525
Beclin-G-C	0.27111938575
beta-Catenin-R-V	0.24651474575
Bid-R-C	0.18037552125
Bim-R-V	0.00443890424999999
c-Jun_pS73-R-V	-0.12361886675
c-Kit-R-V	-0.85381224125
c-Met-M-E	0.07603520525
c-Met_pY1235-R-V	-0.02361328025
c-Myc-R-C	-0.21172818725
C-Raf-R-V	-0.29931139125
C-Raf_pS338-R-V	0.08784861175
Caspase-7_cleavedD198-R-C	0.64538536425
Caspase-8-M-E	0.0313513717500001
Caveolin-1-R-V	0.86282877125
CD20-R-C	-0.03094708175
CD31-M-V	0.0504441622500001
CD49b-M-V	0.0731673032499998
CDK1-R-V	-0.16358104175
Chk1-M-C	-0.43198705525
Chk1_pS345-R-C	-0.18785681125
Chk2-M-E	-0.79351271025
Chk2_pT68-R-C	-0.05150800025
cIAP-R-V	-0.0492358502499999
Claudin-7-R-V	-0.52928961475
Collagen_VI-R-V	0.27302343075
Cyclin_B1-R-V	-0.74868518275
Cyclin_D1-R-V	0.09364105375
Cyclin_E1-M-V	-0.35632659575
Cyclin_E2-R-C	-0.38296827475
DJ-1-R-E	-0.09831865925
Dvl3-R-V	0.13419006775
E-Cadherin-R-V	0.21133601625
eEF2-R-C	-0.32104515025
eEF2K-R-V	-0.35956198975
EGFR-R-V	0.14474616325
EGFR_pY1068-R-C	0.0035954807500001
EGFR_pY1173-R-V	-0.00277417024999999
eIF4E-R-V	-0.08487639075
eIF4G-R-C	-0.03700571425
ER-alpha-R-V	0.0146591257500002
ER-alpha_pS118-R-V	-0.08220695175
ERCC1-M-V	-0.01545479375
ERK2-R-E	-0.0387500762500001
ETS-1-R-V	-0.04639945725
FASN-R-V	-0.46336468575
Fibronectin-R-V	1.31584456925
FoxM1-R-V	-0.39716932375
FOXO3a-R-C	0.12640589075
FOXO3a_pS318_S321-R-C	0.12537836175
G6PD-M-V	-0.16226064275
GAB2-R-V	0.00190310275000005
GAPDH-M-C	-0.64566021625
GATA3-M-V	0.31155408275
GSK3-alpha-beta-M-V	-0.17176064275
GSK3-alpha-beta_pS21_S9-R-V	0.17702246425
GSK3_pS9-R-V	0.11821861725
HER2-M-V	-0.000634034249999915
HER2_pY1248-R-C	-0.05943754575
HER3-R-V	-0.40342705325
HER3_pY1289-R-C	0.02147259225
Heregulin-R-V	-0.19790735375
HSP70-R-C	0.29407017025
IGFBP2-R-V	0.29954305575
INPP4B-R-V	0.10916884725
IRS1-R-V	0.01872317225
JAB1-M-C	-0.29804937025
JNK_pT183_pY185-R-V	-0.00880109575000004
JNK2-R-C	0.0349599792500001
Ku80-R-C	-0.60460296975
Lck-R-V	0.14153203875
LKB1-M-E	0.00477887125000004
MAPK_pT202_Y204-R-V	0.31493047625
MEK1-R-V	0.18901000575
MEK1_pS217_S221-R-V	0.03134238425
MIG-6-M-V	-0.00230872225000001
Mre11-R-C	2.07452500000094e-05
MSH2-M-V	-0.82815494925
MSH6-R-C	-1.16462047125
mTOR-R-V	-0.37644017325
mTOR_pS2448-R-C	0.00307784275000006
MYH11-R-V	2.54010022825
Myosin-IIa_pS1943-R-V	0.49276215625
