Sample REF	F7B402D0-EA57-4EF4-B685-BD9B1E763BB1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0228724002499999
14-3-3_epsilon-M-C	-0.0135119512499999
14-3-3_zeta-R-V	0.0714086022500001
4E-BP1-R-V	0.00648171175000012
4E-BP1_pS65-R-V	-0.16481189025
4E-BP1_pT37_T46-R-V	-0.39737098325
4E-BP1_pT70-R-V	-0.11229917925
53BP1-R-E	0.13080972025
A-Raf_pS299-R-C	-0.12889365475
ACC_pS79-R-V	-0.24313787875
ACC1-R-E	-0.25530138425
Acetyl-a-Tubulin-Lys40-R-C	-1.31982909475
ACVRL1-R-C	0.03883506825
ADAR1-M-V	0.39440207975
Akt-R-V	-0.10986945125
Akt_pS473-R-V	-0.33258660175
Akt_pT308-R-V	-0.30172247625
alpha-Catenin-M-V	-0.0606486047499999
AMPK_alpha-R-C	-0.08624831625
AMPK_pT172-R-V	-0.44730609025
Annexin-1-M-E	0.11823973025
Annexin_VII-M-V	0.0120761887500002
AR-R-V	0.16569860125
DIRAS3-M-E	-0.0509456482499999
ASNS-R-V	0.0595273652500001
ATM-R-E	0.15969910325
B-Raf-M-C	0.21297353725
Bad_pS112-R-V	-0.17783958925
Bak-R-C	0.0827806022500002
Bap1-c-4-M-E	0.00801229375000007
Bax-R-V	0.25435102575
Bcl-2-M-V	0.0333875272500002
Bcl-xL-R-V	0.10718350925
Beclin-G-C	0.16537983775
beta-Catenin-R-V	-0.24766334825
Bid-R-C	-0.0522769467499999
Bim-R-V	0.29868434025
c-Jun_pS73-R-V	-0.10568713575
c-Kit-R-V	0.0349383617500001
c-Met-M-E	0.00806745625000005
c-Met_pY1235-R-V	0.0780800167500001
c-Myc-R-C	-0.0157605442499999
C-Raf-R-V	0.12110736875
C-Raf_pS338-R-V	-0.0285153302499999
Caspase-7_cleavedD198-R-C	1.39528109025
Caspase-8-M-E	0.27269383475
Caveolin-1-R-V	-0.0286231477499999
CD20-R-C	0.37489380725
CD31-M-V	0.06340760425
CD49b-M-V	-0.10662556775
CDK1-R-V	0.0785693382500001
Chk1-M-C	0.30526003475
Chk1_pS345-R-C	-0.20335417425
Chk2-M-E	0.12547831975
Chk2_pT68-R-C	-0.11099287525
cIAP-R-V	0.0715355107500001
Claudin-7-R-V	-0.0128435867499999
Collagen_VI-R-V	0.19554487575
Cyclin_B1-R-V	0.23231239525
Cyclin_D1-R-V	-0.13857167125
Cyclin_E1-M-V	0.28427428825
Cyclin_E2-R-C	0.26004635525
DJ-1-R-E	-0.0211218572499999
Dvl3-R-V	-0.25630898025
E-Cadherin-R-V	0.26414292825
eEF2-R-C	0.50098707775
eEF2K-R-V	0.63120329825
EGFR-R-V	-0.21086503075
EGFR_pY1068-R-C	-0.15317366825
EGFR_pY1173-R-V	0.13390230175
eIF4E-R-V	-0.11551659275
eIF4G-R-C	-0.0118145962499999
ER-alpha-R-V	-0.31145247325
ER-alpha_pS118-R-V	0.33328725425
ERCC1-M-V	0.22286758325
ERK2-R-E	-0.01323645325
ETS-1-R-V	0.0394546147500001
FASN-R-V	-0.34669197575
Fibronectin-R-V	0.0691050272500002
FoxM1-R-V	0.62088584725
FOXO3a-R-C	0.0875481817500001
FOXO3a_pS318_S321-R-C	-0.0405660252499999
G6PD-M-V	-0.13695449975
GAB2-R-V	0.50377768375
GAPDH-M-C	0.41816915475
GATA3-M-V	0.05748332575
GSK3-alpha-beta-M-V	0.0634986812500001
GSK3-alpha-beta_pS21_S9-R-V	0.15810309425
GSK3_pS9-R-V	-0.16209429275
HER2-M-V	-0.35040230925
HER2_pY1248-R-C	-0.08705747275
HER3-R-V	-0.14690065025
HER3_pY1289-R-C	-0.08844049775
Heregulin-R-V	0.12370376825
HSP70-R-C	-0.49114309875
IGFBP2-R-V	-0.83363755825
INPP4B-R-V	-0.0195220107499998
IRS1-R-V	-0.0277024287499999
JAB1-M-C	-0.05844358225
