Sample REF	52185746-9743-4DB7-B556-A17259673F4F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00927986625000005
14-3-3_epsilon-M-C	-0.10691477575
14-3-3_zeta-R-V	-0.18082597725
4E-BP1-R-V	0.0703067452500001
4E-BP1_pS65-R-V	0.08707288025
4E-BP1_pT37_T46-R-V	0.42899649125
4E-BP1_pT70-R-V	0.40241710425
53BP1-R-E	0.11624650875
A-Raf_pS299-R-C	-0.14531817425
ACC_pS79-R-V	0.32461682775
ACC1-R-E	0.44242637425
Acetyl-a-Tubulin-Lys40-R-C	0.13656163075
ACVRL1-R-C	0.07516745075
ADAR1-M-V	-0.16056509075
Akt-R-V	-0.29058635975
Akt_pS473-R-V	0.14439405475
Akt_pT308-R-V	0.17937257125
alpha-Catenin-M-V	-0.09942800525
AMPK_alpha-R-C	-0.10037025075
AMPK_pT172-R-V	0.0904633712500002
Annexin-1-M-E	0.01062908375
Annexin_VII-M-V	-0.34151632575
AR-R-V	-0.37184598025
DIRAS3-M-E	-0.0804049697500001
ASNS-R-V	0.40292455475
ATM-R-E	-0.0731023142500001
B-Raf-M-C	0.03557629775
Bad_pS112-R-V	0.11532321325
Bak-R-C	0.0186224827500001
Bap1-c-4-M-E	-0.06689928275
Bax-R-V	0.0402853312499999
Bcl-2-M-V	-0.26425461925
Bcl-xL-R-V	-0.19997650825
Beclin-G-C	-0.09551198275
beta-Catenin-R-V	0.37461410525
Bid-R-C	0.0950940827499999
Bim-R-V	0.11167966875
c-Jun_pS73-R-V	0.00354569575000002
c-Kit-R-V	-0.64819386375
c-Met-M-E	-0.14952802425
c-Met_pY1235-R-V	-0.14349806375
c-Myc-R-C	-0.11439478775
C-Raf-R-V	0.21712872625
C-Raf_pS338-R-V	0.14247491825
Caspase-7_cleavedD198-R-C	-0.32276920725
Caspase-8-M-E	-0.05408430075
Caveolin-1-R-V	-0.0990190462499999
CD20-R-C	-0.12283959325
CD31-M-V	-0.0820615212499998
CD49b-M-V	0.0921590397499999
CDK1-R-V	0.07168357575
Chk1-M-C	-0.34486961275
Chk1_pS345-R-C	0.02833305525
Chk2-M-E	-0.53184327675
Chk2_pT68-R-C	-0.10456637975
cIAP-R-V	-0.13031668675
Claudin-7-R-V	0.69662072775
Collagen_VI-R-V	-0.34644382075
Cyclin_B1-R-V	0.30208094175
Cyclin_D1-R-V	0.28767463525
Cyclin_E1-M-V	0.25241505475
Cyclin_E2-R-C	-0.13671292825
DJ-1-R-E	-0.15008412475
Dvl3-R-V	0.02702701925
E-Cadherin-R-V	0.94137569175
eEF2-R-C	-0.12092915375
eEF2K-R-V	0.18246052475
EGFR-R-V	0.27745418475
EGFR_pY1068-R-C	-0.0991377307499999
EGFR_pY1173-R-V	-0.08986437475
eIF4E-R-V	-0.0834856752499999
eIF4G-R-C	0.34967623825
ER-alpha-R-V	-0.07218085875
ER-alpha_pS118-R-V	-0.13065760425
ERCC1-M-V	0.14608263675
ERK2-R-E	-0.32382575575
ETS-1-R-V	-0.10454217375
FASN-R-V	0.37043382375
Fibronectin-R-V	0.75024534175
FoxM1-R-V	0.39955026075
FOXO3a-R-C	-0.05812727375
FOXO3a_pS318_S321-R-C	0.0181674362500001
G6PD-M-V	-0.31748918725
GAB2-R-V	-0.13814355675
GAPDH-M-C	0.14547037125
GATA3-M-V	-0.20722994475
GSK3-alpha-beta-M-V	-0.13910849425
GSK3-alpha-beta_pS21_S9-R-V	0.02765212375
GSK3_pS9-R-V	0.13020366975
HER2-M-V	0.44233685925
HER2_pY1248-R-C	0.0683986697499999
HER3-R-V	0.33950706825
HER3_pY1289-R-C	0.04355063375
Heregulin-R-V	0.25053474675
HSP70-R-C	0.61943738375
IGFBP2-R-V	0.56420747625
INPP4B-R-V	-0.23125985525
IRS1-R-V	0.0940878207500001
JAB1-M-C	-0.13915790475
JNK_pT183_pY185-R-V	-0.01062218525
JNK2-R-C	0.16813457075
Ku80-R-C	-0.26197881125
Lck-R-V	-0.0738039477499999
LKB1-M-E	-0.0493504192499999
MAPK_pT202_Y204-R-V	-0.15587728625
MEK1-R-V	0.13549575825
MEK1_pS217_S221-R-V	-0.00413442724999996
MIG-6-M-V	0.07319737025
Mre11-R-C	0.0327929647500001
MSH2-M-V	0.15611937825
MSH6-R-C	0.28562047725
mTOR-R-V	-0.21093297075
mTOR_pS2448-R-C	0.00927015625000011
MYH11-R-V	-1.40723136125
Myosin-IIa_pS1943-R-V	0.0635983087500001
N-Cadherin-R-V	0.01987412125
N-Ras-M-V	-0.0394152487500001
NDRG1_pT346-R-V	-0.14586358275
NF-kB-p65_pS536-R-C	0.16485355625
NF2-R-C	-0.18143324775
Notch1-R-V	0.12677503675
P-Cadherin-R-C	0.02004929325
p21-R-V	-0.0734466917499999
p27-R-V	-0.33996079775
p27_pT157-R-C	0.04533906375
p27_pT198-R-V	-0.12146238675
p38_MAPK-R-V	-0.02777302875
p38_pT180_Y182-R-V	0.06814249625
p53-R-E	-0.17440985025
p62-LCK-ligand-M-C	0.11393159725
p70S6K-R-V	-0.08353555175
p70S6K_pT389-R-V	0.0148577637500001
p90RSK-R-C	0.26458177275
p90RSK_pT359_S363-R-C	0.11150719275
PAI-1-M-E	0.70806147425
PARP_cleaved-M-E	-0.44644840325
PARP1-R-V	-1.06806880275
Paxillin-R-C	0.13855141225
PCNA-M-C	-0.09059679375
PDCD4-R-C	-0.69717359275
PDK1-R-V	0.16955044925
PDK1_pS241-R-V	0.23375319575
PEA15-R-V	-0.14789261675
PEA15_pS116-R-V	0.16402442675
PI3K-p110-alpha-R-C	-0.08662177325
PI3K-p85-R-V	-0.30683195025
PKC-alpha-M-V	0.11704798425
PKC-alpha_pS657-R-C	0.04743488575
PKC-delta_pS664-R-V	0.05103661175
PKC-pan_BetaII_pS660-R-V	-0.10508853625
PR-R-V	-0.04232122675
PRAS40_pT246-R-V	0.05440856375
PRDX1-R-V	-0.44811207125
PREX1-R-E	-0.56524451125
PTEN-R-V	-0.12682852175
Rab11-R-E	-0.0678191742499999
Rab25-R-V	0.01988320675
Rad50-M-V	-0.25006496725
Rad51-R-V	0.03742492125
Raptor-R-V	-0.26998293275
Rb-M-E	0.04496896175
Rb_pS807_S811-R-V	0.51266773975
RBM15-R-V	0.15330319375
Rictor-R-C	-0.61102904375
Rictor_pT1135-R-V	0.05589165325
S6-R-E	-0.04419406825
S6_pS235_S236-R-V	0.75091554625
S6_pS240_S244-R-V	0.76581775775
SCD-M-V	-0.0314483982500002
SETD2-R-E	-0.09945022725
SF2-M-V	-0.09855619475
Shc_pY317-R-E	-0.12226219875
Smac-M-E	-0.31243311925
Smad1-R-V	0.04297882675
Smad3-R-V	-0.12732167225
Smad4-M-V	0.0801538087500001
Snail-M-E	-0.22886857925
Src-M-V	-0.27867354625
Src_pY416-R-C	0.13270532575
Src_pY527-R-V	0.25235445125
STAT3_pY705-R-V	-0.02107339275
STAT5-alpha-R-V	-0.37410885825
Stathmin-R-V	-0.12640654325
Syk-M-V	-0.10282796025
TAZ-R-V	-0.01177704125
TFRC-R-V	0.03728527075
TIGAR-R-V	-0.17961896825
Transglutaminase-M-V	-0.16605267075
TSC1-R-C	0.24619079925
TTF1-R-V	-0.11135094625
Tuberin-R-E	0.02426977825
Tuberin_pT1462-R-V	0.31141771825
VEGFR2-R-V	0.0992421992500001
EPPK1-M-E	0.81399341025
XBP1-G-C	-0.40084128525
XRCC1-R-E	0.12019355675
YAP-R-E	0.01035107425
YAP_pS127-R-E	0.26698244925
YB-1-R-V	-0.0381640322499999
YB-1_pS102-R-V	0.20250738875
A-Raf-R-V	-0.11654710725
ARID1A-R-C	0.35971786025
B-Raf_pS445-R-V	-0.0829378052499999
Bcl2A1-R-V	0.0609642532499999
BRD4-R-V	0.0869240102500001
c-Abl-R-V	-0.16771741525
Caspase-3-R-C	-0.18761219675
CD26-R-V	-0.0739178132500001
Chk1_pS296-R-V	-0.17265703125
COG3-R-V	-0.16144933725
DUSP4-R-V	0.30936688225
ERCC5-R-C	0.0595346332499999
IGF1R_pY1135_Y1136-R-V	-0.00354569575000002
IRF-1-R-C	-0.02249580525
Jak2-R-V	-0.32296869325
p16_INK4a-R-V	-0.0447650252499999
SHP-2_pY542-R-C	0.16423128375
CDK1_pY15-R-C	0.0676316012500001
