Sample REF	A73266DB-85B7-40CD-9031-1919549D06F9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.13066040075
14-3-3_epsilon-M-C	-0.0664773672500001
14-3-3_zeta-R-V	-0.03265358975
4E-BP1-R-V	-0.0816464552500001
4E-BP1_pS65-R-V	0.14471587075
4E-BP1_pT37_T46-R-V	0.26705612375
4E-BP1_pT70-R-V	0.41452451475
53BP1-R-E	0.45191698225
A-Raf_pS299-R-C	-0.11950514475
ACC_pS79-R-V	-0.38900261275
ACC1-R-E	-0.31721219725
Acetyl-a-Tubulin-Lys40-R-C	0.15240541225
ACVRL1-R-C	0.50344610025
ADAR1-M-V	-0.0254757592500001
Akt-R-V	0.00942931374999989
Akt_pS473-R-V	0.0248229682499998
Akt_pT308-R-V	0.40492961475
alpha-Catenin-M-V	-0.00384716675000002
AMPK_alpha-R-C	0.22943189375
AMPK_pT172-R-V	-0.17445845625
Annexin-1-M-E	-0.16501638975
Annexin_VII-M-V	-0.11543376025
AR-R-V	0.0564244882499999
DIRAS3-M-E	0.33529406275
ASNS-R-V	-0.48623702575
ATM-R-E	-0.32405340575
B-Raf-M-C	-0.58017779475
Bad_pS112-R-V	-0.17857570125
Bak-R-C	0.20946945625
Bap1-c-4-M-E	-0.24197231625
Bax-R-V	-0.62673110025
Bcl-2-M-V	0.0684548492499998
Bcl-xL-R-V	-0.00450096375000014
Beclin-G-C	-0.10672991725
beta-Catenin-R-V	0.0069520777499999
Bid-R-C	0.86791337325
Bim-R-V	-0.27512684375
c-Jun_pS73-R-V	0.0163848932499999
c-Kit-R-V	-0.60415947825
c-Met-M-E	0.20537596325
c-Met_pY1235-R-V	0.37513461475
c-Myc-R-C	0.21052316475
C-Raf-R-V	0.0934593357499999
C-Raf_pS338-R-V	0.74179582775
Caspase-7_cleavedD198-R-C	-0.55420795075
Caspase-8-M-E	0.39086236775
Caveolin-1-R-V	0.0797578482499999
CD20-R-C	0.13620215025
CD31-M-V	0.0719557502499998
CD49b-M-V	0.20011062425
CDK1-R-V	0.0320372892499998
Chk1-M-C	-0.21093562825
Chk1_pS345-R-C	-0.16900419825
Chk2-M-E	-1.15196901525
Chk2_pT68-R-C	0.49838152975
cIAP-R-V	0.0929966597499999
Claudin-7-R-V	-0.48049495575
Collagen_VI-R-V	-0.0981568902500001
Cyclin_B1-R-V	-1.28714161975
Cyclin_D1-R-V	0.79532277475
Cyclin_E1-M-V	-0.34162209975
Cyclin_E2-R-C	0.0943212702499999
DJ-1-R-E	-0.23756402025
Dvl3-R-V	0.0967389857499999
E-Cadherin-R-V	0.03147553125
