Sample REF	BAA727CF-5BD1-44CC-9EA5-FDE39AD5C718
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.177856088
14-3-3_epsilon-M-C	0.222901725
14-3-3_zeta-R-V	0.1147789805
4E-BP1-R-V	-0.0010807699999999
4E-BP1_pS65-R-V	-0.00305999199999996
4E-BP1_pT37_T46-R-V	-0.241076625
4E-BP1_pT70-R-V	-0.131824101
53BP1-R-E	0.4358072435
A-Raf_pS299-R-C	-0.0159704724999998
ACC_pS79-R-V	-0.4502572925
ACC1-R-E	-0.440030221
Acetyl-a-Tubulin-Lys40-R-C	0.2551273195
ACVRL1-R-C	0.0484449425000001
ADAR1-M-V	0.130291876
Akt-R-V	0.123897605
Akt_pS473-R-V	-0.1790124345
Akt_pT308-R-V	-0.273042417
alpha-Catenin-M-V	-0.0153852065
AMPK_alpha-R-C	0.099591541
AMPK_pT172-R-V	0.0417701020000001
Annexin-1-M-E	0.3276937335
Annexin_VII-M-V	0.484821669
AR-R-V	-0.1000946205
DIRAS3-M-E	0.119832653
ASNS-R-V	-0.7037821145
ATM-R-E	0.8979569185
B-Raf-M-C	0.0409605595
Bad_pS112-R-V	0.24039515
Bak-R-C	0.1576918035
Bap1-c-4-M-E	-0.138251657
Bax-R-V	0.278579233
Bcl-2-M-V	0.5920401755
Bcl-xL-R-V	-0.00515170949999999
Beclin-G-C	-0.157934482
beta-Catenin-R-V	-0.198933528
Bid-R-C	-0.0195458654999999
Bim-R-V	-0.0443571405
c-Jun_pS73-R-V	-0.0603583845
c-Kit-R-V	2.073672853
c-Met-M-E	0.0888489685
c-Met_pY1235-R-V	-0.00841119499999993
c-Myc-R-C	-0.0658892619999999
C-Raf-R-V	-0.227454359
C-Raf_pS338-R-V	-0.109210162
Caspase-7_cleavedD198-R-C	0.00627235550000005
Caspase-8-M-E	0.0630783510000001
Caveolin-1-R-V	-0.8513851265
CD20-R-C	0.1695059435
CD31-M-V	0.0617383475000002
CD49b-M-V	-0.00357232249999995
CDK1-R-V	-0.1738834755
Chk1-M-C	0.401353909
Chk1_pS345-R-C	0.0162165310000001
Chk2-M-E	0.272712323
Chk2_pT68-R-C	-0.222277515
cIAP-R-V	0.393440347
Claudin-7-R-V	-0.2449129155
