Sample REF	87A968D3-66B3-4A46-980B-A8371A40DE40
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.83698569625
14-3-3_epsilon-M-C	-0.0281505467500001
14-3-3_zeta-R-V	-0.03329798925
4E-BP1-R-V	0.03491385625
4E-BP1_pS65-R-V	0.0826631632499999
4E-BP1_pT37_T46-R-V	0.35709846125
4E-BP1_pT70-R-V	0.23593495125
53BP1-R-E	-0.15296714625
A-Raf_pS299-R-C	0.03927971275
ACC_pS79-R-V	-0.70043553025
ACC1-R-E	-0.80899579775
Acetyl-a-Tubulin-Lys40-R-C	0.33760078475
ACVRL1-R-C	0.10626105775
ADAR1-M-V	-0.18110254575
Akt-R-V	-0.00266498174999996
Akt_pS473-R-V	-0.0399506732500001
Akt_pT308-R-V	-0.00221899075000009
alpha-Catenin-M-V	0.0131153427499999
AMPK_alpha-R-C	0.24122562225
AMPK_pT172-R-V	-0.22007333675
Annexin-1-M-E	0.0399622147499998
Annexin_VII-M-V	-0.16113727275
AR-R-V	-0.0219258382500001
DIRAS3-M-E	0.19579089425
ASNS-R-V	-0.25223892725
ATM-R-E	-0.67031222325
B-Raf-M-C	-0.59675737125
Bad_pS112-R-V	-0.07235919575
Bak-R-C	0.11906715975
Bap1-c-4-M-E	-0.46440327775
Bax-R-V	-0.43826847575
Bcl-2-M-V	0.0377191797500001
Bcl-xL-R-V	0.29320585375
Beclin-G-C	0.87302220225
beta-Catenin-R-V	-0.39449724875
Bid-R-C	0.38351849375
Bim-R-V	-0.57252411325
c-Jun_pS73-R-V	0.07732874775
c-Kit-R-V	1.83919551225
c-Met-M-E	0.06142083375
c-Met_pY1235-R-V	0.16153971225
c-Myc-R-C	0.47395002525
C-Raf-R-V	-0.26600249775
C-Raf_pS338-R-V	0.37886633525
Caspase-7_cleavedD198-R-C	-0.77255872825
Caspase-8-M-E	0.11608440825
Caveolin-1-R-V	0.05410244175
CD20-R-C	0.04423905975
CD31-M-V	0.09977625175
CD49b-M-V	0.21750608175
CDK1-R-V	0.35392524175
Chk1-M-C	-0.13055863375
Chk1_pS345-R-C	0.08254736625
Chk2-M-E	-0.0509038797500001
Chk2_pT68-R-C	0.24535139825
cIAP-R-V	0.14511861525
Claudin-7-R-V	-0.31467194025
Collagen_VI-R-V	0.36948178925
Cyclin_B1-R-V	-0.16929662225
Cyclin_D1-R-V	0.37138211025
Cyclin_E1-M-V	-0.41957604425
Cyclin_E2-R-C	-0.11222663425
DJ-1-R-E	-0.24241322275
Dvl3-R-V	0.11978306925
E-Cadherin-R-V	-1.39830964425
eEF2-R-C	-0.11643664175
eEF2K-R-V	-0.13471255625
EGFR-R-V	0.77747806275
EGFR_pY1068-R-C	-0.08894646175
EGFR_pY1173-R-V	0.17215207725
eIF4E-R-V	0.02264277375
eIF4G-R-C	-0.13628507375
ER-alpha-R-V	0.03771461925
ER-alpha_pS118-R-V	-0.11443001125
ERCC1-M-V	0.02719481875
ERK2-R-E	-0.11748562875
ETS-1-R-V	0.11929891425
FASN-R-V	-0.49277388825
Fibronectin-R-V	0.10078045675
FoxM1-R-V	0.22826937975
FOXO3a-R-C	0.05910035225
FOXO3a_pS318_S321-R-C	0.0522750012500001
G6PD-M-V	-0.35372668625
GAB2-R-V	0.43786897325
