Sample REF	AD82330B-AF41-4421-A195-02DC453E2099
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.07061389175
14-3-3_epsilon-M-C	0.45132340675
14-3-3_zeta-R-V	0.10735349725
4E-BP1-R-V	-0.0150632472499999
4E-BP1_pS65-R-V	-0.000198986249999977
4E-BP1_pT37_T46-R-V	-0.0894632782499999
4E-BP1_pT70-R-V	-0.26041337425
53BP1-R-E	-0.0357771937499999
A-Raf_pS299-R-C	0.0123443472500001
ACC_pS79-R-V	-0.10021194175
ACC1-R-E	-0.0466672102499999
Acetyl-a-Tubulin-Lys40-R-C	-0.06172808275
ACVRL1-R-C	-0.0323356357499999
ADAR1-M-V	0.16386711575
Akt-R-V	0.15579569575
Akt_pS473-R-V	-0.20753110675
Akt_pT308-R-V	-0.34286339025
alpha-Catenin-M-V	0.0503784992500001
AMPK_alpha-R-C	0.11712064075
AMPK_pT172-R-V	-0.90864358925
Annexin-1-M-E	0.18156650625
Annexin_VII-M-V	0.39587852775
AR-R-V	-0.17123802175
DIRAS3-M-E	0.13030289975
ASNS-R-V	-0.18368869475
ATM-R-E	0.56384817525
B-Raf-M-C	-0.11459189475
Bad_pS112-R-V	0.14224923675
Bak-R-C	0.17496204425
Bap1-c-4-M-E	-0.0825755892499999
Bax-R-V	0.16730905375
Bcl-2-M-V	0.42613715725
Bcl-xL-R-V	-0.10673932875
Beclin-G-C	0.02651947375
beta-Catenin-R-V	-0.46982560425
Bid-R-C	-0.19412163975
Bim-R-V	-0.00851641174999998
c-Jun_pS73-R-V	0.000198986249999977
c-Kit-R-V	1.24671992375
c-Met-M-E	0.0780578932500001
c-Met_pY1235-R-V	-0.06774633525
c-Myc-R-C	-0.0550557772499999
C-Raf-R-V	-0.0939606092499998
C-Raf_pS338-R-V	-0.17809276425
Caspase-7_cleavedD198-R-C	0.33562151325
Caspase-8-M-E	0.0593959777500001
Caveolin-1-R-V	-1.09720182875
CD20-R-C	0.06059676425
CD31-M-V	0.16286548825
CD49b-M-V	0.16251877925
CDK1-R-V	-0.17444611175
Chk1-M-C	0.17474478375
Chk1_pS345-R-C	-0.0804191122499999
Chk2-M-E	0.23319514375
Chk2_pT68-R-C	-0.25246048025
cIAP-R-V	0.31553531475
Claudin-7-R-V	0.0158602512500001
Collagen_VI-R-V	-0.0899765682499999
Cyclin_B1-R-V	0.16535085525
Cyclin_D1-R-V	-0.24247742525
Cyclin_E1-M-V	-0.00488439874999991
Cyclin_E2-R-C	0.19876276825
DJ-1-R-E	-0.0146708062499999
Dvl3-R-V	-0.07612360525
E-Cadherin-R-V	0.21271646125
eEF2-R-C	0.25485486775
eEF2K-R-V	0.32313659325
EGFR-R-V	-0.0997003087499999
EGFR_pY1068-R-C	-0.06585955425
EGFR_pY1173-R-V	-0.04724082425
eIF4E-R-V	-0.21507614675
eIF4G-R-C	-0.49406325325
ER-alpha-R-V	0.01695758575
ER-alpha_pS118-R-V	-0.0356082197499999
ERCC1-M-V	0.19571018225
ERK2-R-E	0.09536014575
ETS-1-R-V	0.00856745575000001
FASN-R-V	-0.45383922875
Fibronectin-R-V	-0.54790028475
FoxM1-R-V	-0.19383677675
FOXO3a-R-C	0.17571201675
FOXO3a_pS318_S321-R-C	0.13175131875
G6PD-M-V	0.47005398625
GAB2-R-V	0.66166566575
GAPDH-M-C	0.0669186897499999
GATA3-M-V	0.07990091875
GSK3-alpha-beta-M-V	0.29392719925
GSK3-alpha-beta_pS21_S9-R-V	-0.36981287275
GSK3_pS9-R-V	-0.60386174075
HER2-M-V	-0.40128187425
HER2_pY1248-R-C	-0.27784810875
HER3-R-V	-0.24288178625
HER3_pY1289-R-C	-0.14666652175
Heregulin-R-V	-0.09398543475
HSP70-R-C	-1.08482272675
IGFBP2-R-V	-0.35751832025
INPP4B-R-V	0.0334411312500003
IRS1-R-V	-0.23314666075
JAB1-M-C	0.12570579875
JNK_pT183_pY185-R-V	-0.06849493375
JNK2-R-C	0.01875975225
Ku80-R-C	0.0631252492499999
Lck-R-V	0.61983806375
LKB1-M-E	0.00810743525000007
MAPK_pT202_Y204-R-V	-0.25789343275
