Sample REF	E5AC3DE9-2876-4028-9669-AA034C90D038
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.08386461625
14-3-3_epsilon-M-C	0.07563001925
14-3-3_zeta-R-V	-0.0622183882499999
4E-BP1-R-V	-0.22576468975
4E-BP1_pS65-R-V	-0.20181731675
4E-BP1_pT37_T46-R-V	-0.30428112175
4E-BP1_pT70-R-V	-0.12008315075
53BP1-R-E	-0.19059121625
A-Raf_pS299-R-C	0.05154470775
ACC_pS79-R-V	-0.08093396225
ACC1-R-E	-0.0227026357499999
Acetyl-a-Tubulin-Lys40-R-C	0.22591634875
ACVRL1-R-C	-0.0184631502499999
ADAR1-M-V	-0.19580943075
Akt-R-V	0.33747657625
Akt_pS473-R-V	0.49679909675
Akt_pT308-R-V	0.10972663325
alpha-Catenin-M-V	0.01268508575
AMPK_alpha-R-C	0.18820423825
AMPK_pT172-R-V	0.58170064025
Annexin-1-M-E	0.22037380975
Annexin_VII-M-V	0.15313426825
AR-R-V	0.01330911275
DIRAS3-M-E	0.17905103225
ASNS-R-V	0.55499695875
ATM-R-E	-0.20865155925
B-Raf-M-C	0.38601242775
Bad_pS112-R-V	0.12315479625
Bak-R-C	0.22533620175
Bap1-c-4-M-E	-0.22738316375
Bax-R-V	-0.20424678175
Bcl-2-M-V	-0.0238254902499999
Bcl-xL-R-V	1.00326632575
Beclin-G-C	0.39290622625
beta-Catenin-R-V	0.65793551725
Bid-R-C	0.04138999275
Bim-R-V	-0.49155444425
c-Jun_pS73-R-V	-0.0540680572500001
c-Kit-R-V	-0.31205788675
c-Met-M-E	0.20368942975
c-Met_pY1235-R-V	-0.20393886575
c-Myc-R-C	-0.31174391475
C-Raf-R-V	-0.07923728275
C-Raf_pS338-R-V	0.04011826225
Caspase-7_cleavedD198-R-C	0.56514437875
Caspase-8-M-E	0.11709538925
Caveolin-1-R-V	1.17861474075
CD20-R-C	-0.24219389625
CD31-M-V	0.00310011274999999
CD49b-M-V	0.14529718775
CDK1-R-V	-0.24196865025
Chk1-M-C	-0.37522943375
Chk1_pS345-R-C	-0.15276011675
Chk2-M-E	-0.55840405975
Chk2_pT68-R-C	-0.21437205475
cIAP-R-V	0.12504569925
Claudin-7-R-V	-0.41460731225
Collagen_VI-R-V	0.13993120725
Cyclin_B1-R-V	-0.56787426825
Cyclin_D1-R-V	-0.00530639674999989
Cyclin_E1-M-V	-0.14459925325
Cyclin_E2-R-C	-0.14091764525
DJ-1-R-E	0.27909467425
Dvl3-R-V	-0.08880796875
E-Cadherin-R-V	-0.53295060625
eEF2-R-C	-0.18667068375
eEF2K-R-V	-0.46432803925
EGFR-R-V	0.15723232675
EGFR_pY1068-R-C	-0.11426367075
EGFR_pY1173-R-V	-0.21371026575
eIF4E-R-V	-0.0302857802499999
eIF4G-R-C	-0.00310011274999999
ER-alpha-R-V	-0.14839776175
ER-alpha_pS118-R-V	-0.34382677825
ERCC1-M-V	-0.06119417025
ERK2-R-E	0.28328520325
ETS-1-R-V	0.04637081525
FASN-R-V	-0.15021325425
Fibronectin-R-V	1.22065795575
FoxM1-R-V	-0.49868796425
FOXO3a-R-C	-0.02011589275
FOXO3a_pS318_S321-R-C	0.10734269025
G6PD-M-V	0.67823157875
GAB2-R-V	-0.0926808587499999
GAPDH-M-C	-0.17014848975
GATA3-M-V	0.50885514225
GSK3-alpha-beta-M-V	0.0187247067499999
GSK3-alpha-beta_pS21_S9-R-V	0.06228036875
GSK3_pS9-R-V	-0.08137368025
HER2-M-V	-0.11615039575
HER2_pY1248-R-C	-0.21516238525
HER3-R-V	0.06799824425
HER3_pY1289-R-C	0.02549932675
Heregulin-R-V	0.01924861575
HSP70-R-C	0.09658537475
IGFBP2-R-V	0.10058981125
INPP4B-R-V	-0.11669194325
IRS1-R-V	-0.17337629025
JAB1-M-C	-0.0696339067499999
JNK_pT183_pY185-R-V	0.24782843675
JNK2-R-C	0.49031296375
Ku80-R-C	-0.36703048825
Lck-R-V	-0.18382865275
LKB1-M-E	0.02333220975
MAPK_pT202_Y204-R-V	0.25702362875
MEK1-R-V	0.10400598825
MEK1_pS217_S221-R-V	-0.0934125582500001
MIG-6-M-V	0.01448031325
Mre11-R-C	0.03437798375
MSH2-M-V	-0.40684574275
MSH6-R-C	-0.53368590375
mTOR-R-V	0.0456398592499999
mTOR_pS2448-R-C	0.11348018325
MYH11-R-V	2.06685723575
Myosin-IIa_pS1943-R-V	0.18885847575
N-Cadherin-R-V	0.06871413125
N-Ras-M-V	-0.0901680397500001
NDRG1_pT346-R-V	0.38917523225
NF-kB-p65_pS536-R-C	0.48381763025
NF2-R-C	-0.0781995457500001
Notch1-R-V	-0.11507714425
P-Cadherin-R-C	0.27894656625
p21-R-V	0.68897182525
p27-R-V	0.14387635025
p27_pT157-R-C	-0.17733494725
p27_pT198-R-V	-0.26293796175
p38_MAPK-R-V	-0.0114734147500001
p38_pT180_Y182-R-V	0.20854529625
p53-R-E	-0.10736841025
p62-LCK-ligand-M-C	0.0891085522499999
p70S6K-R-V	-0.0896585567500001
p70S6K_pT389-R-V	-0.11413714725
p90RSK-R-C	0.06183308775
p90RSK_pT359_S363-R-C	-0.16099710725
PAI-1-M-E	1.71042252625
PARP_cleaved-M-E	-0.26092453125
PARP1-R-V	-0.82615956775
Paxillin-R-C	0.15737005925
PCNA-M-C	-0.36332975375
PDCD4-R-C	-0.21727022975
PDK1-R-V	0.18873824525
PDK1_pS241-R-V	0.32371434875
PEA15-R-V	0.61624994025
PEA15_pS116-R-V	0.36718844175
PI3K-p110-alpha-R-C	0.0780690067499999
PI3K-p85-R-V	0.0546309287500001
PKC-alpha-M-V	0.36487899325
PKC-alpha_pS657-R-C	0.40601807475
PKC-delta_pS664-R-V	-0.0150484122500001
PKC-pan_BetaII_pS660-R-V	0.14530027175
PR-R-V	-0.01587429775
PRAS40_pT246-R-V	-0.26726402225
PRDX1-R-V	-0.18493499025
PREX1-R-E	-0.42204714425
PTEN-R-V	0.02028746425
Rab11-R-E	-0.12469288925
Rab25-R-V	0.30173399175
Rad50-M-V	-0.04700824325
Rad51-R-V	-0.26386073275
Raptor-R-V	0.04674104525
Rb-M-E	0.20598850675
Rb_pS807_S811-R-V	0.23117913475
RBM15-R-V	-0.44865596225
Rictor-R-C	0.97939842825
Rictor_pT1135-R-V	0.02740314325
S6-R-E	-0.42916827125
S6_pS235_S236-R-V	-0.10449540375
S6_pS240_S244-R-V	-0.12626945625
SCD-M-V	-0.0839466262500003
SETD2-R-E	-0.06633732925
SF2-M-V	0.18927716525
Shc_pY317-R-E	-0.13394587175
Smac-M-E	0.25633255475
Smad1-R-V	-0.06024652825
Smad3-R-V	-0.18363873025
Smad4-M-V	-0.0407770502499999
Snail-M-E	-0.0840957172500001
Src-M-V	0.34909048575
Src_pY416-R-C	-0.14168472125
Src_pY527-R-V	0.54504208125
STAT3_pY705-R-V	0.26283622925
STAT5-alpha-R-V	0.24886317175
Stathmin-R-V	-0.22573794225
Syk-M-V	0.10250350575
TAZ-R-V	0.06859838775
TFRC-R-V	-0.37436623225
TIGAR-R-V	-0.36604577925
Transglutaminase-M-V	0.01419344925
TSC1-R-C	0.30275309925
TTF1-R-V	0.31827647575
Tuberin-R-E	0.31914125525
Tuberin_pT1462-R-V	0.29542561025
VEGFR2-R-V	0.22633739125
EPPK1-M-E	0.37281069925
XBP1-G-C	0.82743089675
XRCC1-R-E	-0.36373907625
YAP-R-E	0.09379930925
YAP_pS127-R-E	0.46374848925
YB-1-R-V	0.10370553975
YB-1_pS102-R-V	-0.07238985025
A-Raf-R-V	-0.13757378925
ARID1A-R-C	-0.48038346375
B-Raf_pS445-R-V	0.03229838575
Bcl2A1-R-V	-0.0329684077500001
BRD4-R-V	-0.70416473675
c-Abl-R-V	-0.11539455525
Caspase-3-R-C	-0.26491715975
