Sample REF	ABADAFBE-7717-479F-AD32-8B1C6C0FF231
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0230782617500001
14-3-3_epsilon-M-C	-0.00341802674999997
14-3-3_zeta-R-V	-0.02212497725
4E-BP1-R-V	-0.13003867975
4E-BP1_pS65-R-V	-0.18660725975
4E-BP1_pT37_T46-R-V	0.22251099225
4E-BP1_pT70-R-V	0.04484347325
53BP1-R-E	-0.31201298325
A-Raf_pS299-R-C	-0.02930006825
ACC_pS79-R-V	0.20550232775
ACC1-R-E	0.28707885125
Acetyl-a-Tubulin-Lys40-R-C	0.15691004575
ACVRL1-R-C	-0.05833564825
ADAR1-M-V	-0.10825235275
Akt-R-V	0.23405113525
Akt_pS473-R-V	0.66301306275
Akt_pT308-R-V	0.34184995525
alpha-Catenin-M-V	-0.08113816625
AMPK_alpha-R-C	0.14602852525
AMPK_pT172-R-V	0.34496135025
Annexin-1-M-E	0.23948224975
Annexin_VII-M-V	0.19124506925
AR-R-V	0.25431395275
DIRAS3-M-E	0.0294448872499999
ASNS-R-V	0.64488544875
ATM-R-E	-0.05154046225
B-Raf-M-C	0.10078304775
Bad_pS112-R-V	0.11942582725
Bak-R-C	0.0300253587500001
Bap1-c-4-M-E	-0.14438771875
Bax-R-V	-0.05191827675
Bcl-2-M-V	0.02140396075
Bcl-xL-R-V	0.24137133075
Beclin-G-C	0.15895421525
beta-Catenin-R-V	0.49826654525
Bid-R-C	-0.01365694925
Bim-R-V	-0.10817807025
c-Jun_pS73-R-V	-0.10986426525
c-Kit-R-V	0.06784036725
c-Met-M-E	-0.11135259325
c-Met_pY1235-R-V	-0.19286662175
c-Myc-R-C	-0.14502247375
C-Raf-R-V	-0.17385249875
C-Raf_pS338-R-V	0.03814239425
Caspase-7_cleavedD198-R-C	0.18983387075
Caspase-8-M-E	0.03447036525
Caveolin-1-R-V	0.79570796775
CD20-R-C	-0.19252806725
CD31-M-V	-0.0268082962499999
CD49b-M-V	0.28508884375
CDK1-R-V	5.18737500000421e-05
Chk1-M-C	-0.17304495775
Chk1_pS345-R-C	0.08884282725
Chk2-M-E	-0.05690709675
Chk2_pT68-R-C	-0.04603975475
cIAP-R-V	0.04910995925
Claudin-7-R-V	0.21933356575
Collagen_VI-R-V	0.13896933525
Cyclin_B1-R-V	-0.0385037452500002
Cyclin_D1-R-V	0.02484260525
Cyclin_E1-M-V	0.28384318975
Cyclin_E2-R-C	-0.22464351825
DJ-1-R-E	0.14263150825
Dvl3-R-V	0.02101504325
E-Cadherin-R-V	0.87744081375
eEF2-R-C	-0.08869377675
eEF2K-R-V	-0.20861609025
EGFR-R-V	0.13007019275
